ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MAPUDUNGUN-1-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	1	*I	1209	I	i5Ce	i5Ce	i ɲ tʃ e	false
2	RANQUELCHE-1-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	1	*I	1209	I	inCe	inCe	i n tʃ e	false
3	MAPUDUNGUN-30-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	moly~f35	moly~f35	m o lʲ f ə ɲ	false
4	RANQUELCHE-30-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	muly~vu5	muly~vu5	m u lʲ v u ɲ	false
5	MAPUDUNGUN-31-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	31	*bone	1394	BONE	foro	foro	f o r o	false
6	RANQUELCHE-31-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	31	*bone	1394	BONE	boro	boro	b o r o	false
7	MAPUDUNGUN-51-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	k3rpu	k3rpu	k ə r p u	false
8	MAPUDUNGUN-51-2	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	moyo	moyo	m o j o	false
9	RANQUELCHE-51-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	ruku	ruku	r u k u	false
10	RANQUELCHE-51-2	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	puly~kuma	puly~kuma	p u lʲ k u m ɐ	false
11	MAPUDUNGUN-66-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	66	*come	1446	COME	k3pun	k3pun	k ə p u n	false
12	RANQUELCHE-66-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	66	*come	1446	COME	kupan	kupan	k u p ɐ n	false
13	RANQUELCHE-66-2	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	66	*come	1446	COME	gepan	gepan	g e p ɐ n	false
14	MAPUDUNGUN-61-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	61	*die	1494	DIE	lan	lan	l ɐ n	false
15	RANQUELCHE-61-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	61	*die	1494	DIE	lan	lan	l ɐ n	false
16	MAPUDUNGUN-21-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	21	*dog	2009	DOG	tr~ewa	tr~ewa	t r e w ɐ	false
17	RANQUELCHE-21-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	21	*dog	2009	DOG	th~ewa	th~ewa	tʰ e w ɐ	false
18	MAPUDUNGUN-54-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	p3tun	p3tun	p ə t u n	false
19	RANQUELCHE-54-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	putun	putun	p u t u n	false
20	RANQUELCHE-54-2	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	in	in	i n	false
21	MAPUDUNGUN-39-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
22	RANQUELCHE-39-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
23	MAPUDUNGUN-40-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	40	*eye	1248	EYE	Ne	Ne	ŋ e	false
24	RANQUELCHE-40-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	40	*eye	1248	EYE	ge	ge	g e	false
25	MAPUDUNGUN-82-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	82	*fire	221	FIRE	k3tr~al	k3tr~al	k ə t r ɐ l	false
26	RANQUELCHE-82-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	82	*fire	221	FIRE	gutr~al	gutr~al	g u t r ɐ l	false
27	MAPUDUNGUN-19-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	19	*fish	227	FISH	Caly~wa	Caly~wa	tʃ ɐ lʲ w ɐ	true
28	RANQUELCHE-19-1	RANQUELCHE	RANQUELCHE	*ranquelche	Mapudungun	Araucanian			False	19	*fish	227	FISH	Caly~wa	Caly~wa	tʃ ɐ lʲ w ɐ	false
29	MAPUDUNGUN-95-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	95	*full	1429	FULL	apon	apon	ɐ p o n	false
30	MAPUDUNGUN-48-1	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	48	*hand	1277	HAND	kug	kug	k u g	false
31	MAPUDUNGUN-48-2	MAPUDUNGUN	MAPUDUNGUN	*mapudungun	Mapudungun	Araucanian			False	48	*hand	1277	HAND	kuw	kuw	k u w	false
