ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PALIKUR-1-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	1	*I	1209	I	nah	nah	n ɐ h	false
2	PALIKUR-30-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	30	*blood	946	BLOOD	mira	mira	m i r ɐ	false
3	PALIKUR-66-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	66	*come	1446	COME	aita	aita	ɐ i t ɐ	false
4	PALIKUR-61-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	61	*die	1494	DIE	miya	miya	m i j ɐ	false
5	PALIKUR-21-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	21	*dog	2009	DOG	pewru	pewru	p e w r u	false
6	PALIKUR-54-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	54	*drink	1401	DRINK	hirep	hirep	h i r e p	false
7	PALIKUR-39-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	39	*ear	1247	EAR	taybi	taybi	t ɐ j b i	false
8	PALIKUR-40-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	40	*eye	1248	EYE	wty~ak	wty~ak	w tʲ ɐ k	false
9	PALIKUR-82-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	82	*fire	221	FIRE	tike	tike	t i k e	false
10	PALIKUR-19-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	19	*fish	227	FISH	ima	ima	i m ɐ	false
11	PALIKUR-95-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	95	*full	1429	FULL	ad	ad	ɐ d	false
12	PALIKUR-48-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	48	*hand	1277	HAND	wak	wak	w ɐ k	false
13	PALIKUR-58-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	58	*hear	1408	HEAR	timap	timap	t i m ɐ p	false
14	PALIKUR-34-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	34	*horn	1393	HORN (ANATOMY)	tuwi	tuwi	t u w i	false
15	PALIKUR-47-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	47	*knee	1371	KNEE	ubogi	ubogi	u b o g i	false
16	PALIKUR-25-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	25	*leaf	628	LEAF	apani	apani	ɐ p ɐ n i	false
17	PALIKUR-53-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	53	*liver	1224	LIVER	pani	pani	p ɐ n i	false
18	PALIKUR-22-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	22	*louse	1392	LOUSE	yeti	yeti	j e t i	false
19	PALIKUR-92-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	92	*night	1233	NIGHT	mtipka	mtipka	m t i p k ɐ	false
20	PALIKUR-41-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	41	*nose	1221	NOSE	kiri	kiri	k i r i	false
21	PALIKUR-11-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	11	*one	1493	ONE	pahat	pahat	p ɐ h ɐ t	false
22	PALIKUR-85-1	PALIKUR	PALIKUR	pali1279	Palikúr	Arawakan			False	85	*path	2252	PATH	ahin	ahin	ɐ h i n	false
