ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CENTRAL_AYMARA-1-1	CENTRAL_AYMARA	CENTRAL_AYMARA	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	1	*I	1209	I	naya	naya	n ɐ j ɐ	false
2	CENTRAL_AYMARA_2-1-1	CENTRAL_AYMARA_2	CENTRAL_AYMARA_2	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	1	*I	1209	I	naxa	naxa	n ɐ x ɐ	false
3	SOUTHERN_AYMARA-1-1	SOUTHERN_AYMARA	SOUTHERN_AYMARA	sout2996	Southern Aymara	Aymaran	Central-Southern Aymara		False	1	*I	1209	I	naya	naya	n ɐ j ɐ	false
4	CENTRAL_AYMARA-30-1	CENTRAL_AYMARA	CENTRAL_AYMARA	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
5	CENTRAL_AYMARA_2-30-1	CENTRAL_AYMARA_2	CENTRAL_AYMARA_2	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
6	HUACANA-30-1	HUACANA	HUACANA	sout2996	Southern Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
7	PUKI-30-1	PUKI	PUKI	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
8	SOUTHERN_AYMARA-30-1	SOUTHERN_AYMARA	SOUTHERN_AYMARA	sout2996	Southern Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
9	SULLKATITI_TITIRI-30-1	SULLKATITI_TITIRI	SULLKATITI_TITIRI	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	30	*blood	946	BLOOD	wila	wila	w i l ɐ	false
10	CENTRAL_AYMARA-31-1	CENTRAL_AYMARA	CENTRAL_AYMARA	cent2142	Central Aymara	Aymaran	Central-Southern Aymara		False	31	*bone	1394	BONE	C"aka	C"aka	tʃʼ ɐ k ɐ	false
