ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	LILAU-1-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	1	*I	1209	I	iki	iki	i k i	false
2	MONUMBO-1-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	1	*I	1209	I	ek	ek	e k	false
3	LILAU-30-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	30	*blood	946	BLOOD	mati	mati	m ɐ t i	false
4	MONUMBO-30-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	30	*blood	946	BLOOD	mat ika	mat ika	m ɐ t i k ɐ	false
5	LILAU-31-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	31	*bone	1394	BONE	iruna	iruna	i r u n ɐ	false
6	LILAU-31-2	LILAU	LILAU	lila1246	Lilau	Bogia			False	31	*bone	1394	BONE	irumba	irumba	i r u m b ɐ	false
7	MONUMBO-31-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	31	*bone	1394	BONE	irun mbe	irun mbe	i r u n m b e	false
8	LILAU-51-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	51	*breasts	1402	BREAST	nima	nima	n i m ɐ	false
9	MONUMBO-51-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	51	*breasts	1402	BREAST	nim aN	nim aN	n i m ɐ ŋ	false
10	LILAU-66-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	66	*come	1446	COME	wandi	wandi	w ɐ n d i	false
11	MONUMBO-66-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	66	*come	1446	COME	kare	kare	k ɐ r e	false
12	MONUMBO-66-2	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	66	*come	1446	COME	kiari	kiari	k i ɐ r i	false
13	MONUMBO-66-3	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	66	*come	1446	COME	kirikare	kirikare	k i r i k ɐ r e	false
14	MONUMBO-61-1	MONUMBO	MONUMBO	nucl1458	Monumbo	Bogia			False	61	*die	1494	DIE	ken	ken	k e n	false
15	LILAU-21-1	LILAU	LILAU	lila1246	Lilau	Bogia			False	21	*dog	2009	DOG	wauri	wauri	w ɐ u r i	false
