ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KARAETA_UARIPI-1-1	KARAETA_UARIPI	KARAETA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
2	LULUITERA_UARIPI-1-1	LULUITERA_UARIPI	LULUITERA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
3	MEII2_UARIPI-1-1	MEII2_UARIPI	MEII2_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
4	MURUA_STMT_UARIPI-1-1	MURUA_STMT_UARIPI	MURUA_STMT_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
5	PETOE_UARIPI-1-1	PETOE_UARIPI	PETOE_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
6	SEPOE-1-1	SEPOE	SEPOE	toar1246	Toaripi	Eleman	Eastern Eleman		False	1	*I	1209	I	arava	arava	ɐ r ɐ v ɐ	false
7	SIVIRI_UARIPI-1-1	SIVIRI_UARIPI	SIVIRI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
8	TOARIPI-1-1	TOARIPI	TOARIPI	toar1246	Toaripi	Eleman	Eastern Eleman		False	1	*I	1209	I	ara	ara	ɐ r ɐ	false
9	TOARIPI_2-1-1	TOARIPI_2	TOARIPI_2	toar1246	Toaripi	Eleman	Eastern Eleman		False	1	*I	1209	I	ara	ara	ɐ r ɐ	false
10	UARIPI-1-1	UARIPI	UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	ara	ara	ɐ r ɐ	false
11	UARIPI_UARIPI-1-1	UARIPI_UARIPI	UARIPI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	1	*I	1209	I	oro	oro	o r o	false
12	KARAETA_UARIPI-30-1	KARAETA_UARIPI	KARAETA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
13	LULUITERA_UARIPI-30-1	LULUITERA_UARIPI	LULUITERA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
14	MEII2_UARIPI-30-1	MEII2_UARIPI	MEII2_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	ovo	ovo	o v o	false
15	MURUA_STMT_UARIPI-30-1	MURUA_STMT_UARIPI	MURUA_STMT_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
16	PETOE_UARIPI-30-1	PETOE_UARIPI	PETOE_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
17	SEPOE-30-1	SEPOE	SEPOE	toar1246	Toaripi	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	ovo	ovo	o v o	false
18	SIVIRI_UARIPI-30-1	SIVIRI_UARIPI	SIVIRI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obou	obou	o b o u	false
19	TOARIPI-30-1	TOARIPI	TOARIPI	toar1246	Toaripi	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
20	TOARIPI_2-30-1	TOARIPI_2	TOARIPI_2	toar1246	Toaripi	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	ovo	ovo	o v o	false
21	UARIPI-30-1	UARIPI	UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	ovo	ovo	o v o	false
22	UARIPI_UARIPI-30-1	UARIPI_UARIPI	UARIPI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	30	*blood	946	BLOOD	obo	obo	o b o	false
23	KARAETA_UARIPI-31-1	KARAETA_UARIPI	KARAETA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
24	LULUITERA_UARIPI-31-1	LULUITERA_UARIPI	LULUITERA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
25	MEII2_UARIPI-31-1	MEII2_UARIPI	MEII2_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
26	MURUA_STMT_UARIPI-31-1	MURUA_STMT_UARIPI	MURUA_STMT_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
27	PETOE_UARIPI-31-1	PETOE_UARIPI	PETOE_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
28	SEPOE-31-1	SEPOE	SEPOE	toar1246	Toaripi	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
29	SIVIRI_UARIPI-31-1	SIVIRI_UARIPI	SIVIRI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
30	TOARIPI-31-1	TOARIPI	TOARIPI	toar1246	Toaripi	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
31	TOARIPI_2-31-1	TOARIPI_2	TOARIPI_2	toar1246	Toaripi	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	maea uti	maea uti	m ɐ e ɐ u t i	false
32	UARIPI-31-1	UARIPI	UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
33	UARIPI_UARIPI-31-1	UARIPI_UARIPI	UARIPI_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	31	*bone	1394	BONE	uti	uti	u t i	false
34	KARAETA_UARIPI-51-1	KARAETA_UARIPI	KARAETA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	51	*breasts	1402	BREAST	obo7e	obo7e	o b o ʔ e	false
35	LULUITERA_UARIPI-51-1	LULUITERA_UARIPI	LULUITERA_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	51	*breasts	1402	BREAST	obo7e	obo7e	o b o ʔ e	false
36	MEII2_UARIPI-51-1	MEII2_UARIPI	MEII2_UARIPI	tair1256	Tairuma	Eleman	Eastern Eleman		False	51	*breasts	1402	BREAST	obo7e	obo7e	o b o ʔ e	false
