ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ALEUT-1-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	1	*I	1209	I	tiN	tiN	t i ŋ	false
2	ALEUT_2-1-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	1	*I	1209	I	tiN	tiN	t i ŋ	false
3	MEDNYJ_ALEUT-1-1	MEDNYJ_ALEUT	MEDNYJ_ALEUT	medn1235	Mednyj Aleut	Eskimo-Aleut	Aleutic		False	1	*I	1209	I	ya	ya	j ɐ	false
4	ALEUT-30-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	30	*blood	946	BLOOD	amax	amax	ɐ m ɐ x	false
5	ALEUT_2-30-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	30	*blood	946	BLOOD	EmEx	EmEx	a m a x	false
6	ALEUT-31-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	31	*bone	1394	BONE	qaxna	qaxna	q ɐ x n ɐ	false
7	ALEUT_2-31-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	31	*bone	1394	BONE	qognoX	qognoX	q o g n o χ	false
8	ALEUT-51-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	51	*breasts	1402	BREAST	kaCi	kaCi	k ɐ tʃ i	false
9	ALEUT_2-51-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	51	*breasts	1402	BREAST	moqdoX	moqdoX	m o q d o χ	false
10	ALEUT-66-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	66	*come	1446	COME	haqa	haqa	h ɐ q ɐ	false
11	ALEUT_2-66-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	66	*come	1446	COME	hoqolix	hoqolix	h o q o l i x	false
12	ALEUT-61-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	61	*die	1494	DIE	asXa	asXa	ɐ s χ ɐ	false
13	ALEUT_2-61-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	61	*die	1494	DIE	mEsoqodElix	mEsoqodElix	m a s o q o d a l i x	false
14	MEDNYJ_ALEUT-61-1	MEDNYJ_ALEUT	MEDNYJ_ALEUT	medn1235	Mednyj Aleut	Eskimo-Aleut	Aleutic		False	61	*die	1494	DIE	aXsala	aXsala	ɐ χ s ɐ l ɐ	false
15	ALEUT-21-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	21	*dog	2009	DOG	ayku	ayku	ɐ j k u	false
16	ALEUT_2-21-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	21	*dog	2009	DOG	sEbEkoX	sEbEkoX	s a b a k o χ	false
17	ALEUT-54-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	54	*drink	1401	DRINK	taNa	taNa	t ɐ ŋ ɐ	false
18	ALEUT_2-54-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	54	*drink	1401	DRINK	tENalix	tENalix	t a ŋ ɐ l i x	false
19	ALEUT-39-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	39	*ear	1247	EAR	tutusi	tutusi	t u t u s i	false
20	ALEUT_2-39-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	39	*ear	1247	EAR	titiseX	titiseX	t i t i s e χ	false
21	ALEUT-40-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	40	*eye	1248	EYE	8a	8a	θ ɐ	false
22	ALEUT_2-40-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	40	*eye	1248	EYE	doX	doX	d o χ	false
23	ALEUT-82-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	82	*fire	221	FIRE	qixma	qixma	q i x m ɐ	false
24	ALEUT_2-82-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	82	*fire	221	FIRE	qegnoX	qegnoX	q e g n o χ	false
25	ALEUT-19-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	19	*fish	227	FISH	qa	qa	q ɐ	false
26	ALEUT_2-19-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	19	*fish	227	FISH	qoX	qoX	q o χ	false
27	ALEUT-95-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	95	*full	1429	FULL	CXa	CXa	tʃ χ ɐ	false
28	ALEUT_2-95-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	95	*full	1429	FULL	CXolix	CXolix	tʃ χ o l i x	false
29	ALEUT-48-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	48	*hand	1277	HAND	Ca	Ca	tʃ ɐ	false
30	ALEUT_2-48-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	48	*hand	1277	HAND	CoX	CoX	tʃ o χ	false
31	ALEUT-58-1	ALEUT	ALEUT	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	58	*hear	1408	HEAR	tuta	tuta	t u t ɐ	false
32	ALEUT_2-58-1	ALEUT_2	ALEUT_2	aleu1260	Aleut	Eskimo-Aleut	Aleutic		False	58	*hear	1408	HEAR	titElix	titElix	t i t a l i x	false
