ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	AMDANG-1-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	1	*I	1209	I	kai	kai	k ɐ i	false
2	FUR-1-1	FUR	FUR	furr1244	Fur	Furan			False	1	*I	1209	I	ka	ka	k ɐ	false
3	AMDANG-30-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	30	*blood	946	BLOOD	Co	Co	tʃ o	false
4	FUR-30-1	FUR	FUR	furr1244	Fur	Furan			False	30	*blood	946	BLOOD	kEwa	kEwa	k a w ɐ	false
5	AMDANG-31-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	31	*bone	1394	BONE	durtu	durtu	d u r t u	false
6	FUR-31-1	FUR	FUR	furr1244	Fur	Furan			False	31	*bone	1394	BONE	daru	daru	d ɐ r u	false
7	AMDANG-51-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	51	*breasts	1402	BREAST	nanka	nanka	n ɐ n k ɐ	false
8	AMDANG-51-2	AMDANG	AMDANG	amda1238	Amdang	Furan			False	51	*breasts	1402	BREAST	kanka	kanka	k ɐ n k ɐ	false
9	FUR-51-1	FUR	FUR	furr1244	Fur	Furan			False	51	*breasts	1402	BREAST	nansu	nansu	n ɐ n s u	false
10	AMDANG-66-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	66	*come	1446	COME	zayE	zayE	z ɐ j a	false
11	FUR-66-1	FUR	FUR	furr1244	Fur	Furan			False	66	*come	1446	COME	Ela	Ela	a l ɐ	false
12	AMDANG-61-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	61	*die	1494	DIE	wayo	wayo	w ɐ j o	false
