ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	HATAM-1-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	1	*I	1209	I	dani	dani	d ɐ n i	false
2	HATAM-30-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	30	*blood	946	BLOOD	Ngrom	Ngrom	ŋ g r o m	false
3	HATAM-31-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	31	*bone	1394	BONE	nj~um	nj~um	ⁿdʒ u m	false
4	HATAM-51-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	51	*breasts	1402	BREAST	dob	dob	d o b	false
5	HATAM-66-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	66	*come	1446	COME	kw~ei	kw~ei	kʷ e i	false
6	HATAM-61-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	61	*die	1494	DIE	mai	mai	m ɐ i	false
7	HATAM-21-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	21	*dog	2009	DOG	sien	sien	s i e n	false
8	HATAM-54-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	54	*drink	1401	DRINK	dut	dut	d u t	false
9	HATAM-39-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	39	*ear	1247	EAR	tiNou	tiNou	t i ŋ o u	false
10	HATAM-40-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	40	*eye	1248	EYE	yai	yai	j ɐ i	false
11	HATAM-82-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	82	*fire	221	FIRE	hum	hum	h u m	false
12	HATAM-19-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	19	*fish	227	FISH	wau	wau	w ɐ u	false
13	HATAM-95-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	95	*full	1429	FULL	ut	ut	u t	false
14	HATAM-48-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	48	*hand	1277	HAND	nd~ab	nd~ab	ⁿd ɐ b	false
15	HATAM-58-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	58	*hear	1408	HEAR	miap	miap	m i ɐ p	false
16	HATAM-34-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	34	*horn	1393	HORN (ANATOMY)	bou Ngai	bou Ngai	b o u ŋ g ɐ i	false
17	HATAM-34-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	34	*horn	1393	HORN (ANATOMY)	pun	pun	p u n	false
18	HATAM-47-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	47	*knee	1371	KNEE	migbiau	migbiau	m i g b i ɐ u	false
19	HATAM-25-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	25	*leaf	628	LEAF	mmeN	mmeN	m m e ŋ	false
20	HATAM-53-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	53	*liver	1224	LIVER	siNau	siNau	s i ŋ ɐ u	false
21	HATAM-22-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	22	*louse	1392	LOUSE	mem	mem	m e m	false
22	HATAM-22-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	22	*louse	1392	LOUSE	boumem	boumem	b o u m e m	false
23	HATAM-86-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	86	*mountain	639	MOUNTAIN	nuNugw~	nuNugw~	n u ŋ u gʷ	false
24	HATAM-100-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	100	*name	1405	NAME	niny~eN	niny~eN	n i nʲ e ŋ	false
25	HATAM-96-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	96	*new	1231	NEW	jep	jep	dʒ e p	false
26	HATAM-96-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	96	*new	1231	NEW	bun	bun	b u n	false
27	HATAM-92-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	92	*night	1233	NIGHT	mmun	mmun	m m u n	false
28	HATAM-41-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	41	*nose	1221	NOSE	hw~ap	hw~ap	hʷ ɐ p	false
29	HATAM-11-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	11	*one	1493	ONE	gom	gom	g o m	false
30	HATAM-85-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	85	*path	2252	PATH	puig	puig	p u i g	false
31	HATAM-85-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	85	*path	2252	PATH	niran	niran	n i r ɐ n	false
32	HATAM-18-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	18	*person	683	PERSON	tuNw~atu	tuNw~atu	t u ŋʷ ɐ t u	false
33	HATAM-57-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	57	*see	1409	SEE	Nat	Nat	ŋ ɐ t	false
34	HATAM-28-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	28	*skin	763	SKIN	Nkeg	Nkeg	ŋ k e g	false
35	HATAM-74-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	74	*star	1430	STAR	ham	ham	h ɐ m	false
36	HATAM-77-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	77	*stone	857	STONE	tig	tig	t i g	false
37	HATAM-77-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	77	*stone	857	STONE	hag	hag	h ɐ g	false
38	HATAM-72-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	72	*sun	1343	SUN	prow	prow	p r o w	false
39	HATAM-72-2	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	72	*sun	1343	SUN	mp~iab	mp~iab	mp i ɐ b	false
40	HATAM-44-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	44	*tongue	1205	TONGUE	dw~eb	dw~eb	dʷ e b	false
41	HATAM-23-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	23	*tree	906	TREE	biei	biei	b i e i	false
42	HATAM-12-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	12	*two	1498	TWO	can	can	ts ɐ n	false
43	HATAM-75-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	75	*water	948	WATER	ny~ei	ny~ei	nʲ e i	false
44	HATAM-3-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	3	*we	1212	WE	ny~eni	ny~eni	nʲ e n i	false
45	HATAM-2-1	HATAM	HATAM	hata1243	Hatam	Hatam-Mansim			False	2	*you	1215	THOU	jeni	jeni	dʒ e n i	false
