ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KAMAKAN-1-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	1	*I	1209	I	ha	ha	h ɐ	false
2	KAMAKAN-30-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	30	*blood	946	BLOOD	So	So	ʃ o	false
3	KAMAKAN-61-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	61	*die	1494	DIE	endiEnE	endiEnE	e n d i a n a	false
4	KAMAKAN-54-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	54	*drink	1401	DRINK	zanka	zanka	z ɐ n k ɐ	false
5	KAMAKAN-39-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	39	*ear	1247	EAR	aenkEni koka	aenkEni koka	ɐ e n k a n i k o k ɐ	false
6	KAMAKAN-40-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	40	*eye	1248	EYE	aenkEto	aenkEto	ɐ e n k a t o	false
7	KAMAKAN-82-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	82	*fire	221	FIRE	tiakE	tiakE	t i ɐ k a	false
8	KAMAKAN-48-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	48	*hand	1277	HAND	nighEr	nighEr	n i g h a r	false
9	KAMAKAN-58-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	58	*hear	1408	HEAR	xighko	xighko	x i g h k o	false
10	KAMAKAN-92-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	92	*night	1233	NIGHT	huera	huera	h u e r ɐ	false
11	KAMAKAN-41-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	41	*nose	1221	NOSE	niniko	niniko	n i n i k o	false
12	KAMAKAN-11-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	11	*one	1493	ONE	uhaeto	uhaeto	u h ɐ e t o	false
13	KAMAKAN-74-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	74	*star	1430	STAR	pioN	pioN	p i o ŋ	false
14	KAMAKAN-77-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	77	*stone	857	STONE	ki5ia	ki5ia	k i ɲ i ɐ	false
15	KAMAKAN-44-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	44	*tongue	1205	TONGUE	anekE Ciale	anekE Ciale	ɐ n e k a tʃ i ɐ l e	false
16	KAMAKAN-43-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	43	*tooth	1380	TOOTH	ankE txo	ankE txo	ɐ n k a t x o	false
17	KAMAKAN-23-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	23	*tree	906	TREE	hui	hui	h u i	false
18	KAMAKAN-12-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	12	*two	1498	TWO	iNu	iNu	i ŋ u	false
19	KAMAKAN-75-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	75	*water	948	WATER	zan	zan	z ɐ n	false
20	KAMAKAN-3-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	3	*we	1212	WE	kigna7	kigna7	k i g n ɐ ʔ	false
21	KAMAKAN-2-1	KAMAKAN	KAMAKAN	kama1372	Kamakan	Kamakanan	Nuclear Kamakanan		False	2	*you	1215	THOU	ia	ia	i ɐ	false
