ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ANIGIBI-1-1	ANIGIBI	ANIGIBI	nort2930	Northeast Kiwai	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
2	BAMU-1-1	BAMU	BAMU	bamu1257	Bamu	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
3	BAMU_2-1-1	BAMU_2	BAMU_2	bamu1257	Bamu	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
4	GIBAIO-1-1	GIBAIO	GIBAIO	nort2930	Northeast Kiwai	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
5	GOPE-1-1	GOPE	GOPE	nort2930	Northeast Kiwai	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
6	KIWAI_SOUTHERN-1-1	KIWAI_SOUTHERN	KIWAI_SOUTHERN	sout2949	Southern Kiwai	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
7	URAMA-1-1	URAMA	URAMA	nort2930	Northeast Kiwai	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
8	WABUDA-1-1	WABUDA	WABUDA	wabo1241	Waboda	Kiwaian			False	1	*I	1209	I	mo	mo	m o	false
9	ANIGIBI-30-1	ANIGIBI	ANIGIBI	nort2930	Northeast Kiwai	Kiwaian			False	30	*blood	946	BLOOD	ora	ora	o r ɐ	false
10	ANIGIBI-30-2	ANIGIBI	ANIGIBI	nort2930	Northeast Kiwai	Kiwaian			False	30	*blood	946	BLOOD	ola	ola	o l ɐ	false
11	BAMU-30-1	BAMU	BAMU	bamu1257	Bamu	Kiwaian			False	30	*blood	946	BLOOD	sobi	sobi	s o b i	false
12	BAMU-30-2	BAMU	BAMU	bamu1257	Bamu	Kiwaian			False	30	*blood	946	BLOOD	korimo	korimo	k o r i m o	false
13	BAMU_2-30-1	BAMU_2	BAMU_2	bamu1257	Bamu	Kiwaian			False	30	*blood	946	BLOOD	sawi	sawi	s ɐ w i	false
14	GIBAIO-30-1	GIBAIO	GIBAIO	nort2930	Northeast Kiwai	Kiwaian			False	30	*blood	946	BLOOD	ora	ora	o r ɐ	false
15	GOPE-30-1	GOPE	GOPE	nort2930	Northeast Kiwai	Kiwaian			False	30	*blood	946	BLOOD	ora	ora	o r ɐ	false
16	KIWAI_SOUTHERN-30-1	KIWAI_SOUTHERN	KIWAI_SOUTHERN	sout2949	Southern Kiwai	Kiwaian			False	30	*blood	946	BLOOD	arima	arima	ɐ r i m ɐ	false
17	URAMA-30-1	URAMA	URAMA	nort2930	Northeast Kiwai	Kiwaian			False	30	*blood	946	BLOOD	ora	ora	o r ɐ	false
18	WABUDA-30-1	WABUDA	WABUDA	wabo1241	Waboda	Kiwaian			False	30	*blood	946	BLOOD	karima	karima	k ɐ r i m ɐ	false
19	ANIGIBI-31-1	ANIGIBI	ANIGIBI	nort2930	Northeast Kiwai	Kiwaian			False	31	*bone	1394	BONE	E7umE	E7umE	a ʔ u m a	false
20	BAMU-31-1	BAMU	BAMU	bamu1257	Bamu	Kiwaian			False	31	*bone	1394	BONE	soro	soro	s o r o	false
21	BAMU_2-31-1	BAMU_2	BAMU_2	bamu1257	Bamu	Kiwaian			False	31	*bone	1394	BONE	soro	soro	s o r o	false
22	GIBAIO-31-1	GIBAIO	GIBAIO	nort2930	Northeast Kiwai	Kiwaian			False	31	*bone	1394	BONE	horo	horo	h o r o	false
23	GOPE-31-1	GOPE	GOPE	nort2930	Northeast Kiwai	Kiwaian			False	31	*bone	1394	BONE	horo	horo	h o r o	false
24	KIWAI_SOUTHERN-31-1	KIWAI_SOUTHERN	KIWAI_SOUTHERN	sout2949	Southern Kiwai	Kiwaian			False	31	*bone	1394	BONE	soro	soro	s o r o	false
25	URAMA-31-1	URAMA	URAMA	nort2930	Northeast Kiwai	Kiwaian			False	31	*bone	1394	BONE	horo	horo	h o r o	false
26	WABUDA-31-1	WABUDA	WABUDA	wabo1241	Waboda	Kiwaian			False	31	*bone	1394	BONE	soro	soro	s o r o	false
27	ANIGIBI-51-1	ANIGIBI	ANIGIBI	nort2930	Northeast Kiwai	Kiwaian			False	51	*breasts	1402	BREAST	amo	amo	ɐ m o	false
28	BAMU-51-1	BAMU	BAMU	bamu1257	Bamu	Kiwaian			False	51	*breasts	1402	BREAST	omo	omo	o m o	false
