ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KWOMTARI-1-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	1	*I	1209	I	m3n3	m3n3	m ə n ə	false
2	NAI-1-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	1	*I	1209	I	nombw~irE	nombw~irE	n o m bʷ i r a	false
3	KWOMTARI-30-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	30	*blood	946	BLOOD	pui	pui	p u i	false
4	KWOMTARI-31-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	31	*bone	1394	BONE	kolilu	kolilu	k o l i l u	false
5	NAI-51-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	51	*breasts	1402	BREAST	toto	toto	t o t o	false
6	KWOMTARI-66-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	66	*come	1446	COME	ri3	ri3	r i ə	false
7	NAI-66-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	66	*come	1446	COME	di	di	d i	false
8	KWOMTARI-61-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	61	*die	1494	DIE	tafila	tafila	t ɐ f i l ɐ	false
9	KWOMTARI-21-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	21	*dog	2009	DOG	kLipu	kLipu	k ʎ i p u	false
10	NAI-21-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	21	*dog	2009	DOG	mau	mau	m ɐ u	false
11	KWOMTARI-54-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	54	*drink	1401	DRINK	fu	fu	f u	false
12	NAI-54-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	54	*drink	1401	DRINK	fwi	fwi	f w i	false
13	KWOMTARI-39-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	39	*ear	1247	EAR	putEni	putEni	p u t a n i	false
14	NAI-39-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	39	*ear	1247	EAR	finobu	finobu	f i n o b u	false
15	KWOMTARI-40-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	40	*eye	1248	EYE	u	u	u	false
16	NAI-40-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	40	*eye	1248	EYE	wo	wo	w o	false
17	KWOMTARI-82-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	82	*fire	221	FIRE	i	i	i	false
18	NAI-82-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	82	*fire	221	FIRE	yei	yei	j e i	false
19	KWOMTARI-19-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	19	*fish	227	FISH	rori	rori	r o r i	false
20	NAI-19-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	19	*fish	227	FISH	akray	akray	ɐ k r ɐ j	false
21	NAI-48-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	48	*hand	1277	HAND	ami	ami	ɐ m i	false
22	KWOMTARI-58-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	58	*hear	1408	HEAR	fi3	fi3	f i ə	false
23	KWOMTARI-34-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	34	*horn	1393	HORN (ANATOMY)	fifiri	fifiri	f i f i r i	false
24	KWOMTARI-25-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	25	*leaf	628	LEAF	fulu	fulu	f u l u	false
25	NAI-25-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	25	*leaf	628	LEAF	yamu	yamu	j ɐ m u	false
26	KWOMTARI-53-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	53	*liver	1224	LIVER	riLu	riLu	r i ʎ u	false
27	NAI-22-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	22	*louse	1392	LOUSE	yibi	yibi	j i b i	false
28	NAI-86-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	86	*mountain	639	MOUNTAIN	popu	popu	p o p u	false
29	KWOMTARI-100-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	100	*name	1405	NAME	biLu	biLu	b i ʎ u	false
30	NAI-100-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	100	*name	1405	NAME	buiro	buiro	b u i r o	false
31	NAI-96-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	96	*new	1231	NEW	amiaro	amiaro	ɐ m i ɐ r o	false
32	KWOMTARI-92-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	92	*night	1233	NIGHT	kri3	kri3	k r i ə	false
33	KWOMTARI-41-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	41	*nose	1221	NOSE	tupu	tupu	t u p u	false
34	NAI-41-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	41	*nose	1221	NOSE	topokri	topokri	t o p o k r i	false
35	KWOMTARI-11-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	11	*one	1493	ONE	muamoLE	muamoLE	m u ɐ m o ʎ a	false
36	NAI-11-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	11	*one	1493	ONE	mw~aimE	mw~aimE	mʷ ɐ i m a	false
37	NAI-85-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	85	*path	2252	PATH	abwi	abwi	ɐ b w i	false
38	NAI-18-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	18	*person	683	PERSON	dobwai	dobwai	d o b w ɐ i	false
39	KWOMTARI-57-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	57	*see	1409	SEE	p3ta	p3ta	p ə t ɐ	false
40	NAI-57-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	57	*see	1409	SEE	betie	betie	b e t i e	false
41	KWOMTARI-28-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	28	*skin	763	SKIN	ri	ri	r i	false
