ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DABRA-1-1	DABRA	DABRA	tawo1244	Taworta	Lakes Plain	East Lakes Plain		False	1	*I	1209	I	a	a	ɐ	false
2	FOAU-1-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	1	*I	1209	I	adu	adu	ɐ d u	false
3	DABRA-30-1	DABRA	DABRA	tawo1244	Taworta	Lakes Plain	East Lakes Plain		False	30	*blood	946	BLOOD	aidie	aidie	ɐ i d i e	false
4	FOAU-30-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	30	*blood	946	BLOOD	n8~ow	n8~ow	ⁿθ o w	false
5	DABRA-31-1	DABRA	DABRA	tawo1244	Taworta	Lakes Plain	East Lakes Plain		False	31	*bone	1394	BONE	esera	esera	e s e r ɐ	false
6	FOAU-31-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	31	*bone	1394	BONE	kre	kre	k r e	false
7	FOAU-51-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	51	*breasts	1402	BREAST	nd~uwey	nd~uwey	ⁿd u w e j	false
8	DABRA-66-1	DABRA	DABRA	tawo1244	Taworta	Lakes Plain	East Lakes Plain		False	66	*come	1446	COME	toriak	toriak	t o r i ɐ k	false
9	FOAU-66-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	66	*come	1446	COME	toro	toro	t o r o	false
10	FOAU-61-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	61	*die	1494	DIE	tra warijo	tra warijo	t r ɐ w ɐ r i dʒ o	false
