ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MACA-1-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	1	*I	1209	I	yakh~a7	yakh~a7	j ɐ kʰ ɐ ʔ	false
2	NIVACLE-1-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	1	*I	1209	I	yi	yi	j i	false
3	MACA-30-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	30	*blood	946	BLOOD	ath~ic	ath~ic	ɐ tʰ i ts	false
4	NIVACLE-30-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	30	*blood	946	BLOOD	voi	voi	v o i	false
5	MACA-31-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	31	*bone	1394	BONE	inu	inu	i n u	false
6	MACA-31-2	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	31	*bone	1394	BONE	enu	enu	e n u	false
7	NIVACLE-31-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	31	*bone	1394	BONE	kanu	kanu	k ɐ n u	false
8	NIVACLE-31-2	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	31	*bone	1394	BONE	nu7	nu7	n u ʔ	false
9	MACA-51-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	51	*breasts	1402	BREAST	eqfuti7	eqfuti7	e q f u t i ʔ	false
10	NIVACLE-51-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	51	*breasts	1402	BREAST	axte	axte	ɐ x t e	false
11	MACA-66-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	66	*come	1446	COME	taL	taL	t ɐ ʎ	false
12	NIVACLE-66-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	66	*come	1446	COME	naC	naC	n ɐ tʃ	false
13	MACA-61-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	61	*die	1494	DIE	wam	wam	w ɐ m	false
14	NIVACLE-61-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	61	*die	1494	DIE	vaf	vaf	v ɐ f	false
15	MACA-21-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	21	*dog	2009	DOG	nunax	nunax	n u n ɐ x	false
16	NIVACLE-21-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	21	*dog	2009	DOG	nu	nu	n u	false
17	MACA-54-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	54	*drink	1401	DRINK	iya7	iya7	i j ɐ ʔ	false
18	NIVACLE-54-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	54	*drink	1401	DRINK	yo7	yo7	j o ʔ	false
19	MACA-39-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	39	*ear	1247	EAR	ikfi7	ikfi7	i k f i ʔ	false
20	MACA-39-2	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	39	*ear	1247	EAR	ekfi7	ekfi7	e k f i ʔ	false
21	NIVACLE-39-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	39	*ear	1247	EAR	kfe7	kfe7	k f e ʔ	false
22	MACA-40-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	40	*eye	1248	EYE	to7	to7	t o ʔ	false
23	MACA-82-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	82	*fire	221	FIRE	fet	fet	f e t	false
24	NIVACLE-82-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	82	*fire	221	FIRE	itox	itox	i t o x	false
25	NIVACLE-82-2	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	82	*fire	221	FIRE	vitox	vitox	v i t o x	false
26	MACA-19-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	19	*fish	227	FISH	sehec	sehec	s e h e ts	false
27	NIVACLE-19-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	19	*fish	227	FISH	vun	vun	v u n	false
28	MACA-95-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	95	*full	1429	FULL	topo7ox	topo7ox	t o p o ʔ o x	false
29	NIVACLE-95-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	95	*full	1429	FULL	ixo	ixo	i x o	false
30	MACA-48-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	48	*hand	1277	HAND	koy	koy	k o j	false
31	NIVACLE-48-1	NIVACLE	NIVACLE	niva1238	Nivaclé	Matacoan	Mataguayo I		False	48	*hand	1277	HAND	pokot	pokot	p o k o t	false
32	MACA-58-1	MACA	MACA	maca1260	Maca	Matacoan	Mataguayo I		False	58	*hear	1408	HEAR	epiye7	epiye7	e p i j e ʔ	false
