ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PROTO_HUASTECAN-30-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	30	*blood	946	BLOOD	CiC"	CiC"	tʃ i tʃʼ	false
2	PROTO_HUASTECAN-31-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	31	*bone	1394	BONE	beklek	beklek	b e k l e k	false
3	PROTO_HUASTECAN-61-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	61	*die	1494	DIE	Cemel	Cemel	tʃ e m e l	false
4	PROTO_HUASTECAN-21-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	21	*dog	2009	DOG	sul	sul	s u l	false
5	PROTO_HUASTECAN-54-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	54	*drink	1401	DRINK	uC"al	uC"al	u tʃʼ ɐ l	false
6	PROTO_HUASTECAN-39-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	39	*ear	1247	EAR	SuCun	SuCun	ʃ u tʃ u n	false
7	PROTO_HUASTECAN-40-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	40	*eye	1248	EYE	wal	wal	w ɐ l	false
8	PROTO_HUASTECAN-82-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	82	*fire	221	FIRE	si7	si7	s i ʔ	false
9	PROTO_HUASTECAN-19-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	19	*fish	227	FISH	to7ol	to7ol	t o ʔ o l	false
10	PROTO_HUASTECAN-19-2	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	19	*fish	227	FISH	tol	tol	t o l	false
11	PROTO_HUASTECAN-95-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	95	*full	1429	FULL	t"utenik	t"utenik	tʼ u t e n i k	false
12	PROTO_HUASTECAN-48-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	48	*hand	1277	HAND	k"obak	k"obak	kʼ o b ɐ k	false
13	PROTO_HUASTECAN-48-2	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	48	*hand	1277	HAND	k"ubak	k"ubak	kʼ u b ɐ k	false
14	PROTO_HUASTECAN-25-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	25	*leaf	628	LEAF	Sekel	Sekel	ʃ e k e l	false
15	PROTO_HUASTECAN-53-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	53	*liver	1224	LIVER	mamal	mamal	m ɐ m ɐ l	false
16	PROTO_HUASTECAN-22-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	22	*louse	1392	LOUSE	uC"	uC"	u tʃʼ	false
17	PROTO_HUASTECAN-86-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	86	*mountain	639	MOUNTAIN	C"en	C"en	tʃʼ e n	false
18	PROTO_HUASTECAN-100-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	100	*name	1405	NAME	bih	bih	b i h	false
19	PROTO_HUASTECAN-92-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	92	*night	1233	NIGHT	akal	akal	ɐ k ɐ l	false
20	PROTO_HUASTECAN-41-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	41	*nose	1221	NOSE	sam	sam	s ɐ m	false
21	PROTO_HUASTECAN-11-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	11	*one	1493	ONE	hun	hun	h u n	false
22	PROTO_HUASTECAN-85-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	85	*path	2252	PATH	bel	bel	b e l	false
23	PROTO_HUASTECAN-18-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	18	*person	683	PERSON	inik	inik	i n i k	false
24	PROTO_HUASTECAN-18-2	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	18	*person	683	PERSON	k"ima	k"ima	kʼ i m ɐ	false
25	PROTO_HUASTECAN-28-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	28	*skin	763	SKIN	ot"	ot"	o tʼ	false
26	PROTO_HUASTECAN-77-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	77	*stone	857	STONE	t"uhub	t"uhub	tʼ u h u b	false
27	PROTO_HUASTECAN-72-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	72	*sun	1343	SUN	k"ak"al	k"ak"al	kʼ ɐ kʼ ɐ l	false
28	PROTO_HUASTECAN-44-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	44	*tongue	1205	TONGUE	lek"ab	lek"ab	l e kʼ ɐ b	false
29	PROTO_HUASTECAN-43-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	43	*tooth	1380	TOOTH	kamab	kamab	k ɐ m ɐ b	false
30	PROTO_HUASTECAN-23-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	23	*tree	906	TREE	te7	te7	t e ʔ	false
31	PROTO_HUASTECAN-12-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	12	*two	1498	TWO	Cab	Cab	tʃ ɐ b	false
32	PROTO_HUASTECAN-75-1	PROTO_HUASTECAN	PROTO_HUASTECAN	huas1241	Huastecan Mayan	Mayan			False	75	*water	948	WATER	ha7	ha7	h ɐ ʔ	false
33	AGUACATEC-1-1	AGUACATEC	AGUACATEC	agua1252	Aguacateco	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
34	AGUACATECO_AGUACATAN-1-1	AGUACATECO_AGUACATAN	AGUACATECO_AGUACATAN	agua1252	Aguacateco	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
35	CENTRAL_QUICHE-1-1	CENTRAL_QUICHE	CENTRAL_QUICHE	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
36	CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA-1-1	CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA	CENTRAL_QUICHE_SANTA_MARIA_CHIQUIMULA	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
37	EASTERN_KEKCHI_CAHABON-1-1	EASTERN_KEKCHI_CAHABON	EASTERN_KEKCHI_CAHABON	kekc1242	Kekchí	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	ha7in	ha7in	h ɐ ʔ i n	false
38	EASTERN_QUICHE_RABINAL-1-1	EASTERN_QUICHE_RABINAL	EASTERN_QUICHE_RABINAL	achi1256	Achi	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	ri7in	ri7in	r i ʔ i n	false
39	IXIL_CHAJUL-1-1	IXIL_CHAJUL	IXIL_CHAJUL	ixil1251	Ixil	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
40	KEKCHI-1-1	KEKCHI	KEKCHI	kekc1242	Kekchí	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
41	KICHE-1-1	KICHE	KICHE	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
42	KICHEE_ALDEA_ARGUETA_SOLOLA-1-1	KICHEE_ALDEA_ARGUETA_SOLOLA	KICHEE_ALDEA_ARGUETA_SOLOLA	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
43	KICHEE_CANTEL-1-1	KICHEE_CANTEL	KICHEE_CANTEL	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
44	KICHEE_CHICHICASTENANGO-1-1	KICHEE_CHICHICASTENANGO	KICHEE_CHICHICASTENANGO	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
45	KICHEE_CUBULCO-1-1	KICHEE_CUBULCO	KICHEE_CUBULCO	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	yin	yin	j i n	false
46	KICHEE_CUNEN_1-1-1	KICHEE_CUNEN_1	KICHEE_CUNEN_1	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
47	KICHEE_CUNEN_2-1-1	KICHEE_CUNEN_2	KICHEE_CUNEN_2	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
48	KICHEE_JOYABAJ_1-1-1	KICHEE_JOYABAJ_1	KICHEE_JOYABAJ_1	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
49	KICHEE_JOYABAJ_2-1-1	KICHEE_JOYABAJ_2	KICHEE_JOYABAJ_2	kich1262	K'iche'	Mayan	Core Mayan	Quichean-Mamean	False	1	*I	1209	I	in	in	i n	false
