ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DAUR-1-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	1	*I	1209	I	bi	bi	b i	false
2	MOGHOL-1-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	1	*I	1209	I	bi	bi	b i	false
3	MOGHOL-30-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	30	*blood	946	BLOOD	Cisu	Cisu	tʃ i s u	false
4	MOGHOL-30-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	30	*blood	946	BLOOD	Cusun	Cusun	tʃ u s u n	false
5	MOGHOL-31-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	31	*bone	1394	BONE	yosud	yosud	j o s u d	false
6	MOGHOL-51-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	51	*breasts	1402	BREAST	koka	koka	k o k ɐ	false
7	MOGHOL-51-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	51	*breasts	1402	BREAST	qoqo	qoqo	q o q o	false
8	DAUR-66-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	66	*come	1446	COME	ir	ir	i r	false
9	MOGHOL-66-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	66	*come	1446	COME	urCi	urCi	u r tʃ i	false
10	DAUR-61-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	61	*die	1494	DIE	ug	ug	u g	false
11	MOGHOL-61-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	61	*die	1494	DIE	uku	uku	u k u	false
12	DAUR-21-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	21	*dog	2009	DOG	noxw~	noxw~	n o xʷ	false
13	MOGHOL-21-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	21	*dog	2009	DOG	noqai	noqai	n o q ɐ i	false
14	DAUR-54-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	54	*drink	1401	DRINK	wo	wo	w o	false
15	MOGHOL-54-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	54	*drink	1401	DRINK	oCi	oCi	o tʃ i	false
16	MOGHOL-54-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	54	*drink	1401	DRINK	oCol	oCol	o tʃ o l	false
17	MOGHOL-39-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	39	*ear	1247	EAR	Ciq3n	Ciq3n	tʃ i q ə n	false
18	DAUR-40-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	40	*eye	1248	EYE	nid	nid	n i d	false
19	MOGHOL-40-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	40	*eye	1248	EYE	CiSm	CiSm	tʃ i ʃ m	false
20	MOGHOL-40-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	40	*eye	1248	EYE	nudun	nudun	n u d u n	false
21	DAUR-82-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	82	*fire	221	FIRE	CuCw~	CuCw~	tʃ u tʃʷ	false
22	MOGHOL-82-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	82	*fire	221	FIRE	rol	rol	r o l	false
23	MOGHOL-82-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	82	*fire	221	FIRE	dor	dor	d o r	false
24	DAUR-19-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	19	*fish	227	FISH	jags	jags	dʒ ɐ g s	false
25	MOGHOL-19-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	19	*fish	227	FISH	moi	moi	m o i	false
26	DAUR-95-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	95	*full	1429	FULL	Cad	Cad	tʃ ɐ d	false
27	MOGHOL-95-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	95	*full	1429	FULL	dur	dur	d u r	false
28	DAUR-48-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	48	*hand	1277	HAND	gary~	gary~	g ɐ rʲ	false
29	MOGHOL-48-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	48	*hand	1277	HAND	gor	gor	g o r	false
30	MOGHOL-48-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	48	*hand	1277	HAND	ror	ror	r o r	false
31	DAUR-58-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	58	*hear	1408	HEAR	sons	sons	s o n s	false
32	MOGHOL-58-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	58	*hear	1408	HEAR	ol	ol	o l	false
33	MOGHOL-58-2	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	58	*hear	1408	HEAR	sonos	sonos	s o n o s	false
34	DAUR-34-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	34	*horn	1393	HORN (ANATOMY)	x3ur	x3ur	x ə u r	false
35	DAUR-47-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	47	*knee	1371	KNEE	tolCix	tolCix	t o l tʃ i x	false
36	DAUR-25-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	25	*leaf	628	LEAF	lErC	lErC	l a r tʃ	false
37	MOGHOL-22-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	22	*louse	1392	LOUSE	busu	busu	b u s u	false
38	DAUR-86-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	86	*mountain	639	MOUNTAIN	aul	aul	ɐ u l	false
39	MOGHOL-86-1	MOGHOL	MOGHOL	mogh1245	Mogholi	Mongolic-Khitan	Mongolic		False	86	*mountain	639	MOUNTAIN	aulo	aulo	ɐ u l o	false
40	DAUR-100-1	DAUR	DAUR	daur1238	Dagur	Mongolic-Khitan	Mongolic		False	100	*name	1405	NAME	n3r	n3r	n ə r	false
