ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	EMEM-1-1	EMEM	EMEM	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	1	*I	1209	I	onau	onau	o n ɐ u	false
2	EMEM_UMUAF-1-1	EMEM_UMUAF	EMEM_UMUAF	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	1	*I	1209	I	ona	ona	o n ɐ	false
3	JAFI-1-1	JAFI	JAFI	yafi1240	Yafi	Pauwasi	Eastern Pauwasi		False	1	*I	1209	I	nam	nam	n ɐ m	false
4	YURI-1-1	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	1	*I	1209	I	3noN	3noN	ə n o ŋ	false
5	YURI-1-2	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	1	*I	1209	I	ono	ono	o n o	false
6	EMEM-30-1	EMEM	EMEM	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	mobe	mobe	m o b e	false
7	EMEM_UMUAF-30-1	EMEM_UMUAF	EMEM_UMUAF	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	y3r3	y3r3	j ə r ə	false
8	EMUMU-30-1	EMUMU	EMUMU	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	mobe	mobe	m o b e	false
9	JAFI-30-1	JAFI	JAFI	yafi1240	Yafi	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	mob	mob	m o b	false
10	KARKAR_YURI-30-1	KARKAR_YURI	KARKAR_YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	y3ri	y3ri	j ə r i	false
11	YURI-30-1	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	y3ri	y3ri	j ə r i	false
12	YURI-30-2	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	30	*blood	946	BLOOD	yari	yari	j ɐ r i	false
13	EMEM-31-1	EMEM	EMEM	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kolk	kolk	k o l k	false
14	EMEM_UMUAF-31-1	EMEM_UMUAF	EMEM_UMUAF	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kol	kol	k o l	false
15	EMUMU-31-1	EMUMU	EMUMU	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kolk	kolk	k o l k	false
16	JAFI-31-1	JAFI	JAFI	yafi1240	Yafi	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	3ndai	3ndai	ə n d ɐ i	false
17	KARKAR_YURI-31-1	KARKAR_YURI	KARKAR_YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kurr	kurr	k u r r	false
18	YURI-31-1	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kaur	kaur	k ɐ u r	false
19	YURI-31-2	YURI	YURI	kark1258	Karkar-Yuri	Pauwasi	Eastern Pauwasi		False	31	*bone	1394	BONE	kor	kor	k o r	false
20	EMEM-51-1	EMEM	EMEM	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	51	*breasts	1402	BREAST	mop	mop	m o p	false
21	EMEM_UMUAF-51-1	EMEM_UMUAF	EMEM_UMUAF	emum1240	Emumu	Pauwasi	Eastern Pauwasi		False	51	*breasts	1402	BREAST	mom	mom	m o m	false
