ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	BELLA_COOLA-1-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	1	*I	1209	I	nc	nc	n ts	false
2	BELLA_COOLA-30-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	30	*blood	946	BLOOD	six	six	s i x	false
3	BELLA_COOLA-31-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	31	*bone	1394	BONE	cap	cap	ts ɐ p	false
4	BELLA_COOLA-51-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	51	*breasts	1402	BREAST	tums	tums	t u m s	false
5	BELLA_COOLA-66-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	66	*come	1446	COME	puL"	puL"	p u ʎ’	false
6	BELLA_COOLA-61-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	61	*die	1494	DIE	atma	atma	ɐ t m ɐ	false
7	BELLA_COOLA-21-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	21	*dog	2009	DOG	wac"	wac"	w ɐ tsʼ	false
8	BELLA_COOLA-54-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	54	*drink	1401	DRINK	qala	qala	q ɐ l ɐ	false
9	BELLA_COOLA-39-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	39	*ear	1247	EAR	tanksta	tanksta	t ɐ n k s t ɐ	false
10	BELLA_COOLA-40-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	40	*eye	1248	EYE	qluq"s	qluq"s	q l u qʼ s	false
11	BELLA_COOLA-82-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	82	*fire	221	FIRE	niXw~	niXw~	n i χʷ	false
12	BELLA_COOLA-19-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	19	*fish	227	FISH	smLk	smLk	s m ʎ k	false
13	BELLA_COOLA-95-1	BELLA_COOLA	BELLA_COOLA	bell1243	Bella Coola	Salishan			False	95	*full	1429	FULL	lik"	lik"	l i kʼ	false
