ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MOMUNA-1-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	1	*I	1209	I	nagu	nagu	n ɐ g u	false
2	MOMUNA_2-1-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	1	*I	1209	I	na	na	n ɐ	false
3	MOMUNA-30-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	30	*blood	946	BLOOD	jan3	jan3	dʒ ɐ n ə	false
4	MOMUNA_2-30-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	30	*blood	946	BLOOD	joni	joni	dʒ o n i	false
5	MOMUNA-31-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	31	*bone	1394	BONE	toko	toko	t o k o	false
6	MOMUNA_2-31-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	31	*bone	1394	BONE	kuro	kuro	k u r o	false
7	MOMUNA_2-51-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	51	*breasts	1402	BREAST	mown	mown	m o w n	false
8	MOMUNA-66-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	66	*come	1446	COME	meiyo	meiyo	m e i j o	false
9	MOMUNA_2-66-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	66	*come	1446	COME	mEi	mEi	m a i	false
10	MOMUNA_2-61-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	61	*die	1494	DIE	kweama	kweama	k w e ɐ m ɐ	false
11	MOMUNA-21-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	21	*dog	2009	DOG	kwoka	kwoka	k w o k ɐ	false
12	MOMUNA_2-21-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	21	*dog	2009	DOG	ko	ko	k o	false
13	MOMUNA_2-54-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	54	*drink	1401	DRINK	menerima	menerima	m e n e r i m ɐ	false
14	MOMUNA_2-39-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	39	*ear	1247	EAR	ate	ate	ɐ t e	false
15	MOMUNA-40-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	40	*eye	1248	EYE	otu	otu	o t u	false
16	MOMUNA-82-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	82	*fire	221	FIRE	kukwa	kukwa	k u k w ɐ	false
17	MOMUNA_2-82-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	82	*fire	221	FIRE	kukw~a	kukw~a	k u kʷ ɐ	false
18	MOMUNA_2-19-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	19	*fish	227	FISH	ke	ke	k e	false
19	MOMUNA-48-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	te	te	t e	false
20	MOMUNA-48-2	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	teri	teri	t e r i	false
21	MOMUNA_2-58-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	58	*hear	1408	HEAR	woma	woma	w o m ɐ	false
22	MOMUNA_2-47-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	47	*knee	1371	KNEE	dyorutoku	dyorutoku	d j o r u t o k u	false
23	MOMUNA_2-53-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	53	*liver	1224	LIVER	inima	inima	i n i m ɐ	false
24	MOMUNA-22-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	22	*louse	1392	LOUSE	amega	amega	ɐ m e g ɐ	false
25	MOMUNA_2-86-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	86	*mountain	639	MOUNTAIN	tow	tow	t o w	false
26	MOMUNA_2-100-1	MOMUNA_2	MOMUNA_2	momu1241	Momuna	Somahai			False	100	*name	1405	NAME	si	si	s i	false
