ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	LABI-1-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	1	*I	1209	I	ani	ani	ɐ n i	false
2	LABI-66-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	66	*come	1446	COME	war	war	w ɐ r	false
3	LABI-61-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	61	*die	1494	DIE	yu	yu	j u	false
4	LABI-21-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	21	*dog	2009	DOG	gb~is	gb~is	g b i s	false
5	LABI-54-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	54	*drink	1401	DRINK	oman	oman	o m ɐ n	false
6	LABI-40-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	40	*eye	1248	EYE	kom	kom	k o m	false
7	LABI-82-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	82	*fire	221	FIRE	pur	pur	p u r	false
8	LABI-19-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	19	*fish	227	FISH	ngora	ngora	n g o r ɐ	false
9	LABI-48-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	48	*hand	1277	HAND	ndar	ndar	n d ɐ r	false
10	LABI-86-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	86	*mountain	639	MOUNTAIN	gb~om	gb~om	g b o m	false
11	LABI-92-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	92	*night	1233	NIGHT	gb~ide	gb~ide	g b i d e	false
12	LABI-41-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	41	*nose	1221	NOSE	mbundoro	mbundoro	m b u n d o r o	false
13	LABI-11-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	11	*one	1493	ONE	veu	veu	v e u	false
14	LABI-85-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	85	*path	2252	PATH	domloko	domloko	d o m l o k o	false
15	LABI-77-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	77	*stone	857	STONE	are	are	ɐ r e	false
16	LABI-72-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	72	*sun	1343	SUN	Cirkoe	Cirkoe	tʃ i r k o e	false
17	LABI-43-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	43	*tooth	1380	TOOTH	gb~ena	gb~ena	g b e n ɐ	false
18	LABI-23-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	23	*tree	906	TREE	sur	sur	s u r	false
19	LABI-12-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	12	*two	1498	TWO	kare	kare	k ɐ r e	false
20	LABI-75-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	75	*water	948	WATER	man	man	m ɐ n	false
21	LABI-3-1	LABI	LABI	labi1244	La'bi	Speech Register	Atlantic-Congo Speech Register		False	3	*we	1212	WE	e	e	e	false
