ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	TAULIL-1-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	1	*I	1209	I	Na	Na	ŋ ɐ	false
2	TAULIL-1-2	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	1	*I	1209	I	NaN	NaN	ŋ ɐ ŋ	false
3	TAULIL-66-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	66	*come	1446	COME	let	let	l e t	false
4	TAULIL-21-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	21	*dog	2009	DOG	kavova	kavova	k ɐ v o v ɐ	false
5	TAULIL-39-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	39	*ear	1247	EAR	tamaka	tamaka	t ɐ m ɐ k ɐ	false
6	TAULIL-82-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	82	*fire	221	FIRE	iap	iap	i ɐ p	false
7	TAULIL-96-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	96	*new	1231	NEW	lama	lama	l ɐ m ɐ	false
8	TAULIL-41-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	41	*nose	1221	NOSE	koloma	koloma	k o l o m ɐ	false
9	TAULIL-11-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	11	*one	1493	ONE	taNata	taNata	t ɐ ŋ ɐ t ɐ	false
10	TAULIL-11-2	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	11	*one	1493	ONE	taNavon	taNavon	t ɐ ŋ ɐ v o n	false
11	TAULIL-85-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	85	*path	2252	PATH	tuka	tuka	t u k ɐ	false
12	TAULIL-18-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	18	*person	683	PERSON	loka	loka	l o k ɐ	false
13	TAULIL-57-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	57	*see	1409	SEE	toti	toti	t o t i	false
14	TAULIL-74-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	74	*star	1430	STAR	tandima	tandima	t ɐ n d i m ɐ	false
15	TAULIL-77-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	77	*stone	857	STONE	vat	vat	v ɐ t	false
16	TAULIL-72-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	72	*sun	1343	SUN	vanua	vanua	v ɐ n u ɐ	false
17	TAULIL-23-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	23	*tree	906	TREE	davai	davai	d ɐ v ɐ i	false
18	TAULIL-12-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	12	*two	1498	TWO	mukom	mukom	m u k o m	false
19	TAULIL-12-2	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	12	*two	1498	TWO	mulaNgap	mulaNgap	m u l ɐ ŋ g ɐ p	false
20	TAULIL-75-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	75	*water	948	WATER	tava	tava	t ɐ v ɐ	false
21	TAULIL-3-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	3	*we	1212	WE	du	du	d u	false
22	TAULIL-3-2	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	3	*we	1212	WE	undu	undu	u n d u	false
23	TAULIL-2-1	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	2	*you	1215	THOU	Ni	Ni	ŋ i	false
24	TAULIL-2-2	TAULIL	TAULIL	taul1251	Taulil	Taulil-Butam			False	2	*you	1215	THOU	NiN	NiN	ŋ i ŋ	false
