ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	HAISLA-1-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	1	*I	1209	I	nugw~a	nugw~a	n u gʷ ɐ	false
2	HAISLA-30-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	30	*blood	946	BLOOD	blxLm	blxLm	b l x ʎ m	false
3	HAISLA-31-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	31	*bone	1394	BONE	XaX	XaX	χ ɐ χ	false
4	HAISLA-51-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	51	*breasts	1402	BREAST	jam"i	jam"i	dʒ ɐ m’ i	false
5	HAISLA-66-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	66	*come	1446	COME	Gan"akw~	Gan"akw~	ɢ ɐ n’ ɐ kʷ	false
6	HAISLA-61-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	61	*die	1494	DIE	Ll	Ll	ʎ l	false
7	HAISLA-21-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	21	*dog	2009	DOG	w"ac"	w"ac"	w’ ɐ tsʼ	false
8	HAISLA-54-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	54	*drink	1401	DRINK	naqa	naqa	n ɐ q ɐ	false
9	HAISLA-39-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	39	*ear	1247	EAR	p"sp"yu	p"sp"yu	pʼ s pʼ j u	false
10	HAISLA-40-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	40	*eye	1248	EYE	GGs	GGs	ɢ ɢ s	false
11	HAISLA-82-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	82	*fire	221	FIRE	xw~ltla	xw~ltla	xʷ l t l ɐ	false
12	HAISLA-19-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	19	*fish	227	FISH	my	my	m j	false
13	HAISLA-95-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	95	*full	1429	FULL	qut"a	qut"a	q u tʼ ɐ	false
14	HAISLA-48-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	48	*hand	1277	HAND	ha7isu	ha7isu	h ɐ ʔ i s u	false
15	HAISLA-48-2	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	48	*hand	1277	HAND	hayasu	hayasu	h ɐ j ɐ s u	false
16	HAISLA-58-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	58	*hear	1408	HEAR	humala	humala	h u m ɐ l ɐ	false
17	HAISLA-34-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	34	*horn	1393	HORN (ANATOMY)	wL"aq	wL"aq	w ʎ’ ɐ q	false
18	HAISLA-47-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	47	*knee	1371	KNEE	k"u7k"w~s Xdamwa	k"u7k"w~s Xdamwa	kʼ u ʔ kʼʷ s χ d ɐ m w ɐ	false
19	HAISLA-25-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	25	*leaf	628	LEAF	q"w~axela	q"w~axela	qʼʷ ɐ x e l ɐ	false
20	HAISLA-53-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	53	*liver	1224	LIVER	l"Gis	l"Gis	l’ ɢ i s	false
21	HAISLA-22-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	22	*louse	1392	LOUSE	Gin	Gin	ɢ i n	false
22	HAISLA-86-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	86	*mountain	639	MOUNTAIN	n3ge	n3ge	n ə g e	false
23	HAISLA-100-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	100	*name	1405	NAME	dunt	dunt	d u n t	false
24	HAISLA-96-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	96	*new	1231	NEW	h"aluL	h"aluL	h’ ɐ l u ʎ	false
25	HAISLA-92-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	92	*night	1233	NIGHT	GanuL	GanuL	ɢ ɐ n u ʎ	false
26	HAISLA-41-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	41	*nose	1221	NOSE	Xuma7x	Xuma7x	χ u m ɐ ʔ x	false
27	HAISLA-11-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	11	*one	1493	ONE	n"aukw~	n"aukw~	n’ ɐ u kʷ	false
28	HAISLA-85-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	85	*path	2252	PATH	t"lxs	t"lxs	tʼ l x s	false
29	HAISLA-18-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	18	*person	683	PERSON	wism	wism	w i s m	false
30	HAISLA-57-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	57	*see	1409	SEE	duqw~la	duqw~la	d u qʷ l ɐ	false
31	HAISLA-28-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	28	*skin	763	SKIN	L"is	L"is	ʎ’ i s	false
32	HAISLA-74-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	74	*star	1430	STAR	t"ut"u	t"ut"u	tʼ u tʼ u	false
33	HAISLA-77-1	HAISLA	HAISLA	hais1244	Haisla	Wakashan	Northern Wakashan		False	77	*stone	857	STONE	t"ism	t"ism	tʼ i s m	false
