ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	EIGHTEENTH_CENTURY_KET-1-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	ad	ad	ɐ d	false
2	EIGHTEENTH_CENTURY_KET-1-2	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	ade	ade	ɐ d e	false
3	EIGHTEENTH_CENTURY_KET-1-3	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	di	di	d i	false
4	KET-1-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	at	at	ɐ t	false
5	YUGH-1-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	at	at	ɐ t	false
6	EIGHTEENTH_CENTURY_KET-30-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sul7	sul7	s u l ʔ	false
7	KET-30-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sul	sul	s u l	false
8	YUGH-30-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sur	sur	s u r	false
9	EIGHTEENTH_CENTURY_KET-31-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	at	at	ɐ t	false
10	KET-31-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	at	at	ɐ t	false
11	YUGH-31-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	a7t	a7t	ɐ ʔ t	false
12	EIGHTEENTH_CENTURY_KET-51-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	mam	mam	m ɐ m	false
13	EIGHTEENTH_CENTURY_KET-51-2	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	toga	toga	t o g ɐ	false
14	EIGHTEENTH_CENTURY_KET-51-3	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	togga	togga	t o g g ɐ	false
15	KET-51-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	mam	mam	m ɐ m	false
16	YUGH-51-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	ma7m	ma7m	m ɐ ʔ m	false
17	KET-66-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	66	*come	1446	COME	igbEs	igbEs	i g b a s	false
18	YUGH-66-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	66	*come	1446	COME	d7i	d7i	d ʔ i	false
19	KET-61-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	61	*die	1494	DIE	qorEN	qorEN	q o r a ŋ	false
20	YUGH-61-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	61	*die	1494	DIE	XodeN	XodeN	χ o d e ŋ	false
21	EIGHTEENTH_CENTURY_KET-21-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	21	*dog	2009	DOG	Cip	Cip	tʃ i p	false
22	EIGHTEENTH_CENTURY_KET-21-2	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	21	*dog	2009	DOG	tip	tip	t i p	false
23	KET-21-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	21	*dog	2009	DOG	tip	tip	t i p	false
24	YUGH-21-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	21	*dog	2009	DOG	Cip	Cip	tʃ i p	false
25	EIGHTEENTH_CENTURY_KET-54-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	54	*drink	1401	DRINK	duledop	duledop	d u l e d o p	false
