ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	UBYKH-1-1	UBYKH	UBYKH	ubyk1235	Ubykh	Abkhaz-Adyge			False	1	*I	1209	I	s3Xw~a	s3Xw~a	s ə χʷ ɐ	false	3 7 3 7	AXBZ	SEGE	5	5.S.C 5.E.V 5.G.C 5.E.V	2.0 1.5 1.75 0.8	səχʷɐ	0	1
45	ABAZA-1-1	ABAZA	ABAZA	abaz1241	Abaza	Abkhaz-Adyge	Abkhaz-Abaza		False	1	*I	1209	I	sara	sara	s ɐ r ɐ	false	3 7 5 7	AXBZ	SERE	1	1.S.C 1.E.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	sɐrɐ	0	1
46	ABKHAZ-1-1	ABKHAZ	ABKHAZ	abkh1244	Abkhaz	Abkhaz-Adyge	Abkhaz-Abaza		False	1	*I	1209	I	sara	sara	s ɐ r ɐ	false	3 7 5 7	AXBZ	SERE	2	2.S.C 2.E.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	sɐrɐ	0	1
129	ADYGHE-1-1	ADYGHE	ADYGHE	adyg1241	Adyghe	Abkhaz-Adyge	Circassian		False	1	*I	1209	I	s3	s3	s ə	false	3 7	AX	SE	3	3.S.C 3.E.V	2.0 1.5	sə	0	1
130	KABARDIAN-1-1	KABARDIAN	KABARDIAN	kaba1278	Kabardian	Abkhaz-Adyge	Circassian		False	1	*I	1209	I	s3	s3	s ə	false	3 7	AX	SE	4	4.S.C 4.E.V	2.0 1.5	sə	0	1
2	UBYKH-30-1	UBYKH	UBYKH	ubyk1235	Ubykh	Abkhaz-Adyge			False	30	*blood	946	BLOOD	La	La	ʎ ɐ	false	5 7	AX	LE	5	5.L.C 5.E.V	2.0 1.5	ʎɐ	0	2
47	ABAZA-30-1	ABAZA	ABAZA	abaz1241	Abaza	Abkhaz-Adyge	Abkhaz-Abaza		False	30	*blood	946	BLOOD	Sy~a	Sy~a	ʃʲ ɐ	false	3 7	AX	SE	1	1.S.C 1.E.V	2.0 1.5	ʃʲɐ	0	2
48	ABKHAZ-30-1	ABKHAZ	ABKHAZ	abkh1244	Abkhaz	Abkhaz-Adyge	Abkhaz-Abaza		False	30	*blood	946	BLOOD	Sy~a	Sy~a	ʃʲ ɐ	false	3 7	AX	SE	2	2.S.C 2.E.V	2.0 1.5	ʃʲɐ	0	2
131	ADYGHE-30-1	ADYGHE	ADYGHE	adyg1241	Adyghe	Abkhaz-Adyge	Circassian		False	30	*blood	946	BLOOD	L3	L3	ʎ ə	false	5 7	AX	LE	3	3.L.C 3.E.V	2.0 1.5	ʎə	0	2
132	KABARDIAN-30-1	KABARDIAN	KABARDIAN	kaba1278	Kabardian	Abkhaz-Adyge	Circassian		False	30	*blood	946	BLOOD	L3	L3	ʎ ə	false	5 7	AX	LE	4	4.L.C 4.E.V	2.0 1.5	ʎə	0	2
3	UBYKH-31-1	UBYKH	UBYKH	ubyk1235	Ubykh	Abkhaz-Adyge			False	31	*bone	1394	BONE	pq3	pq3	p q ə	false	1 1 7	ACZ	PKE	5	5.P.C 5.K.C 5.E.V	2.0 1.5 0.8	pqə	0	3
