ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	ANGAATAHA-1-1	ANGAATAHA	ANGAATAHA	anga1290	Angaataha	Angan			False	1	*I	1209	I	n3n3	n3n3	n ə n ə	false	4 7 4 7	AXBZ	NENE	2	2.N.C 2.E.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	nənə	0	2
40	YAGWOIA-1-1	YAGWOIA	YAGWOIA	yagw1240	Yagwoia	Angan	Nuclear Angan		False	1	*I	1209	I	nka	nka	n k ɐ	false	4 1 7	ACZ	NKE	14	14.N.C 14.K.C 14.E.V	2.0 1.5 0.8	nkɐ	0	1
79	ANKAVE-1-1	ANKAVE	ANKAVE	anka1246	Ankave	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	nyon3	nyon3	n j o n ə	false	4 6 7 4 7	ACXBZ	NJUNE	3	3.N.C 3.J.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.5 1.75 0.8	njonə	0	2
80	IVORI-1-1	IVORI	IVORI	tain1253	Tainae	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	to7	to7	t o ʔ	false	1 7 1	AXN	TUH	6	6.T.C 6.U.V 6.H.c	2.0 1.5 0.8	toʔ	0	3
81	LOHIKI-1-1	LOHIKI	LOHIKI	akoy1238	Akoye	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	nna	nna	n n ɐ	false	4 4 7	ACZ	NNE	10	10.N.C 10.N.C 10.E.V	2.0 1.5 0.8	nnɐ	0	2
82	LOHIKI-1-2	LOHIKI	LOHIKI	akoy1238	Akoye	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	ndo	ndo	n d o	false	4 1 7	ACZ	NTU	10	10.N.C 10.T.C 10.U.V	2.0 1.5 0.8	ndo	0	3
83	TAINAE-1-1	TAINAE	TAINAE	tain1253	Tainae	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	to	to	t o	false	1 7	AX	TU	13	13.T.C 13.U.V	2.0 1.5	to	0	3
84	TAINAE-1-2	TAINAE	TAINAE	tain1253	Tainae	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	1	*I	1209	I	te	te	t e	false	1 7	AX	TE	13	13.T.C 13.E.V	2.0 1.5	te	0	5
230	BARUYA-1-1	BARUYA	BARUYA	baru1267	Baruya	Angan	Nuclear Angan	Baruya-Simbari	False	1	*I	1209	I	n3m3	n3m3	n ə m ə	false	4 7 4 7	AXBZ	NEME	4	4.N.C 4.E.V 4.M.C 4.E.V	2.0 1.5 1.75 0.8	nəmə	0	1
231	SIMBARI-1-1	SIMBARI	SIMBARI	simb1255	Simbari	Angan	Nuclear Angan	Baruya-Simbari	False	1	*I	1209	I	n3v3	n3v3	n ə v ə	false	4 7 3 7	AXBZ	NEBE	12	12.N.C 12.E.V 12.B.C 12.E.V	2.0 1.5 1.75 0.8	nəvə	0	4
311	HAMTAI-1-1	HAMTAI	HAMTAI	hamt1247	Hamtai	Angan	Nuclear Angan	Kapau-Menya	False	1	*I	1209	I	ni	ni	n i	false	4 7	AX	NI	5	5.N.C 5.I.V	2.0 1.5	ni	0	1
312	KAPAU-1-1	KAPAU	KAPAU	hamt1247	Hamtai	Angan	Nuclear Angan	Kapau-Menya	False	1	*I	1209	I	ni	ni	n i	false	4 7	AX	NI	8	8.N.C 8.I.V	2.0 1.5	ni	0	1
313	MENYA-1-1	MENYA	MENYA	meny1245	Menya	Angan	Nuclear Angan	Kapau-Menya	False	1	*I	1209	I	5i	5i	ɲ i	false	4 7	AX	NI	11	11.N.C 11.I.V	2.0 1.5	ɲi	0	1
423	AMPALE-1-1	AMPALE	AMPALE	safe1240	Safeyoka	Angan	Nuclear Angan	Wojokesic	False	1	*I	1209	I	nka	nka	n k ɐ	false	4 1 7	ACZ	NKE	1	1.N.C 1.K.C 1.E.V	2.0 1.5 0.8	nkɐ	0	1
424	KAMASA-1-1	KAMASA	KAMASA	kama1360	Kamasa	Angan	Nuclear Angan	Wojokesic	False	1	*I	1209	I	nyi	nyi	n j i	false	4 6 7	ACX	NJI	7	7.N.C 7.J.C 7.I.V	2.0 1.5 1.5	nji	0	1
425	KAWACHA-1-1	KAWACHA	KAWACHA	kawa1276	Kawacha	Angan	Nuclear Angan	Wojokesic	False	1	*I	1209	I	nnyi	nnyi	n n j i	false	4 4 6 7	ACCZ	NNJI	9	9.N.C 9.N.C 9.J.C 9.I.V	2.0 1.5 1.5 0.8	nnji	0	2
2	ANGAATAHA-30-1	ANGAATAHA	ANGAATAHA	anga1290	Angaataha	Angan			False	30	*blood	946	BLOOD	ns3t3	ns3t3	n s ə t ə	false	4 3 7 1 7	ACYBZ	NSETE	2	2.N.C 2.S.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.3 1.75 0.8	nsətə	0	7
41	YAGWOIA-30-1	YAGWOIA	YAGWOIA	yagw1240	Yagwoia	Angan	Nuclear Angan		False	30	*blood	946	BLOOD	msasa	msasa	m s ɐ s ɐ	false	4 3 7 3 7	ACYBZ	MSESE	14	14.M.C 14.S.C 14.E.V 14.S.C 14.E.V	2.0 1.5 1.3 1.75 0.8	msɐsɐ	0	12
85	ANKAVE-30-1	ANKAVE	ANKAVE	anka1246	Ankave	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	30	*blood	946	BLOOD	tangga	tangga	t ɐ n g g ɐ	false	1 7 4 1 1 7	AXLMBZ	TENKKE	3	3.T.C 3.E.V 3.N.c 3.K.c 3.K.C 3.E.V	2.0 1.5 1.1 1.1 1.75 0.8	tɐnggɐ	0	8
86	IVORI-30-1	IVORI	IVORI	tain1253	Tainae	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	30	*blood	946	BLOOD	tagi7	tagi7	t ɐ g i ʔ	false	1 7 1 7 1	AXBYN	TEKIH	6	6.T.C 6.E.V 6.K.C 6.I.V 6.H.c	2.0 1.5 1.75 1.3 0.8	tɐgiʔ	0	8
87	LOHIKI-30-1	LOHIKI	LOHIKI	akoy1238	Akoye	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	30	*blood	946	BLOOD	tagi	tagi	t ɐ g i	false	1 7 1 7	AXBZ	TEKI	10	10.T.C 10.E.V 10.K.C 10.I.V	2.0 1.5 1.75 0.8	tɐgi	0	8
88	TAINAE-30-1	TAINAE	TAINAE	tain1253	Tainae	Angan	Nuclear Angan	Ankave-Tainae-Akoye	False	30	*blood	946	BLOOD	tag3b3	tag3b3	t ɐ g ə b ə	false	1 7 1 7 1 7	AXBYBZ	TEKEPE	13	13.T.C 13.E.V 13.K.C 13.E.V 13.P.C 13.E.V	2.0 1.5 1.75 1.3 1.75 0.8	tɐgəbə	0	8
232	BARUYA-30-1	BARUYA	BARUYA	baru1267	Baruya	Angan	Nuclear Angan	Baruya-Simbari	False	30	*blood	946	BLOOD	tawe	tawe	t ɐ w e	false	1 7 6 7	AXBZ	TEWE	4	4.T.C 4.E.V 4.W.C 4.E.V	2.0 1.5 1.75 0.8	tɐwe	0	9
233	SIMBARI-30-1	SIMBARI	SIMBARI	simb1255	Simbari	Angan	Nuclear Angan	Baruya-Simbari	False	30	*blood	946	BLOOD	m3njaka	m3njaka	m ə n dʒ ɐ k ɐ	false	4 7 4 1 7 1 7	AXMBYBZ	MENTEKE	12	12.M.C 12.E.V 12.N.c 12.T.C 12.E.V 12.K.C 12.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	məndʒɐkɐ	0	11
314	KAPAU-30-1	KAPAU	KAPAU	hamt1247	Hamtai	Angan	Nuclear Angan	Kapau-Menya	False	30	*blood	946	BLOOD	hinge7a	hinge7a	h i n g e ʔ ɐ	false	3 7 4 1 7 1 7	AXMBYBZ	HINKEHE	8	8.H.C 8.I.V 8.N.c 8.K.C 8.E.V 8.H.C 8.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	hingeʔɐ	0	11
315	MENYA-30-1	MENYA	MENYA	meny1245	Menya	Angan	Nuclear Angan	Kapau-Menya	False	30	*blood	946	BLOOD	h3Neq3	h3Neq3	h ə ŋ e q ə	false	3 7 4 7 1 7	AXBYBZ	HENEKE	11	11.H.C 11.E.V 11.N.C 11.E.V 11.K.C 11.E.V	2.0 1.5 1.75 1.3 1.75 0.8	həŋeqə	0	11
