ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	PAUMARI-1-1	PAUMARI	PAUMARI	paum1247	Paumari	Arawan			False	1	*I	1209	I	ho	ho	h o	false	3 7	AX	HU	4	4.H.C 4.U.V	2.0 1.5	ho	0	2
2	PAUMARI-1-2	PAUMARI	PAUMARI	paum1247	Paumari	Arawan			False	1	*I	1209	I	hovani	hovani	h o v ɐ n i	false	3 7 3 7 4 7	AXBYBZ	HUBENI	4	4.H.C 4.U.V 4.B.C 4.E.V 4.N.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hovɐni	0	3
166	DENI-1-1	DENI	DENI	deni1241	Deni	Arawan	Madi-Madiha	Madiha	False	1	*I	1209	I	uva	uva	u v ɐ	false	7 3 7	XBZ	YBE	2	2.Y.V 2.B.C 2.E.V	1.5 1.75 0.8	uvɐ	0	1
167	MADIJA-1-1	MADIJA	MADIJA	culi1244	Culina	Arawan	Madi-Madiha	Madiha	False	1	*I	1209	I	owa	owa	o w ɐ	false	7 6 7	XBZ	UWE	3	3.U.V 3.W.C 3.E.V	1.5 1.75 0.8	owɐ	0	1
3	PAUMARI-30-1	PAUMARI	PAUMARI	paum1247	Paumari	Arawan			False	30	*blood	946	BLOOD	bama	bama	b ɐ m ɐ	false	1 7 4 7	AXBZ	PEME	4	4.P.C 4.E.V 4.M.C 4.E.V	2.0 1.5 1.75 0.8	bɐmɐ	0	4
4	PAUMARI-30-2	PAUMARI	PAUMARI	paum1247	Paumari	Arawan			False	30	*blood	946	BLOOD	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	4	4.E.V 4.M.C 4.E.V	1.5 1.75 0.8	ɐmɐ	0	4
123	BANAWA-30-1	BANAWA	BANAWA	jama1261	Madi	Arawan	Madi-Madiha		False	30	*blood	946	BLOOD	ame	ame	ɐ m e	false	7 4 7	XBZ	EME	1	1.E.V 1.M.C 1.E.V	1.5 1.75 0.8	ɐme	0	4
124	BANAWA-30-2	BANAWA	BANAWA	jama1261	Madi	Arawan	Madi-Madiha		False	30	*blood	946	BLOOD	emene	emene	e m e n e	false	7 4 7 4 7	XBYBZ	EMENE	1	1.E.V 1.M.C 1.E.V 1.N.C 1.E.V	1.5 1.75 1.3 1.75 0.8	emene	0	4
168	DENI-30-1	DENI	DENI	deni1241	Deni	Arawan	Madi-Madiha	Madiha	False	30	*blood	946	BLOOD	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	2	2.E.V 2.M.C 2.E.V	1.5 1.75 0.8	ɐmɐ	0	4
169	DENI-30-2	DENI	DENI	deni1241	Deni	Arawan	Madi-Madiha	Madiha	False	30	*blood	946	BLOOD	emene	emene	e m e n e	false	7 4 7 4 7	XBYBZ	EMENE	2	2.E.V 2.M.C 2.E.V 2.N.C 2.E.V	1.5 1.75 1.3 1.75 0.8	emene	0	4
