ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MALI-1-1	MALI	MALI	mali1284	Mali	Baining			False	1	*I	1209	I	Ngo	Ngo	ŋ g o	false	4 1 7	ACZ	NKU	1	1.N.C 1.K.C 1.U.V	2.0 1.5 0.8	ŋgo	0	1
2	QAQET-1-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	1	*I	1209	I	Nu	Nu	ŋ u	false	4 7	AX	NY	2	2.N.C 2.Y.V	2.0 1.5	ŋu	0	2
3	URA_PNG-1-1	URA_PNG	URA_PNG	urap1240	Ura (Papua New Guinea)	Baining			False	1	*I	1209	I	Nwa	Nwa	ŋ w ɐ	false	4 6 7	ACX	NWE	3	3.N.C 3.W.C 3.E.V	2.0 1.5 1.5	ŋwɐ	0	3
4	MALI-30-1	MALI	MALI	mali1284	Mali	Baining			False	30	*blood	946	BLOOD	mbias	mbias	m b i ɐ s	false	4 1 7 7 3	ACYYN	MPIES	1	1.M.C 1.P.C 1.I.V 1.E.V 1.S.c	2.0 1.5 1.3 1.3 0.8	mbiɐs	0	4
5	QAQET-30-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	30	*blood	946	BLOOD	mb~ias	mb~ias	ⁿb i ɐ s	false	1 7 7 3	AXYN	PIES	2	2.P.C 2.I.V 2.E.V 2.S.c	2.0 1.5 1.3 0.8	ⁿbiɐs	0	4
6	QAQET-30-2	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	30	*blood	946	BLOOD	mb~iEs	mb~iEs	ⁿb i a s	false	1 7 7 3	AXYN	PIAS	2	2.P.C 2.I.V 2.A.V 2.S.c	2.0 1.5 1.3 0.8	ⁿbias	0	4
7	URA_PNG-30-1	URA_PNG	URA_PNG	urap1240	Ura (Papua New Guinea)	Baining			False	30	*blood	946	BLOOD	biaska	biaska	b i ɐ s k ɐ	false	1 7 7 3 1 7	AXYMBZ	PIESKE	3	3.P.C 3.I.V 3.E.V 3.S.c 3.K.C 3.E.V	2.0 1.5 1.3 1.1 1.75 0.8	biɐskɐ	0	4
8	MALI-31-1	MALI	MALI	mali1284	Mali	Baining			False	31	*bone	1394	BONE	slepki	slepki	s l e p k i	false	3 5 7 1 1 7	ACXMBZ	SLEPKI	1	1.S.C 1.L.C 1.E.V 1.P.c 1.K.C 1.I.V	2.0 1.5 1.5 1.1 1.75 0.8	slepki	0	5
9	QAQET-31-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	31	*bone	1394	BONE	langi	langi	l ɐ n g i	false	5 7 4 1 7	AXMBZ	LENKI	2	2.L.C 2.E.V 2.N.c 2.K.C 2.I.V	2.0 1.5 1.1 1.75 0.8	lɐngi	0	6
10	URA_PNG-31-1	URA_PNG	URA_PNG	urap1240	Ura (Papua New Guinea)	Baining			False	31	*bone	1394	BONE	sl3pki	sl3pki	s l ə p k i	false	3 5 7 1 1 7	ACXMBZ	SLEPKI	3	3.S.C 3.L.C 3.E.V 3.P.c 3.K.C 3.I.V	2.0 1.5 1.5 1.1 1.75 0.8	sləpki	0	5
11	MALI-51-1	MALI	MALI	mali1284	Mali	Baining			False	51	*breasts	1402	BREAST	Cemeka	Cemeka	tʃ e m e k ɐ	false	1 7 4 7 1 7	AXBYBZ	TEMEKE	1	1.T.C 1.E.V 1.M.C 1.E.V 1.K.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	tʃemekɐ	0	7
12	MALI-66-1	MALI	MALI	mali1284	Mali	Baining			False	66	*come	1446	COME	den	den	d e n	false	1 7 4	AXN	TEN	1	1.T.C 1.E.V 1.N.c	2.0 1.5 0.8	den	0	8
13	QAQET-66-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	66	*come	1446	COME	nd~3n	nd~3n	ⁿd ə n	false	1 7 4	AXN	TEN	2	2.T.C 2.E.V 2.N.c	2.0 1.5 0.8	ⁿdən	0	8
14	URA_PNG-66-1	URA_PNG	URA_PNG	urap1240	Ura (Papua New Guinea)	Baining			False	66	*come	1446	COME	5aN	5aN	ɲ ɐ ŋ	false	4 7 4	AXN	NEN	3	3.N.C 3.E.V 3.N.c	2.0 1.5 0.8	ɲɐŋ	0	9
15	MALI-61-1	MALI	MALI	mali1284	Mali	Baining			False	61	*die	1494	DIE	iNip	iNip	i ŋ i p	false	7 4 7 1	XBYN	INIP	1	1.I.V 1.N.C 1.I.V 1.P.c	1.5 1.75 1.3 0.8	iŋip	0	10
16	QAQET-61-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	61	*die	1494	DIE	Nip	Nip	ŋ i p	false	4 7 1	AXN	NIP	2	2.N.C 2.I.V 2.P.c	2.0 1.5 0.8	ŋip	0	10
17	QAQET-61-2	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	61	*die	1494	DIE	5ip	5ip	ɲ i p	false	4 7 1	AXN	NIP	2	2.N.C 2.I.V 2.P.c	2.0 1.5 0.8	ɲip	0	10
18	MALI-21-1	MALI	MALI	mali1284	Mali	Baining			False	21	*dog	2009	DOG	paimka	paimka	p ɐ i m k ɐ	false	1 7 7 4 1 7	AXYMBZ	PEIMKE	1	1.P.C 1.E.V 1.I.V 1.M.c 1.K.C 1.E.V	2.0 1.5 1.3 1.1 1.75 0.8	pɐimkɐ	0	11
19	QAQET-21-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	21	*dog	2009	DOG	nd~aNga	nd~aNga	ⁿd ɐ ŋ g ɐ	false	1 7 4 1 7	AXMBZ	TENKE	2	2.T.C 2.E.V 2.N.c 2.K.C 2.E.V	2.0 1.5 1.1 1.75 0.8	ⁿdɐŋgɐ	0	12
20	MALI-54-1	MALI	MALI	mali1284	Mali	Baining			False	54	*drink	1401	DRINK	tnaik	tnaik	t n ɐ i k	false	1 4 7 7 1	ACXYN	TNEIK	1	1.T.C 1.N.C 1.E.V 1.I.V 1.K.c	2.0 1.5 1.5 1.3 0.8	tnɐik	0	13
21	QAQET-54-1	QAQET	QAQET	qaqe1238	Qaqet	Baining			False	54	*drink	1401	DRINK	sup	sup	s u p	false	3 7 1	AXN	SYP	2	2.S.C 2.Y.V 2.P.c	2.0 1.5 0.8	sup	0	14
22	MALI-39-1	MALI	MALI	mali1284	Mali	Baining			False	39	*ear	1247	EAR	asdemga	asdemga	ɐ s d e m g ɐ	false	7 3 1 7 4 1 7	XMBYMBZ	ESTEMKE	1	1.E.V 1.S.c 1.T.C 1.E.V 1.M.c 1.K.C 1.E.V	1.5 1.1 1.75 1.3 1.1 1.75 0.8	ɐsdemgɐ	0	15
