ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AWBONO-1-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	1	*I	1209	I	nE	nE	n a	false	4 7	AX	NA	1	1.N.C 1.A.V	2.0 1.5	na	0	1
2	BAYONO-1-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	1	*I	1209	I	nu	nu	n u	false	4 7	AX	NY	2	2.N.C 2.Y.V	2.0 1.5	nu	0	2
3	BAYONO-30-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	30	*blood	946	BLOOD	t3roh	t3roh	t ə r o h	false	1 7 5 7 3	AXBYN	TERUH	2	2.T.C 2.E.V 2.R.C 2.U.V 2.H.c	2.0 1.5 1.75 1.3 0.8	təroh	0	3
4	BAYONO-31-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	31	*bone	1394	BONE	kuru	kuru	k u r u	false	1 7 5 7	AXBZ	KYRY	2	2.K.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	kuru	0	4
5	AWBONO-51-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	51	*breasts	1402	BREAST	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	1	1.E.V 1.M.C 1.E.V	1.5 1.75 0.8	ɐmɐ	0	5
6	BAYONO-51-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	51	*breasts	1402	BREAST	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	2	2.E.V 2.M.C 2.E.V	1.5 1.75 0.8	ɐmɐ	0	5
7	AWBONO-66-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	66	*come	1446	COME	marExo	marExo	m ɐ r a x o	false	4 7 5 7 3 7	AXBYBZ	MERAGU	1	1.M.C 1.E.V 1.R.C 1.A.V 1.G.C 1.U.V	2.0 1.5 1.75 1.3 1.75 0.8	mɐraxo	0	6
8	BAYONO-66-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	66	*come	1446	COME	ma*ne	ma*ne	m ɐ̃ n e	false	4 7 4 7	AXBZ	MENE	2	2.M.C 2.E.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	mɐ̃ne	0	7
9	BAYONO-61-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	61	*die	1494	DIE	kami	kami	k ɐ m i	false	1 7 4 7	AXBZ	KEMI	2	2.K.C 2.E.V 2.M.C 2.I.V	2.0 1.5 1.75 0.8	kɐmi	0	8
10	AWBONO-21-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	21	*dog	2009	DOG	th~i	th~i	tʰ i	false	1 7	AX	TI	1	1.T.C 1.I.V	2.0 1.5	tʰi	0	9
11	BAYONO-21-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	21	*dog	2009	DOG	tih	tih	t i h	false	1 7 3	AXN	TIH	2	2.T.C 2.I.V 2.H.c	2.0 1.5 0.8	tih	0	9
12	AWBONO-54-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	54	*drink	1401	DRINK	Eria*N	Eria*N	a r i ɐ̃ ŋ	false	7 5 7 7 4	XBYYN	ARIEN	1	1.A.V 1.R.C 1.I.V 1.E.V 1.N.c	1.5 1.75 1.3 1.3 0.8	ariɐ̃ŋ	0	10
13	BAYONO-54-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	54	*drink	1401	DRINK	3erehne	3erehne	ə e r e h n e	false	7 7 5 7 3 4 7	XYBYBCZ	EEREHNE	2	2.E.V 2.E.V 2.R.C 2.E.V 2.H.C 2.N.C 2.E.V	1.5 1.3 1.75 1.3 1.75 1.5 0.8	əerehne	0	11
14	AWBONO-39-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	39	*ear	1247	EAR	koboka	koboka	k o b o k ɐ	false	1 7 1 7 1 7	AXBYBZ	KUPUKE	1	1.K.C 1.U.V 1.P.C 1.U.V 1.K.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kobokɐ	0	12
15	BAYONO-39-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	39	*ear	1247	EAR	koboka	koboka	k o b o k ɐ	false	1 7 1 7 1 7	AXBYBZ	KUPUKE	2	2.K.C 2.U.V 2.P.C 2.U.V 2.K.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kobokɐ	0	12
16	AWBONO-40-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	40	*eye	1248	EYE	suki	suki	s u k i	false	3 7 1 7	AXBZ	SYKI	1	1.S.C 1.Y.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	suki	0	13
17	BAYONO-40-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	40	*eye	1248	EYE	suki	suki	s u k i	false	3 7 1 7	AXBZ	SYKI	2	2.S.C 2.Y.V 2.K.C 2.I.V	2.0 1.5 1.75 0.8	suki	0	13
18	AWBONO-82-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	82	*fire	221	FIRE	wanto	wanto	w ɐ n t o	false	6 7 4 1 7	AXMBZ	WENTU	1	1.W.C 1.E.V 1.N.c 1.T.C 1.U.V	2.0 1.5 1.1 1.75 0.8	wɐnto	0	14
19	BAYONO-82-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	82	*fire	221	FIRE	wanto*	wanto*	w ɐ n t õ	false	6 7 4 1 7	AXMBZ	WENTU	2	2.W.C 2.E.V 2.N.c 2.T.C 2.U.V	2.0 1.5 1.1 1.75 0.8	wɐntõ	0	14
20	AWBONO-19-1	AWBONO	AWBONO	awbo1238	Awbono	Bayono-Awbono			False	19	*fish	227	FISH	ka*	ka*	k ɐ̃	false	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	kɐ̃	0	15
21	BAYONO-19-1	BAYONO	BAYONO	bayo1260	Bayono	Bayono-Awbono			False	19	*fish	227	FISH	qa*	qa*	q ɐ̃	false	1 7	AX	KE	2	2.K.C 2.E.V	2.0 1.5	qɐ̃	0	15
