ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	UMOTINA-1-1	UMOTINA	UMOTINA	umot1240	Umotína	Bororoan			False	1	*I	1209	I	imi	imi	i m i	false	7 4 7	XBZ	IMI	3	3.I.V 3.M.C 3.I.V	1.5 1.75 0.8	imi	0	1
30	BORORO-1-1	BORORO	BORORO	boro1282	Bororo	Bororoan	Bororo-Otuke		False	1	*I	1209	I	imi	imi	i m i	false	7 4 7	XBZ	IMI	1	1.I.V 1.M.C 1.I.V	1.5 1.75 0.8	imi	0	1
31	OTUKE-1-1	OTUKE	OTUKE	otuk1240	Otuke	Bororoan	Bororo-Otuke		False	1	*I	1209	I	ikiSaoSo	ikiSaoSo	i k i ʃ ɐ o ʃ o	false	7 1 7 3 7 7 3 7	XBYBYYBZ	IKISEUSU	2	2.I.V 2.K.C 2.I.V 2.S.C 2.E.V 2.U.V 2.S.C 2.U.V	1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	ikiʃɐoʃo	0	2
2	UMOTINA-30-1	UMOTINA	UMOTINA	umot1240	Umotína	Bororoan			False	30	*blood	946	BLOOD	kok	kok	k o k	false	1 7 1	AXN	KUK	3	3.K.C 3.U.V 3.K.c	2.0 1.5 0.8	kok	0	5
32	BORORO-30-1	BORORO	BORORO	boro1282	Bororo	Bororoan	Bororo-Otuke		False	30	*blood	946	BLOOD	kw~ure	kw~ure	kʷ u r e	false	1 7 5 7	AXBZ	KYRE	1	1.K.C 1.Y.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	kʷure	0	3
33	OTUKE-30-1	OTUKE	OTUKE	otuk1240	Otuke	Bororoan	Bororo-Otuke		False	30	*blood	946	BLOOD	ikioka	ikioka	i k i o k ɐ	false	7 1 7 7 1 7	XBYYBZ	IKIUKE	2	2.I.V 2.K.C 2.I.V 2.U.V 2.K.C 2.E.V	1.5 1.75 1.3 1.3 1.75 0.8	ikiokɐ	0	4
3	UMOTINA-31-1	UMOTINA	UMOTINA	umot1240	Umotína	Bororoan			False	31	*bone	1394	BONE	laka	laka	l ɐ k ɐ	false	5 7 1 7	AXBZ	LEKE	3	3.L.C 3.E.V 3.K.C 3.E.V	2.0 1.5 1.75 0.8	lɐkɐ	0	8
4	UMOTINA-31-2	UMOTINA	UMOTINA	umot1240	Umotína	Bororoan			False	31	*bone	1394	BONE	oyo	oyo	o j o	false	7 6 7	XBZ	UJU	3	3.U.V 3.J.C 3.U.V	1.5 1.75 0.8	ojo	0	9
34	BORORO-31-1	BORORO	BORORO	boro1282	Bororo	Bororoan	Bororo-Otuke		False	31	*bone	1394	BONE	ra	ra	r ɐ	false	5 7	AX	RE	1	1.R.C 1.E.V	2.0 1.5	rɐ	0	6
35	OTUKE-31-1	OTUKE	OTUKE	otuk1240	Otuke	Bororoan	Bororo-Otuke		False	31	*bone	1394	BONE	ilia	ilia	i l i ɐ	false	7 5 7 7	XBYZ	ILIE	2	2.I.V 2.L.C 2.I.V 2.E.V	1.5 1.75 1.3 0.8	iliɐ	0	7
5	UMOTINA-51-1	UMOTINA	UMOTINA	umot1240	Umotína	Bororoan			False	51	*breasts	1402	BREAST	monokw~a	monokw~a	m o n o kʷ ɐ	false	4 7 4 7 1 7	AXBYBZ	MUNUKE	3	3.M.C 3.U.V 3.N.C 3.U.V 3.K.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	monokʷɐ	0	12
36	BORORO-51-1	BORORO	BORORO	boro1282	Bororo	Bororoan	Bororo-Otuke		False	51	*breasts	1402	BREAST	mok3ro	mok3ro	m o k ə r o	false	4 7 1 7 5 7	AXBYBZ	MUKERU	1	1.M.C 1.U.V 1.K.C 1.E.V 1.R.C 1.U.V	2.0 1.5 1.75 1.3 1.75 0.8	mokəro	0	10
