ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AIMELE-1-1	AIMELE	AIMELE	aime1238	Aimele	Bosavi	Bosavi Watershed		False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	1	1.N.C 1.E.V	2.0 1.5	ne	0	1
2	KASUA-1-1	KASUA	KASUA	kasu1251	Kasua	Bosavi	Bosavi Watershed		False	1	*I	1209	I	newa	newa	n e w ɐ	false	4 7 6 7	AXBZ	NEWE	8	8.N.C 8.E.V 8.W.C 8.E.V	2.0 1.5 1.75 0.8	newɐ	0	1
3	ONABASULU-1-1	ONABASULU	ONABASULU	onob1238	Onobasulu	Bosavi	Bosavi Watershed		False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	9	9.N.C 9.E.V	2.0 1.5	nɐ	0	1
112	KALULI-1-1	KALULI	KALULI	*kaluli	Kaluli	Bosavi	Bosavi Watershed	Kaluli-Sunia	False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	7	7.N.C 7.E.V	2.0 1.5	ne	0	1
113	SUNIA-1-1	SUNIA	SUNIA	soni1260	Sonia	Bosavi	Bosavi Watershed	Kaluli-Sunia	False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	10	10.N.C 10.E.V	2.0 1.5	ne	0	1
241	BEAMI-1-1	BEAMI	BEAMI	*beami	Beami	Bosavi	Etoro-Bedamini		False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	2	2.N.C 2.E.V	2.0 1.5	ne	0	1
242	BEDAMINI-1-1	BEDAMINI	BEDAMINI	*bedamini	Beami	Bosavi	Etoro-Bedamini		False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	nɐ	0	1
243	EDOLO-1-1	EDOLO	EDOLO	*edolo	Edolo	Bosavi	Etoro-Bedamini		False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	5	5.N.C 5.E.V	2.0 1.5	ne	0	1
244	ETORO-1-1	ETORO	ETORO	*etoro	Edolo	Bosavi	Etoro-Bedamini		False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	6	6.N.C 6.E.V	2.0 1.5	ne	0	1
4	AIMELE-30-1	AIMELE	AIMELE	aime1238	Aimele	Bosavi	Bosavi Watershed		False	30	*blood	946	BLOOD	omani	omani	o m ɐ n i	false	7 4 7 4 7	XBYBZ	UMENI	1	1.U.V 1.M.C 1.E.V 1.N.C 1.I.V	1.5 1.75 1.3 1.75 0.8	omɐni	0	2
5	KASUA-30-1	KASUA	KASUA	kasu1251	Kasua	Bosavi	Bosavi Watershed		False	30	*blood	946	BLOOD	pepeta	pepeta	p e p e t ɐ	false	1 7 1 7 1 7	AXBYBZ	PEPETE	8	8.P.C 8.E.V 8.P.C 8.E.V 8.T.C 8.E.V	2.0 1.5 1.75 1.3 1.75 0.8	pepetɐ	0	5
6	ONABASULU-30-1	ONABASULU	ONABASULU	onob1238	Onobasulu	Bosavi	Bosavi Watershed		False	30	*blood	946	BLOOD	ibi	ibi	i b i	false	7 1 7	XBZ	IPI	9	9.I.V 9.P.C 9.I.V	1.5 1.75 0.8	ibi	0	4
114	BOSAVI-30-1	BOSAVI	BOSAVI	*bosavi	Kaluli	Bosavi	Bosavi Watershed	Kaluli-Sunia	False	30	*blood	946	BLOOD	hobo	hobo	h o b o	false	3 7 1 7	AXBZ	HUPU	4	4.H.C 4.U.V 4.P.C 4.U.V	2.0 1.5 1.75 0.8	hobo	0	4
115	KALULI-30-1	KALULI	KALULI	*kaluli	Kaluli	Bosavi	Bosavi Watershed	Kaluli-Sunia	False	30	*blood	946	BLOOD	hobo	hobo	h o b o	false	3 7 1 7	AXBZ	HUPU	7	7.H.C 7.U.V 7.P.C 7.U.V	2.0 1.5 1.75 0.8	hobo	0	4
116	SUNIA-30-1	SUNIA	SUNIA	soni1260	Sonia	Bosavi	Bosavi Watershed	Kaluli-Sunia	False	30	*blood	946	BLOOD	hobo	hobo	h o b o	false	3 7 1 7	AXBZ	HUPU	10	10.H.C 10.U.V 10.P.C 10.U.V	2.0 1.5 1.75 0.8	hobo	0	4
245	BEAMI-30-1	BEAMI	BEAMI	*beami	Beami	Bosavi	Etoro-Bedamini		False	30	*blood	946	BLOOD	hiole	hiole	h i o l e	false	3 7 7 5 7	AXYBZ	HIULE	2	2.H.C 2.I.V 2.U.V 2.L.C 2.E.V	2.0 1.5 1.3 1.75 0.8	hiole	0	3
246	BEDAMINI-30-1	BEDAMINI	BEDAMINI	*bedamini	Beami	Bosavi	Etoro-Bedamini		False	30	*blood	946	BLOOD	h3le	h3le	h ə l e	false	3 7 5 7	AXBZ	HELE	3	3.H.C 3.E.V 3.L.C 3.E.V	2.0 1.5 1.75 0.8	həle	0	3
247	EDOLO-30-1	EDOLO	EDOLO	*edolo	Edolo	Bosavi	Etoro-Bedamini		False	30	*blood	946	BLOOD	heale	heale	h e ɐ l e	false	3 7 7 5 7	AXYBZ	HEELE	5	5.H.C 5.E.V 5.E.V 5.L.C 5.E.V	2.0 1.5 1.3 1.75 0.8	heɐle	0	3
248	ETORO-30-1	ETORO	ETORO	*etoro	Edolo	Bosavi	Etoro-Bedamini		False	30	*blood	946	BLOOD	hiole	hiole	h i o l e	false	3 7 7 5 7	AXYBZ	HIULE	6	6.H.C 6.I.V 6.U.V 6.L.C 6.E.V	2.0 1.5 1.3 1.75 0.8	hiole	0	3
7	AIMELE-31-1	AIMELE	AIMELE	aime1238	Aimele	Bosavi	Bosavi Watershed		False	31	*bone	1394	BONE	ki	ki	k i	false	1 7	AX	KI	1	1.K.C 1.I.V	2.0 1.5	ki	0	6
