ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	BUNABA-1-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	1	*I	1209	I	Nayini	Nayini	ŋ ɐ j i n i	false	4 7 6 7 4 7	AXBYBZ	NEJINI	1	1.N.C 1.E.V 1.J.C 1.I.V 1.N.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ŋɐjini	0	1
2	GOONIYANDI-1-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	1	*I	1209	I	Na5i	Na5i	ŋ ɐ ɲ i	false	4 7 4 7	AXBZ	NENI	2	2.N.C 2.E.V 2.N.C 2.I.V	2.0 1.5 1.75 0.8	ŋɐɲi	0	1
3	BUNABA-30-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	30	*blood	946	BLOOD	giliy	giliy	g i l i j	false	1 7 5 7 6	AXBYN	KILIJ	1	1.K.C 1.I.V 1.L.C 1.I.V 1.J.c	2.0 1.5 1.75 1.3 0.8	gilij	0	2
4	GOONIYANDI-30-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	30	*blood	946	BLOOD	wari	wari	w ɐ r i	false	6 7 5 7	AXBZ	WERI	2	2.W.C 2.E.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	wɐri	0	3
5	BUNABA-31-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	31	*bone	1394	BONE	gudy~u	gudy~u	g u dʲ u	false	1 7 1 7	AXBZ	KYTY	1	1.K.C 1.Y.V 1.T.C 1.Y.V	2.0 1.5 1.75 0.8	gudʲu	0	4
6	GOONIYANDI-31-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	31	*bone	1394	BONE	guTi	guTi	g u c i	false	1 7 1 7	AXBZ	KYCI	2	2.K.C 2.Y.V 2.C.C 2.I.V	2.0 1.5 1.75 0.8	guci	0	5
7	BUNABA-51-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	51	*breasts	1402	BREAST	Namu	Namu	ŋ ɐ m u	false	4 7 4 7	AXBZ	NEMY	1	1.N.C 1.E.V 1.M.C 1.Y.V	2.0 1.5 1.75 0.8	ŋɐmu	0	6
8	GOONIYANDI-51-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	51	*breasts	1402	BREAST	gamu	gamu	g ɐ m u	false	1 7 4 7	AXBZ	KEMY	2	2.K.C 2.E.V 2.M.C 2.Y.V	2.0 1.5 1.75 0.8	gɐmu	0	6
9	BUNABA-66-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	66	*come	1446	COME	wadra	wadra	w ɐ d r ɐ	false	6 7 1 5 7	AXBCZ	WETRE	1	1.W.C 1.E.V 1.T.C 1.R.C 1.E.V	2.0 1.5 1.75 1.5 0.8	wɐdrɐ	0	7
10	GOONIYANDI-61-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	61	*die	1494	DIE	naN	naN	n ɐ ŋ	false	4 7 4	AXN	NEN	2	2.N.C 2.E.V 2.N.c	2.0 1.5 0.8	nɐŋ	0	8
11	BUNABA-21-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	21	*dog	2009	DOG	th~ara	th~ara	tʰ ɐ r ɐ	false	1 7 5 7	AXBZ	TERE	1	1.T.C 1.E.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	tʰɐrɐ	0	9
12	GOONIYANDI-21-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	21	*dog	2009	DOG	tara	tara	t ɐ r ɐ	false	1 7 5 7	AXBZ	TERE	2	2.T.C 2.E.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	tɐrɐ	0	9
13	BUNABA-54-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	54	*drink	1401	DRINK	wulugra	wulugra	w u l u g r ɐ	false	6 7 5 7 1 5 7	AXBYBCZ	WYLYKRE	1	1.W.C 1.Y.V 1.L.C 1.Y.V 1.K.C 1.R.C 1.E.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	wulugrɐ	0	10
14	GOONIYANDI-54-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	54	*drink	1401	DRINK	NuLug	NuLug	ŋ u ʎ u g	false	4 7 5 7 1	AXBYN	NYLYK	2	2.N.C 2.Y.V 2.L.C 2.Y.V 2.K.c	2.0 1.5 1.75 1.3 0.8	ŋuʎug	0	11
15	BUNABA-39-1	BUNABA	BUNABA	buna1275	Bunaba	Bunaban			False	39	*ear	1247	EAR	bina	bina	b i n ɐ	false	1 7 4 7	AXBZ	PINE	1	1.P.C 1.I.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	binɐ	0	12
16	GOONIYANDI-39-1	GOONIYANDI	GOONIYANDI	goon1238	Gooniyandi	Bunaban			False	39	*ear	1247	EAR	manga	manga	m ɐ n g ɐ	false	4 7 4 1 7	AXMBZ	MENKE	2	2.M.C 2.E.V 2.N.c 2.K.C 2.E.V	2.0 1.5 1.1 1.75 0.8	mɐngɐ	0	13
