ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MORE-1-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	1	*I	1209	I	waSa	waSa	w ɐ ʃ ɐ	false	6 7 3 7	AXBZ	WESE	1	1.W.C 1.E.V 1.S.C 1.E.V	2.0 1.5 1.75 0.8	wɐʃɐ	0	1
2	TORA-1-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	1	*I	1209	I	waza	waza	w ɐ z ɐ	false	6 7 3 7	AXBZ	WESE	4	4.W.C 4.E.V 4.S.C 4.E.V	2.0 1.5 1.75 0.8	wɐzɐ	0	1
61	ORO_WIN-1-1	ORO_WIN	ORO_WIN	orow1243	Oro Win	Chapacuran	Moreic-Waric	Waric	False	1	*I	1209	I	wata7	wata7	w ɐ t ɐ ʔ	false	6 7 1 7 1	AXBYN	WETEH	2	2.W.C 2.E.V 2.T.C 2.E.V 2.H.c	2.0 1.5 1.75 1.3 0.8	wɐtɐʔ	0	1
62	PAKAANOVA-1-1	PAKAANOVA	PAKAANOVA	wari1268	Wari'	Chapacuran	Moreic-Waric	Waric	False	1	*I	1209	I	wata7	wata7	w ɐ t ɐ ʔ	false	6 7 1 7 1	AXBYN	WETEH	3	3.W.C 3.E.V 3.T.C 3.E.V 3.H.c	2.0 1.5 1.75 1.3 0.8	wɐtɐʔ	0	1
3	MORE-30-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	30	*blood	946	BLOOD	w3T	w3T	w ə c	false	6 7 1	AXN	WEC	1	1.W.C 1.E.V 1.C.c	2.0 1.5 0.8	wəc	0	2
4	TORA-30-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	30	*blood	946	BLOOD	wi	wi	w i	false	6 7	AX	WI	4	4.W.C 4.I.V	2.0 1.5	wi	0	5
63	ORO_WIN-30-1	ORO_WIN	ORO_WIN	orow1243	Oro Win	Chapacuran	Moreic-Waric	Waric	False	30	*blood	946	BLOOD	wik	wik	w i k	false	6 7 1	AXN	WIK	2	2.W.C 2.I.V 2.K.c	2.0 1.5 0.8	wik	0	3
64	PAKAANOVA-30-1	PAKAANOVA	PAKAANOVA	wari1268	Wari'	Chapacuran	Moreic-Waric	Waric	False	30	*blood	946	BLOOD	kiCi7	kiCi7	k i tʃ i ʔ	false	1 7 1 7 1	AXBYN	KITIH	3	3.K.C 3.I.V 3.T.C 3.I.V 3.H.c	2.0 1.5 1.75 1.3 0.8	kitʃiʔ	0	4
5	MORE-31-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	31	*bone	1394	BONE	at	at	ɐ t	false	7 1	XN	ET	1	1.E.V 1.T.c	1.5 0.8	ɐt	0	6
6	TORA-31-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	31	*bone	1394	BONE	at	at	ɐ t	false	7 1	XN	ET	4	4.E.V 4.T.c	1.5 0.8	ɐt	0	6
65	ORO_WIN-31-1	ORO_WIN	ORO_WIN	orow1243	Oro Win	Chapacuran	Moreic-Waric	Waric	False	31	*bone	1394	BONE	aran	aran	ɐ r ɐ n	false	7 5 7 4	XBYN	EREN	2	2.E.V 2.R.C 2.E.V 2.N.c	1.5 1.75 1.3 0.8	ɐrɐn	0	7
66	PAKAANOVA-31-1	PAKAANOVA	PAKAANOVA	wari1268	Wari'	Chapacuran	Moreic-Waric	Waric	False	31	*bone	1394	BONE	ara	ara	ɐ r ɐ	false	7 5 7	XBZ	ERE	3	3.E.V 3.R.C 3.E.V	1.5 1.75 0.8	ɐrɐ	0	7
7	MORE-51-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	51	*breasts	1402	BREAST	katat	katat	k ɐ t ɐ t	false	1 7 1 7 1	AXBYN	KETET	1	1.K.C 1.E.V 1.T.C 1.E.V 1.T.c	2.0 1.5 1.75 1.3 0.8	kɐtɐt	0	8
8	TORA-51-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	51	*breasts	1402	BREAST	ikima nakamin	ikima nakamin	i k i m ɐ n ɐ k ɐ m i n	false	7 1 7 4 7 4 7 1 7 4 7 4	XBYBYBYBYBYN	IKIMENEKEMIN	4	4.I.V 4.K.C 4.I.V 4.M.C 4.E.V 4.N.C 4.E.V 4.K.C 4.E.V 4.M.C 4.I.V 4.N.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 0.8	ikimɐnɐkɐmin	0	10
67	ORO_WIN-51-1	ORO_WIN	ORO_WIN	orow1243	Oro Win	Chapacuran	Moreic-Waric	Waric	False	51	*breasts	1402	BREAST	ikima	ikima	i k i m ɐ	false	7 1 7 4 7	XBYBZ	IKIME	2	2.I.V 2.K.C 2.I.V 2.M.C 2.E.V	1.5 1.75 1.3 1.75 0.8	ikimɐ	0	9
68	PAKAANOVA-51-1	PAKAANOVA	PAKAANOVA	wari1268	Wari'	Chapacuran	Moreic-Waric	Waric	False	51	*breasts	1402	BREAST	karaCi	karaCi	k ɐ r ɐ tʃ i	false	1 7 5 7 1 7	AXBYBZ	KERETI	3	3.K.C 3.E.V 3.R.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐrɐtʃi	0	8
9	MORE-66-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	66	*come	1446	COME	maTi	maTi	m ɐ c i	false	4 7 1 7	AXBZ	MECI	1	1.M.C 1.E.V 1.C.C 1.I.V	2.0 1.5 1.75 0.8	mɐci	0	11
69	ORO_WIN-66-1	ORO_WIN	ORO_WIN	orow1243	Oro Win	Chapacuran	Moreic-Waric	Waric	False	66	*come	1446	COME	maki7	maki7	m ɐ k i ʔ	false	4 7 1 7 1	AXBYN	MEKIH	2	2.M.C 2.E.V 2.K.C 2.I.V 2.H.c	2.0 1.5 1.75 1.3 0.8	mɐkiʔ	0	12
