ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AGUARUNA-1-1	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	1	*I	1209	I	wi	wi	w i	false	6 7	AX	WI	2	2.W.C 2.I.V	2.0 1.5	wi	0	1
114	ACHUAR-1-1	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	1	*I	1209	I	wi	wi	w i	false	6 7	AX	WI	1	1.W.C 1.I.V	2.0 1.5	wi	0	1
115	ACHUAR-1-2	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	1	*I	1209	I	wikia	wikia	w i k i ɐ	false	6 7 1 7 7	AXBYZ	WIKIE	1	1.W.C 1.I.V 1.K.C 1.I.V 1.E.V	2.0 1.5 1.75 1.3 0.8	wikiɐ	0	1
116	HUAMBISA-1-1	HUAMBISA	HUAMBISA	huam1247	Huambisa	Chicham	Shuaric		False	1	*I	1209	I	wi	wi	w i	false	6 7	AX	WI	3	3.W.C 3.I.V	2.0 1.5	wi	0	1
117	SHUAR-1-1	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	1	*I	1209	I	wi	wi	w i	false	6 7	AX	WI	4	4.W.C 4.I.V	2.0 1.5	wi	0	1
118	SHUAR-1-2	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	1	*I	1209	I	wika	wika	w i k ɐ	false	6 7 1 7	AXBZ	WIKE	4	4.W.C 4.I.V 4.K.C 4.E.V	2.0 1.5 1.75 0.8	wikɐ	0	1
2	AGUARUNA-30-1	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	30	*blood	946	BLOOD	numpa	numpa	n u m p ɐ	false	4 7 4 1 7	AXMBZ	NYMPE	2	2.N.C 2.Y.V 2.M.c 2.P.C 2.E.V	2.0 1.5 1.1 1.75 0.8	numpɐ	0	3
119	ACHUAR-30-1	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	30	*blood	946	BLOOD	nump~a	nump~a	n u mp ɐ	false	4 7 4 7	AXBZ	NYME	1	1.N.C 1.Y.V 1.M.C 1.E.V	2.0 1.5 1.75 0.8	numpɐ	0	2
120	HUAMBISA-30-1	HUAMBISA	HUAMBISA	huam1247	Huambisa	Chicham	Shuaric		False	30	*blood	946	BLOOD	nump~a	nump~a	n u mp ɐ	false	4 7 4 7	AXBZ	NYME	3	3.N.C 3.Y.V 3.M.C 3.E.V	2.0 1.5 1.75 0.8	numpɐ	0	2
121	SHUAR-30-1	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	30	*blood	946	BLOOD	numpa	numpa	n u m p ɐ	false	4 7 4 1 7	AXMBZ	NYMPE	4	4.N.C 4.Y.V 4.M.c 4.P.C 4.E.V	2.0 1.5 1.1 1.75 0.8	numpɐ	0	3
3	AGUARUNA-31-1	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	31	*bone	1394	BONE	ukunC	ukunC	u k u n tʃ	false	7 1 7 4 1	XBYLN	YKYNT	2	2.Y.V 2.K.C 2.Y.V 2.N.c 2.T.c	1.5 1.75 1.3 1.1 0.8	ukuntʃ	0	4
122	ACHUAR-31-1	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	31	*bone	1394	BONE	ukunC	ukunC	u k u n tʃ	false	7 1 7 4 1	XBYLN	YKYNT	1	1.Y.V 1.K.C 1.Y.V 1.N.c 1.T.c	1.5 1.75 1.3 1.1 0.8	ukuntʃ	0	4
123	ACHUAR-31-2	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	31	*bone	1394	BONE	kunC	kunC	k u n tʃ	false	1 7 4 1	AXLN	KYNT	1	1.K.C 1.Y.V 1.N.c 1.T.c	2.0 1.5 1.1 0.8	kuntʃ	0	4
124	HUAMBISA-31-1	HUAMBISA	HUAMBISA	huam1247	Huambisa	Chicham	Shuaric		False	31	*bone	1394	BONE	ukunC	ukunC	u k u n tʃ	false	7 1 7 4 1	XBYLN	YKYNT	3	3.Y.V 3.K.C 3.Y.V 3.N.c 3.T.c	1.5 1.75 1.3 1.1 0.8	ukuntʃ	0	4
125	SHUAR-31-1	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	31	*bone	1394	BONE	ukunC	ukunC	u k u n tʃ	false	7 1 7 4 1	XBYLN	YKYNT	4	4.Y.V 4.K.C 4.Y.V 4.N.c 4.T.c	1.5 1.75 1.3 1.1 0.8	ukuntʃ	0	4
126	SHUAR-31-2	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	31	*bone	1394	BONE	kunC	kunC	k u n tʃ	false	1 7 4 1	AXLN	KYNT	4	4.K.C 4.Y.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	kuntʃ	0	4
4	AGUARUNA-51-1	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	51	*breasts	1402	BREAST	pihan	pihan	p i h ɐ n	false	1 7 3 7 4	AXBYN	PIHEN	2	2.P.C 2.I.V 2.H.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 0.8	pihɐn	0	6
127	ACHUAR-51-1	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	51	*breasts	1402	BREAST	munc~u	munc~u	m u ⁿts u	false	4 7 2 7	AXBZ	MYCY	1	1.M.C 1.Y.V 1.C.C 1.Y.V	2.0 1.5 1.75 0.8	muⁿtsu	0	5
128	HUAMBISA-51-1	HUAMBISA	HUAMBISA	huam1247	Huambisa	Chicham	Shuaric		False	51	*breasts	1402	BREAST	munc~u	munc~u	m u ⁿts u	false	4 7 2 7	AXBZ	MYCY	3	3.M.C 3.Y.V 3.C.C 3.Y.V	2.0 1.5 1.75 0.8	muⁿtsu	0	5
129	SHUAR-51-1	SHUAR	SHUAR	shua1257	Shuar	Chicham	Shuaric		False	51	*breasts	1402	BREAST	nucup	nucup	n u ts u p	false	4 7 2 7 1	AXBYN	NYCYP	4	4.N.C 4.Y.V 4.C.C 4.Y.V 4.P.c	2.0 1.5 1.75 1.3 0.8	nutsup	0	7
5	AGUARUNA-66-1	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	66	*come	1446	COME	tan	tan	t ɐ n	false	1 7 4	AXN	TEN	2	2.T.C 2.E.V 2.N.c	2.0 1.5 0.8	tɐn	0	9
6	AGUARUNA-66-2	AGUARUNA	AGUARUNA	agua1253	Aguaruna	Chicham			False	66	*come	1446	COME	mini	mini	m i n i	false	4 7 4 7	AXBZ	MINI	2	2.M.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 0.8	mini	0	10
130	ACHUAR-66-1	ACHUAR	ACHUAR	achu1248	Achuar-Shiwiar	Chicham	Shuaric		False	66	*come	1446	COME	wini	wini	w i n i	false	6 7 4 7	AXBZ	WINI	1	1.W.C 1.I.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	wini	0	8
131	HUAMBISA-66-1	HUAMBISA	HUAMBISA	huam1247	Huambisa	Chicham	Shuaric		False	66	*come	1446	COME	winamu	winamu	w i n ɐ m u	false	6 7 4 7 4 7	AXBYBZ	WINEMY	3	3.W.C 3.I.V 3.N.C 3.E.V 3.M.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	winɐmu	0	8
