ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	TEHUELCHE-1-1	TEHUELCHE	TEHUELCHE	tehu1242	Tehuelche	Chonan	Continental Chonan		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	2	2.J.C 2.E.V	2.0 1.5	jɐ	0	1
40	ONA-1-1	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	1	1.J.C 1.E.V	2.0 1.5	jɐ	0	1
2	TEHUELCHE-30-1	TEHUELCHE	TEHUELCHE	tehu1242	Tehuelche	Chonan	Continental Chonan		False	30	*blood	946	BLOOD	Sau	Sau	ʃ ɐ u	false	3 7 7	AXZ	SEY	2	2.S.C 2.E.V 2.Y.V	2.0 1.5 0.8	ʃɐu	0	3
41	ONA-30-1	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	30	*blood	946	BLOOD	xuar	xuar	x u ɐ r	false	3 7 7 5	AXYN	GYER	1	1.G.C 1.Y.V 1.E.V 1.R.c	2.0 1.5 1.3 0.8	xuɐr	0	2
42	ONA-30-2	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	30	*blood	946	BLOOD	vuar	vuar	v u ɐ r	false	3 7 7 5	AXYN	BYER	1	1.B.C 1.Y.V 1.E.V 1.R.c	2.0 1.5 1.3 0.8	vuɐr	0	2
3	TEHUELCHE-31-1	TEHUELCHE	TEHUELCHE	tehu1242	Tehuelche	Chonan	Continental Chonan		False	31	*bone	1394	BONE	aur	aur	ɐ u r	false	7 7 5	XYN	EYR	2	2.E.V 2.Y.V 2.R.c	1.5 1.3 0.8	ɐur	0	5
43	ONA-31-1	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	31	*bone	1394	BONE	ko	ko	k o	false	1 7	AX	KU	1	1.K.C 1.U.V	2.0 1.5	ko	0	4
4	TEHUELCHE-51-1	TEHUELCHE	TEHUELCHE	tehu1242	Tehuelche	Chonan	Continental Chonan		False	51	*breasts	1402	BREAST	naka	naka	n ɐ k ɐ	false	4 7 1 7	AXBZ	NEKE	2	2.N.C 2.E.V 2.K.C 2.E.V	2.0 1.5 1.75 0.8	nɐkɐ	0	7
44	ONA-51-1	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	51	*breasts	1402	BREAST	Cet7~n	Cet7~n	tʃ e tˀ n	false	1 7 1 4	AXBC	TETN	1	1.T.C 1.E.V 1.T.C 1.N.C	2.0 1.5 1.75 1.5	tʃetˀn	0	6
5	TEHUELCHE-66-1	TEHUELCHE	TEHUELCHE	tehu1242	Tehuelche	Chonan	Continental Chonan		False	66	*come	1446	COME	yieSgot	yieSgot	j i e ʃ g o t	false	6 7 7 3 1 7 1	AXYMBYN	JIESKUT	2	2.J.C 2.I.V 2.E.V 2.S.c 2.K.C 2.U.V 2.T.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	jieʃgot	0	9
45	ONA-66-1	ONA	ONA	onaa1245	Selk'nam	Chonan	Insular Chonan		False	66	*come	1446	COME	vuenen	vuenen	v u e n e n	false	3 7 7 4 7 4	AXYBYN	BYENEN	1	1.B.C 1.Y.V 1.E.V 1.N.C 1.E.V 1.N.c	2.0 1.5 1.3 1.75 1.3 0.8	vuenen	0	8
