ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AMDANG-1-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	1	*I	1209	I	kai	kai	k ɐ i	false	1 7 7	AXZ	KEI	1	1.K.C 1.E.V 1.I.V	2.0 1.5 0.8	kɐi	0	1
2	FUR-1-1	FUR	FUR	furr1244	Fur	Furan			False	1	*I	1209	I	ka	ka	k ɐ	false	1 7	AX	KE	2	2.K.C 2.E.V	2.0 1.5	kɐ	0	2
3	AMDANG-30-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	30	*blood	946	BLOOD	Co	Co	tʃ o	false	1 7	AX	TU	1	1.T.C 1.U.V	2.0 1.5	tʃo	0	3
4	FUR-30-1	FUR	FUR	furr1244	Fur	Furan			False	30	*blood	946	BLOOD	kEwa	kEwa	k a w ɐ	false	1 7 6 7	AXBZ	KAWE	2	2.K.C 2.A.V 2.W.C 2.E.V	2.0 1.5 1.75 0.8	kawɐ	0	4
5	AMDANG-31-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	31	*bone	1394	BONE	durtu	durtu	d u r t u	false	1 7 5 1 7	AXMBZ	TYRTY	1	1.T.C 1.Y.V 1.R.c 1.T.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	durtu	0	5
6	FUR-31-1	FUR	FUR	furr1244	Fur	Furan			False	31	*bone	1394	BONE	daru	daru	d ɐ r u	false	1 7 5 7	AXBZ	TERY	2	2.T.C 2.E.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	dɐru	0	6
7	AMDANG-51-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	51	*breasts	1402	BREAST	nanka	nanka	n ɐ n k ɐ	false	4 7 4 1 7	AXMBZ	NENKE	1	1.N.C 1.E.V 1.N.c 1.K.C 1.E.V	2.0 1.5 1.1 1.75 0.8	nɐnkɐ	0	7
8	AMDANG-51-2	AMDANG	AMDANG	amda1238	Amdang	Furan			False	51	*breasts	1402	BREAST	kanka	kanka	k ɐ n k ɐ	false	1 7 4 1 7	AXMBZ	KENKE	1	1.K.C 1.E.V 1.N.c 1.K.C 1.E.V	2.0 1.5 1.1 1.75 0.8	kɐnkɐ	0	7
9	FUR-51-1	FUR	FUR	furr1244	Fur	Furan			False	51	*breasts	1402	BREAST	nansu	nansu	n ɐ n s u	false	4 7 4 3 7	AXMBZ	NENSY	2	2.N.C 2.E.V 2.N.c 2.S.C 2.Y.V	2.0 1.5 1.1 1.75 0.8	nɐnsu	0	7
10	AMDANG-66-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	66	*come	1446	COME	zayE	zayE	z ɐ j a	false	3 7 6 7	AXBZ	SEJA	1	1.S.C 1.E.V 1.J.C 1.A.V	2.0 1.5 1.75 0.8	zɐja	0	8
11	FUR-66-1	FUR	FUR	furr1244	Fur	Furan			False	66	*come	1446	COME	Ela	Ela	a l ɐ	false	7 5 7	XBZ	ALE	2	2.A.V 2.L.C 2.E.V	1.5 1.75 0.8	alɐ	0	9
12	AMDANG-61-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	61	*die	1494	DIE	wayo	wayo	w ɐ j o	false	6 7 6 7	AXBZ	WEJU	1	1.W.C 1.E.V 1.J.C 1.U.V	2.0 1.5 1.75 0.8	wɐjo	0	10
13	FUR-61-1	FUR	FUR	furr1244	Fur	Furan			False	61	*die	1494	DIE	usuN	usuN	u s u ŋ	false	7 3 7 4	XBYN	YSYN	2	2.Y.V 2.S.C 2.Y.V 2.N.c	1.5 1.75 1.3 0.8	usuŋ	0	11
14	FUR-61-2	FUR	FUR	furr1244	Fur	Furan			False	61	*die	1494	DIE	wai	wai	w ɐ i	false	6 7 7	AXZ	WEI	2	2.W.C 2.E.V 2.I.V	2.0 1.5 0.8	wɐi	0	12
15	FUR-61-3	FUR	FUR	furr1244	Fur	Furan			False	61	*die	1494	DIE	kusa	kusa	k u s ɐ	false	1 7 3 7	AXBZ	KYSE	2	2.K.C 2.Y.V 2.S.C 2.E.V	2.0 1.5 1.75 0.8	kusɐ	0	13
16	AMDANG-21-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	21	*dog	2009	DOG	kut	kut	k u t	false	1 7 1	AXN	KYT	1	1.K.C 1.Y.V 1.T.c	2.0 1.5 0.8	kut	0	14
17	FUR-21-1	FUR	FUR	furr1244	Fur	Furan			False	21	*dog	2009	DOG	asa	asa	ɐ s ɐ	false	7 3 7	XBZ	ESE	2	2.E.V 2.S.C 2.E.V	1.5 1.75 0.8	ɐsɐ	0	15
18	AMDANG-54-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	54	*drink	1401	DRINK	zabat	zabat	z ɐ b ɐ t	false	3 7 1 7 1	AXBYN	SEPET	1	1.S.C 1.E.V 1.P.C 1.E.V 1.T.c	2.0 1.5 1.75 1.3 0.8	zɐbɐt	0	16
19	FUR-54-1	FUR	FUR	furr1244	Fur	Furan			False	54	*drink	1401	DRINK	aba	aba	ɐ b ɐ	false	7 1 7	XBZ	EPE	2	2.E.V 2.P.C 2.E.V	1.5 1.75 0.8	ɐbɐ	0	17
20	FUR-54-2	FUR	FUR	furr1244	Fur	Furan			False	54	*drink	1401	DRINK	ba	ba	b ɐ	false	1 7	AX	PE	2	2.P.C 2.E.V	2.0 1.5	bɐ	0	17
21	FUR-54-3	FUR	FUR	furr1244	Fur	Furan			False	54	*drink	1401	DRINK	kebi	kebi	k e b i	false	1 7 1 7	AXBZ	KEPI	2	2.K.C 2.E.V 2.P.C 2.I.V	2.0 1.5 1.75 0.8	kebi	0	18
22	AMDANG-39-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	39	*ear	1247	EAR	dili	dili	d i l i	false	1 7 5 7	AXBZ	TILI	1	1.T.C 1.I.V 1.L.C 1.I.V	2.0 1.5 1.75 0.8	dili	0	19
23	AMDANG-39-2	AMDANG	AMDANG	amda1238	Amdang	Furan			False	39	*ear	1247	EAR	kiling	kiling	k i l i n g	false	1 7 5 7 4 1	AXBYLN	KILINK	1	1.K.C 1.I.V 1.L.C 1.I.V 1.N.c 1.K.c	2.0 1.5 1.75 1.3 1.1 0.8	kiling	0	20
24	FUR-39-1	FUR	FUR	furr1244	Fur	Furan			False	39	*ear	1247	EAR	dilo	dilo	d i l o	false	1 7 5 7	AXBZ	TILU	2	2.T.C 2.I.V 2.L.C 2.U.V	2.0 1.5 1.75 0.8	dilo	0	19
25	AMDANG-40-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	40	*eye	1248	EYE	ni	ni	n i	false	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ni	0	21
26	FUR-40-1	FUR	FUR	furr1244	Fur	Furan			False	40	*eye	1248	EYE	nuNi	nuNi	n u ŋ i	false	4 7 4 7	AXBZ	NYNI	2	2.N.C 2.Y.V 2.N.C 2.I.V	2.0 1.5 1.75 0.8	nuŋi	0	22
27	AMDANG-82-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	82	*fire	221	FIRE	woot	woot	w o o t	false	6 7 7 1	AXYN	WUUT	1	1.W.C 1.U.V 1.U.V 1.T.c	2.0 1.5 1.3 0.8	woot	0	23
28	FUR-82-1	FUR	FUR	furr1244	Fur	Furan			False	82	*fire	221	FIRE	utu	utu	u t u	false	7 1 7	XBZ	YTY	2	2.Y.V 2.T.C 2.Y.V	1.5 1.75 0.8	utu	0	24
29	AMDANG-19-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	19	*fish	227	FISH	hut	hut	h u t	false	3 7 1	AXN	HYT	1	1.H.C 1.Y.V 1.T.c	2.0 1.5 0.8	hut	0	25
30	FUR-19-1	FUR	FUR	furr1244	Fur	Furan			False	19	*fish	227	FISH	fun	fun	f u n	false	3 7 4	AXN	BYN	2	2.B.C 2.Y.V 2.N.c	2.0 1.5 0.8	fun	0	26
31	AMDANG-95-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	95	*full	1429	FULL	sol	sol	s o l	false	3 7 5	AXN	SUL	1	1.S.C 1.U.V 1.L.c	2.0 1.5 0.8	sol	0	27
32	FUR-95-1	FUR	FUR	furr1244	Fur	Furan			False	95	*full	1429	FULL	fis	fis	f i s	false	3 7 3	AXN	BIS	2	2.B.C 2.I.V 2.S.c	2.0 1.5 0.8	fis	0	28
33	AMDANG-48-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	48	*hand	1277	HAND	naN	naN	n ɐ ŋ	false	4 7 4	AXN	NEN	1	1.N.C 1.E.V 1.N.c	2.0 1.5 0.8	nɐŋ	0	29
34	FUR-48-1	FUR	FUR	furr1244	Fur	Furan			False	48	*hand	1277	HAND	doNa	doNa	d o ŋ ɐ	false	1 7 4 7	AXBZ	TUNE	2	2.T.C 2.U.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	doŋɐ	0	30
35	AMDANG-58-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	58	*hear	1408	HEAR	y3rgo	y3rgo	j ə r g o	false	6 7 5 1 7	AXMBZ	JERKU	1	1.J.C 1.E.V 1.R.c 1.K.C 1.U.V	2.0 1.5 1.1 1.75 0.8	jərgo	0	31
36	FUR-58-1	FUR	FUR	furr1244	Fur	Furan			False	58	*hear	1408	HEAR	kElam	kElam	k a l ɐ m	false	1 7 5 7 4	AXBYN	KALEM	2	2.K.C 2.A.V 2.L.C 2.E.V 2.M.c	2.0 1.5 1.75 1.3 0.8	kalɐm	0	32
37	AMDANG-34-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	34	*horn	1393	HORN (ANATOMY)	dELfi	dELfi	d a ʎ f i	false	1 7 5 3 7	AXMBZ	TALBI	1	1.T.C 1.A.V 1.L.c 1.B.C 1.I.V	2.0 1.5 1.1 1.75 0.8	daʎfi	0	33
38	FUR-34-1	FUR	FUR	furr1244	Fur	Furan			False	34	*horn	1393	HORN (ANATOMY)	dolba	dolba	d o l b ɐ	false	1 7 5 1 7	AXMBZ	TULPE	2	2.T.C 2.U.V 2.L.c 2.P.C 2.E.V	2.0 1.5 1.1 1.75 0.8	dolbɐ	0	34
39	AMDANG-47-1	AMDANG	AMDANG	amda1238	Amdang	Furan			False	47	*knee	1371	KNEE	koro	koro	k o r o	false	1 7 5 7	AXBZ	KURU	1	1.K.C 1.U.V 1.R.C 1.U.V	2.0 1.5 1.75 0.8	koro	0	35
40	FUR-47-1	FUR	FUR	furr1244	Fur	Furan			False	47	*knee	1371	KNEE	kuru	kuru	k u r u	false	1 7 5 7	AXBZ	KYRY	2	2.K.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	kuru	0	35
