ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	DEMISA-1-1	DEMISA	DEMISA	demi1242	Demisa	Geelvink Bay			False	1	*I	1209	I	emd3	emd3	e m d ə	false	7 4 1 7	XMBZ	EMTE	4	4.E.V 4.M.c 4.T.C 4.E.V	1.5 1.1 1.75 0.8	emdə	0	3
2	TEFARO-1-1	TEFARO	TEFARO	tefa1238	Tefaro	Geelvink Bay			False	1	*I	1209	I	e	e	e	false	7	X	E	6	6.E.V	1.5	e	0	5
88	BARAPASI-1-1	BARAPASI	BARAPASI	bara1375	Barapasi	Geelvink Bay	Barapasi-Sauri-Kofei		False	1	*I	1209	I	emi	emi	e m i	false	7 4 7	XBZ	EMI	1	1.E.V 1.M.C 1.I.V	1.5 1.75 0.8	emi	0	1
117	KOFEI-1-1	KOFEI	KOFEI	kofe1239	Kofei	Geelvink Bay	Barapasi-Sauri-Kofei	Sauri-Kofei	False	1	*I	1209	I	EmE	EmE	a m a	false	7 4 7	XBZ	AMA	5	5.A.V 5.M.C 5.A.V	1.5 1.75 0.8	ama	0	4
239	BURATE-1-1	BURATE	BURATE	bura1276	Burate	Geelvink Bay	Burate-Wate		False	1	*I	1209	I	eye	eye	e j e	false	7 6 7	XBZ	EJE	3	3.E.V 3.J.C 3.E.V	1.5 1.75 0.8	eje	0	2
240	TUNGGARE-1-1	TUNGGARE	TUNGGARE	tung1293	Tunggare	Geelvink Bay	Burate-Wate		False	1	*I	1209	I	ei	ei	e i	false	7 7	XZ	EI	7	7.E.V 7.I.V	1.5 0.8	ei	0	6
241	TUNGGARE-1-2	TUNGGARE	TUNGGARE	tung1293	Tunggare	Geelvink Bay	Burate-Wate		False	1	*I	1209	I	ey	ey	e j	false	7 6	XN	EJ	7	7.E.V 7.J.c	1.5 0.8	ej	0	7
3	DEMISA-30-1	DEMISA	DEMISA	demi1242	Demisa	Geelvink Bay			False	30	*blood	946	BLOOD	nahabi	nahabi	n ɐ h ɐ b i	false	4 7 3 7 1 7	AXBYBZ	NEHEPI	4	4.N.C 4.E.V 4.H.C 4.E.V 4.P.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nɐhɐbi	0	10
4	TEFARO-30-1	TEFARO	TEFARO	tefa1238	Tefaro	Geelvink Bay			False	30	*blood	946	BLOOD	nosi	nosi	n o s i	false	4 7 3 7	AXBZ	NUSI	6	6.N.C 6.U.V 6.S.C 6.I.V	2.0 1.5 1.75 0.8	nosi	0	8
89	BARAPASI-30-1	BARAPASI	BARAPASI	bara1375	Barapasi	Geelvink Bay	Barapasi-Sauri-Kofei		False	30	*blood	946	BLOOD	nosi	nosi	n o s i	false	4 7 3 7	AXBZ	NUSI	1	1.N.C 1.U.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	nosi	0	8
