ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	NGALAKAN-1-1	NGALAKAN	NGALAKAN	ngal1293	Ngalakgan	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Nayka7	Nayka7	ŋ ɐ j k ɐ ʔ	false	4 7 6 1 7 1	AXMBYN	NEJKEH	6	6.N.C 6.E.V 6.J.c 6.K.C 6.E.V 6.H.c	2.0 1.5 1.1 1.75 1.3 0.8	ŋɐjkɐʔ	0	4
2	NGANDI-1-1	NGANDI	NGANDI	ngan1295	Ngandi	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Naya	Naya	ŋ ɐ j ɐ	false	4 7 6 7	AXBZ	NEJE	7	7.N.C 7.E.V 7.J.C 7.E.V	2.0 1.5 1.75 0.8	ŋɐjɐ	0	1
3	RAINBARNGO-1-1	RAINBARNGO	RAINBARNGO	remb1249	Rembarrnga	Gunwinyguan	Gunwinyguan Bak	Eastern Gunwinyguan	False	1	*I	1209	I	Ninda	Ninda	ŋ i n d ɐ	false	4 7 4 1 7	AXMBZ	NINTE	9	9.N.C 9.I.V 9.N.c 9.T.C 9.E.V	2.0 1.5 1.1 1.75 0.8	ŋindɐ	0	1
108	INGURA-1-1	INGURA	INGURA	anin1240	Anindilyakwa	Gunwinyguan	Gunwinyguan Bak	Wubuy-Anindilyakwa	False	1	*I	1209	I	naiuwa	naiuwa	n ɐ i u w ɐ	false	4 7 7 7 6 7	AXYYBZ	NEIYWE	5	5.N.C 5.E.V 5.I.V 5.Y.V 5.W.C 5.E.V	2.0 1.5 1.3 1.3 1.75 0.8	nɐiuwɐ	0	3
109	INGURA-1-2	INGURA	INGURA	anin1240	Anindilyakwa	Gunwinyguan	Gunwinyguan Bak	Wubuy-Anindilyakwa	False	1	*I	1209	I	ngaiua	ngaiua	n g ɐ i u ɐ	false	4 1 7 7 7 7	ACYYYZ	NKEIYE	5	5.N.C 5.K.C 5.E.V 5.I.V 5.Y.V 5.E.V	2.0 1.5 1.3 1.3 1.3 0.8	ngɐiuɐ	0	3
268	GUNBALANG_WARLANG-1-1	GUNBALANG_WARLANG	GUNBALANG_WARLANG	kunb1251	Kunbarlang	Gunwinyguan	Marne		False	1	*I	1209	I	Nayi	Nayi	ŋ ɐ j i	false	4 7 6 7	AXBZ	NEJI	3	3.N.C 3.E.V 3.J.C 3.I.V	2.0 1.5 1.75 0.8	ŋɐji	0	2
302	BUAN-1-1	BUAN	BUAN	ngal1292	Ngalkbun	Gunwinyguan	Marne	Central Gunwinyguan	False	1	*I	1209	I	N3i	N3i	ŋ ə i	false	4 7 7	AXZ	NEI	1	1.N.C 1.E.V 1.I.V	2.0 1.5 0.8	ŋəi	0	1
303	BUAN-1-2	BUAN	BUAN	ngal1292	Ngalkbun	Gunwinyguan	Marne	Central Gunwinyguan	False	1	*I	1209	I	NE	NE	ŋ a	false	4 7	AX	NA	1	1.N.C 1.A.V	2.0 1.5	ŋa	0	1
304	GUNWINGGU_KUNE-1-1	GUNWINGGU_KUNE	GUNWINGGU_KUNE	gunw1252	Bininj Kun-Wok	Gunwinyguan	Marne	Central Gunwinyguan	False	1	*I	1209	I	Nayi	Nayi	ŋ ɐ j i	false	4 7 6 7	AXBZ	NEJI	4	4.N.C 4.E.V 4.J.C 4.I.V	2.0 1.5 1.75 0.8	ŋɐji	0	1
305	GUNWINGGU_KUNE-1-2	GUNWINGGU_KUNE	GUNWINGGU_KUNE	gunw1252	Bininj Kun-Wok	Gunwinyguan	Marne	Central Gunwinyguan	False	1	*I	1209	I	Nad	Nad	ŋ ɐ d	false	4 7 1	AXN	NET	4	4.N.C 4.E.V 4.T.c	2.0 1.5 0.8	ŋɐd	0	1
