ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	AMARAKAERI-1-1	AMARAKAERI	AMARAKAERI	amar1274	Amarakaeri	Harakmbut			False	1	*I	1209	I	nd~o	nd~o	ⁿd o	false	1 7	AX	TU	1	1.T.C 1.U.V	2.0 1.5	ⁿdo	0	1
2	HUACHIPAERI-1-1	HUACHIPAERI	HUACHIPAERI	huac1244	Huachipaeri	Harakmbut			False	1	*I	1209	I	duwa	duwa	d u w ɐ	false	1 7 6 7	AXBZ	TYWE	2	2.T.C 2.Y.V 2.W.C 2.E.V	2.0 1.5 1.75 0.8	duwɐ	0	2
3	AMARAKAERI-30-1	AMARAKAERI	AMARAKAERI	amar1274	Amarakaeri	Harakmbut			False	30	*blood	946	BLOOD	mimi	mimi	m i m i	false	4 7 4 7	AXBZ	MIMI	1	1.M.C 1.I.V 1.M.C 1.I.V	2.0 1.5 1.75 0.8	mimi	0	3
4	HUACHIPAERI-30-1	HUACHIPAERI	HUACHIPAERI	huac1244	Huachipaeri	Harakmbut			False	30	*blood	946	BLOOD	mimi	mimi	m i m i	false	4 7 4 7	AXBZ	MIMI	2	2.M.C 2.I.V 2.M.C 2.I.V	2.0 1.5 1.75 0.8	mimi	0	3
5	AMARAKAERI-31-1	AMARAKAERI	AMARAKAERI	amar1274	Amarakaeri	Harakmbut			False	31	*bone	1394	BONE	wai7	wai7	w ɐ i ʔ	false	6 7 7 1	AXYN	WEIH	1	1.W.C 1.E.V 1.I.V 1.H.c	2.0 1.5 1.3 0.8	wɐiʔ	0	4
6	HUACHIPAERI-31-1	HUACHIPAERI	HUACHIPAERI	huac1244	Huachipaeri	Harakmbut			False	31	*bone	1394	BONE	ay	ay	ɐ j	false	7 6	XN	EJ	2	2.E.V 2.J.c	1.5 0.8	ɐj	0	5
7	HUACHIPAERI-31-2	HUACHIPAERI	HUACHIPAERI	huac1244	Huachipaeri	Harakmbut			False	31	*bone	1394	BONE	wapire	wapire	w ɐ p i r e	false	6 7 1 7 5 7	AXBYBZ	WEPIRE	2	2.W.C 2.E.V 2.P.C 2.I.V 2.R.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	wɐpire	0	6
8	AMARAKAERI-51-1	AMARAKAERI	AMARAKAERI	amar1274	Amarakaeri	Harakmbut			False	51	*breasts	1402	BREAST	wau7	wau7	w ɐ u ʔ	false	6 7 7 1	AXYN	WEYH	1	1.W.C 1.E.V 1.Y.V 1.H.c	2.0 1.5 1.3 0.8	wɐuʔ	0	7
9	HUACHIPAERI-51-1	HUACHIPAERI	HUACHIPAERI	huac1244	Huachipaeri	Harakmbut			False	51	*breasts	1402	BREAST	h3	h3	h ə	false	3 7	AX	HE	2	2.H.C 2.E.V	2.0 1.5	hə	0	8
10	AMARAKAERI-66-1	AMARAKAERI	AMARAKAERI	amar1274	Amarakaeri	Harakmbut			False	66	*come	1446	COME	Ciak	Ciak	tʃ i ɐ k	false	1 7 7 1	AXYN	TIEK	1	1.T.C 1.I.V 1.E.V 1.K.c	2.0 1.5 1.3 0.8	tʃiɐk	0	9
