ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	CHOLON-1-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	1	*I	1209	I	ok	ok	o k	false	7 1	XN	UK	1	1.U.V 1.K.c	1.5 0.8	ok	0	1
2	CHOLON-30-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	30	*blood	946	BLOOD	ho	ho	h o	false	3 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ho	0	2
3	CHOLON-31-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	31	*bone	1394	BONE	Cel	Cel	tʃ e l	false	1 7 5	AXN	TEL	1	1.T.C 1.E.V 1.L.c	2.0 1.5 0.8	tʃel	0	3
4	CHOLON-51-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	51	*breasts	1402	BREAST	5o	5o	ɲ o	false	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	ɲo	0	4
5	CHOLON-66-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	66	*come	1446	COME	ana	ana	ɐ n ɐ	false	7 4 7	XBZ	ENE	1	1.E.V 1.N.C 1.E.V	1.5 1.75 0.8	ɐnɐ	0	5
6	CHOLON-66-2	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	66	*come	1446	COME	pic	pic	p i ts	false	1 7 2	AXN	PIC	1	1.P.C 1.I.V 1.C.c	2.0 1.5 0.8	pits	0	6
7	CHOLON-61-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	61	*die	1494	DIE	kol	kol	k o l	false	1 7 5	AXN	KUL	1	1.K.C 1.U.V 1.L.c	2.0 1.5 0.8	kol	0	7
8	CHOLON-21-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	21	*dog	2009	DOG	aLgo	aLgo	ɐ ʎ g o	true	7 5 1 7	XMBZ	ELKU	1	1.E.V 1.L.c 1.K.C 1.U.V	1.5 1.1 1.75 0.8	ɐʎgo	0	8
9	CHOLON-54-1	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	54	*drink	1401	DRINK	Sih	Sih	ʃ i h	false	3 7 3	AXN	SIH	1	1.S.C 1.I.V 1.H.c	2.0 1.5 0.8	ʃih	0	9
10	CHOLON-54-2	CHOLON	CHOLON	chol1284	Cholón	Hibito-Cholon			False	54	*drink	1401	DRINK	Sik	Sik	ʃ i k	false	3 7 1	AXN	SIK	1	1.S.C 1.I.V 1.K.c	2.0 1.5 0.8	ʃik	0	10
