ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	DURIANKERE-1-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	1	*I	1209	I	nani	nani	n ɐ n i	false	4 7 4 7	AXBZ	NENI	1	1.N.C 1.E.V 1.N.C 1.I.V	2.0 1.5 1.75 0.8	nɐni	0	1
2	SUABO-1-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	1	*I	1209	I	naita	naita	n ɐ i t ɐ	false	4 7 7 1 7	AXYBZ	NEITE	2	2.N.C 2.E.V 2.I.V 2.T.C 2.E.V	2.0 1.5 1.3 1.75 0.8	nɐitɐ	0	2
3	DURIANKERE-30-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	30	*blood	946	BLOOD	aru	aru	ɐ r u	false	7 5 7	XBZ	ERY	1	1.E.V 1.R.C 1.Y.V	1.5 1.75 0.8	ɐru	0	3
4	SUABO-30-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	30	*blood	946	BLOOD	aruo	aruo	ɐ r u o	false	7 5 7 7	XBYZ	ERYU	2	2.E.V 2.R.C 2.Y.V 2.U.V	1.5 1.75 1.3 0.8	ɐruo	0	3
5	DURIANKERE-31-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	31	*bone	1394	BONE	atoko	atoko	ɐ t o k o	false	7 1 7 1 7	XBYBZ	ETUKU	1	1.E.V 1.T.C 1.U.V 1.K.C 1.U.V	1.5 1.75 1.3 1.75 0.8	ɐtoko	0	4
6	SUABO-31-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	31	*bone	1394	BONE	to7o	to7o	t o ʔ o	false	1 7 1 7	AXBZ	TUHU	2	2.T.C 2.U.V 2.H.C 2.U.V	2.0 1.5 1.75 0.8	toʔo	0	5
7	DURIANKERE-66-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	66	*come	1446	COME	mona	mona	m o n ɐ	false	4 7 4 7	AXBZ	MUNE	1	1.M.C 1.U.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	monɐ	0	6
8	SUABO-66-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	66	*come	1446	COME	mora	mora	m o r ɐ	false	4 7 5 7	AXBZ	MURE	2	2.M.C 2.U.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	morɐ	0	6
9	DURIANKERE-21-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	21	*dog	2009	DOG	meymo	meymo	m e j m o	false	4 7 6 4 7	AXMBZ	MEJMU	1	1.M.C 1.E.V 1.J.c 1.M.C 1.U.V	2.0 1.5 1.1 1.75 0.8	mejmo	0	7
10	SUABO-21-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	21	*dog	2009	DOG	mewawoto	mewawoto	m e w ɐ w o t o	false	4 7 6 7 6 7 1 7	AXBYBYBZ	MEWEWUTU	2	2.M.C 2.E.V 2.W.C 2.E.V 2.W.C 2.U.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	mewɐwoto	0	8
11	DURIANKERE-40-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	40	*eye	1248	EYE	kabu	kabu	k ɐ b u	false	1 7 1 7	AXBZ	KEPY	1	1.K.C 1.E.V 1.P.C 1.Y.V	2.0 1.5 1.75 0.8	kɐbu	0	9
12	SUABO-40-1	SUABO	SUABO	suab1238	Suabo	Inanwatan			False	40	*eye	1248	EYE	irabuo	irabuo	i r ɐ b u o	false	7 5 7 1 7 7	XBYBYZ	IREPYU	2	2.I.V 2.R.C 2.E.V 2.P.C 2.Y.V 2.U.V	1.5 1.75 1.3 1.75 1.3 0.8	irɐbuo	0	10
13	DURIANKERE-82-1	DURIANKERE	DURIANKERE	duri1243	Duriankere	Inanwatan			False	82	*fire	221	FIRE	weyko	weyko	w e j k o	false	6 7 6 1 7	AXMBZ	WEJKU	1	1.W.C 1.E.V 1.J.c 1.K.C 1.U.V	2.0 1.5 1.1 1.75 0.8	wejko	0	11
