ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	CHEROKEE-1-1	CHEROKEE	CHEROKEE	cher1273	Cherokee	Iroquoian			False	1	*I	1209	I	ayo*	ayo*	ɐ j õ	false	7 6 7	XBZ	EJU	2	2.E.V 2.J.C 2.U.V	1.5 1.75 0.8	ɐjõ	0	2
2	CHEROKEE-1-2	CHEROKEE	CHEROKEE	cher1273	Cherokee	Iroquoian			False	1	*I	1209	I	ayE*	ayE*	ɐ j ã	false	7 6 7	XBZ	EJA	2	2.E.V 2.J.C 2.A.V	1.5 1.75 0.8	ɐjã	0	2
44	CAYUGA-1-1	CAYUGA	CAYUGA	cayu1261	Cayuga	Iroquoian	Northern Iroquoian		False	1	*I	1209	I	i7	i7	i ʔ	false	7 1	XN	IH	1	1.I.V 1.H.c	1.5 0.8	iʔ	0	1
45	ONONDAGA-1-1	ONONDAGA	ONONDAGA	onon1246	Onondaga	Iroquoian	Northern Iroquoian		False	1	*I	1209	I	i7	i7	i ʔ	false	7 1	XN	IH	6	6.I.V 6.H.c	1.5 0.8	iʔ	0	1
46	ONONDAGA-1-2	ONONDAGA	ONONDAGA	onon1246	Onondaga	Iroquoian	Northern Iroquoian		False	1	*I	1209	I	ni7	ni7	n i ʔ	false	4 7 1	AXN	NIH	6	6.N.C 6.I.V 6.H.c	2.0 1.5 0.8	niʔ	0	1
47	SENECA-1-1	SENECA	SENECA	sene1264	Seneca	Iroquoian	Northern Iroquoian		False	1	*I	1209	I	i7	i7	i ʔ	false	7 1	XN	IH	7	7.I.V 7.H.c	1.5 0.8	iʔ	0	1
48	WYANDOT-1-1	WYANDOT	WYANDOT	wyan1247	Huron-Wyandot	Iroquoian	Northern Iroquoian		False	1	*I	1209	I	nd~i7	nd~i7	ⁿd i ʔ	false	1 7 1	AXN	TIH	9	9.T.C 9.I.V 9.H.c	2.0 1.5 0.8	ⁿdiʔ	0	1
241	MOHAWK-1-1	MOHAWK	MOHAWK	moha1258	Mohawk	Iroquoian	Northern Iroquoian	Mohawk-Oneida	False	1	*I	1209	I	i7i	i7i	i ʔ i	false	7 1 7	XBZ	IHI	3	3.I.V 3.H.C 3.I.V	1.5 1.75 0.8	iʔi	0	1
242	ONEIDA-1-1	ONEIDA	ONEIDA	onei1249	Oneida	Iroquoian	Northern Iroquoian	Mohawk-Oneida	False	1	*I	1209	I	i	i	i	false	7	X	I	5	5.I.V	1.5	i	0	1
243	ONEIDA-1-2	ONEIDA	ONEIDA	onei1249	Oneida	Iroquoian	Northern Iroquoian	Mohawk-Oneida	False	1	*I	1209	I	ni7i	ni7i	n i ʔ i	false	4 7 1 7	AXBZ	NIHI	5	5.N.C 5.I.V 5.H.C 5.I.V	2.0 1.5 1.75 0.8	niʔi	0	1
335	NOTTOWAY-1-1	NOTTOWAY	NOTTOWAY	nott1246	Nottoway	Iroquoian	Northern Iroquoian	Tuscarora-Nottoway	False	1	*I	1209	I	ge	ge	g e	false	1 7	AX	KE	4	4.K.C 4.E.V	2.0 1.5	ge	0	3
336	NOTTOWAY-1-2	NOTTOWAY	NOTTOWAY	nott1246	Nottoway	Iroquoian	Northern Iroquoian	Tuscarora-Nottoway	False	1	*I	1209	I	ak	ak	ɐ k	false	7 1	XN	EK	4	4.E.V 4.K.c	1.5 0.8	ɐk	0	4
337	TUSCARORA-1-1	TUSCARORA	TUSCARORA	tusc1257	Tuscarora	Iroquoian	Northern Iroquoian	Tuscarora-Nottoway	False	1	*I	1209	I	i7	i7	i ʔ	false	7 1	XN	IH	8	8.I.V 8.H.c	1.5 0.8	iʔ	0	1
338	TUSCARORA-1-2	TUSCARORA	TUSCARORA	tusc1257	Tuscarora	Iroquoian	Northern Iroquoian	Tuscarora-Nottoway	False	1	*I	1209	I	i7i	i7i	i ʔ i	false	7 1 7	XBZ	IHI	8	8.I.V 8.H.C 8.I.V	1.5 1.75 0.8	iʔi	0	1
339	TUSCARORA-1-3	TUSCARORA	TUSCARORA	tusc1257	Tuscarora	Iroquoian	Northern Iroquoian	Tuscarora-Nottoway	False	1	*I	1209	I	hE7i	hE7i	h a ʔ i	false	3 7 1 7	AXBZ	HAHI	8	8.H.C 8.A.V 8.H.C 8.I.V	2.0 1.5 1.75 0.8	haʔi	0	1
3	CHEROKEE-30-1	CHEROKEE	CHEROKEE	cher1273	Cherokee	Iroquoian			False	30	*blood	946	BLOOD	giga	giga	g i g ɐ	false	1 7 1 7	AXBZ	KIKE	2	2.K.C 2.I.V 2.K.C 2.E.V	2.0 1.5 1.75 0.8	gigɐ	0	6
49	CAYUGA-30-1	CAYUGA	CAYUGA	cayu1261	Cayuga	Iroquoian	Northern Iroquoian		False	30	*blood	946	BLOOD	tkwE*hs	tkwE*hs	t k w ã h s	false	1 1 6 7 3 3	ACCYLN	TKWAHS	1	1.T.C 1.K.C 1.W.C 1.A.V 1.H.c 1.S.c	2.0 1.5 1.5 1.3 1.1 0.8	tkwãhs	0	5
50	ONONDAGA-30-1	ONONDAGA	ONONDAGA	onon1246	Onondaga	Iroquoian	Northern Iroquoian		False	30	*blood	946	BLOOD	tkwE*hs	tkwE*hs	t k w ã h s	false	1 1 6 7 3 3	ACCYLN	TKWAHS	6	6.T.C 6.K.C 6.W.C 6.A.V 6.H.c 6.S.c	2.0 1.5 1.5 1.3 1.1 0.8	tkwãhs	0	5
51	SENECA-30-1	SENECA	SENECA	sene1264	Seneca	Iroquoian	Northern Iroquoian		False	30	*blood	946	BLOOD	tkwE*hs	tkwE*hs	t k w ã h s	false	1 1 6 7 3 3	ACCYLN	TKWAHS	7	7.T.C 7.K.C 7.W.C 7.A.V 7.H.c 7.S.c	2.0 1.5 1.5 1.3 1.1 0.8	tkwãhs	0	5
