ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KALAPUYA-1-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	1	*I	1209	I	Ci7	Ci7	tʃ i ʔ	false	1 7 1	AXN	TIH	1	1.T.C 1.I.V 1.H.c	2.0 1.5 0.8	tʃiʔ	0	1
2	KALAPUYA-30-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	30	*blood	946	BLOOD	yu	yu	j u	false	6 7	AX	JY	1	1.J.C 1.Y.V	2.0 1.5	ju	0	2
3	KALAPUYA-31-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	31	*bone	1394	BONE	wEqi	wEqi	w a q i	false	6 7 1 7	AXBZ	WAKI	1	1.W.C 1.A.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	waqi	0	3
4	KALAPUYA-66-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	66	*come	1446	COME	yE7mp	yE7mp	j a ʔ m p	false	6 7 1 4 1	AXBYN	JAHMP	1	1.J.C 1.A.V 1.H.C 1.M.V 1.P.c	2.0 1.5 1.75 1.3 0.8	jaʔmp	0	4
5	KALAPUYA-61-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	61	*die	1494	DIE	ala7	ala7	ɐ l ɐ ʔ	false	7 5 7 1	XBYN	ELEH	1	1.E.V 1.L.C 1.E.V 1.H.c	1.5 1.75 1.3 0.8	ɐlɐʔ	0	5
6	KALAPUYA-54-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	54	*drink	1401	DRINK	kw~i7d	kw~i7d	kʷ i ʔ d	false	1 7 1 1	AXLN	KIHT	1	1.K.C 1.I.V 1.H.c 1.T.c	2.0 1.5 1.1 0.8	kʷiʔd	0	6
7	KALAPUYA-39-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	39	*ear	1247	EAR	gda	gda	g d ɐ	false	1 1 7	ACZ	KTE	1	1.K.C 1.T.C 1.E.V	2.0 1.5 0.8	gdɐ	0	7
8	KALAPUYA-40-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	40	*eye	1248	EYE	kw~ilEk	kw~ilEk	kʷ i l a k	false	1 7 5 7 1	AXBYN	KILAK	1	1.K.C 1.I.V 1.L.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	kʷilak	0	8
9	KALAPUYA-82-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	82	*fire	221	FIRE	mE	mE	m a	false	4 7	AX	MA	1	1.M.C 1.A.V	2.0 1.5	ma	0	9
10	KALAPUYA-19-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	19	*fish	227	FISH	tmuwak	tmuwak	t m u w ɐ k	false	1 4 7 6 7 1	ACXBYN	TMYWEK	1	1.T.C 1.M.C 1.Y.V 1.W.C 1.E.V 1.K.c	2.0 1.5 1.5 1.75 1.3 0.8	tmuwɐk	0	10
11	KALAPUYA-95-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	95	*full	1429	FULL	buc	buc	b u ts	false	1 7 2	AXN	PYC	1	1.P.C 1.Y.V 1.C.c	2.0 1.5 0.8	buts	0	11
12	KALAPUYA-25-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	25	*leaf	628	LEAF	qw~aik	qw~aik	qʷ ɐ i k	false	1 7 7 1	AXYN	KEIK	1	1.K.C 1.E.V 1.I.V 1.K.c	2.0 1.5 1.3 0.8	qʷɐik	0	12
13	KALAPUYA-86-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	86	*mountain	639	MOUNTAIN	mEfu7	mEfu7	m a f u ʔ	false	4 7 3 7 1	AXBYN	MABYH	1	1.M.C 1.A.V 1.B.C 1.Y.V 1.H.c	2.0 1.5 1.75 1.3 0.8	mafuʔ	0	13
14	KALAPUYA-100-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	100	*name	1405	NAME	qw~at	qw~at	qʷ ɐ t	false	1 7 1	AXN	KET	1	1.K.C 1.E.V 1.T.c	2.0 1.5 0.8	qʷɐt	0	14
15	KALAPUYA-11-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	11	*one	1493	ONE	tau7nE	tau7nE	t ɐ u ʔ n a	false	1 7 7 1 4 7	AXYBCZ	TEYHNA	1	1.T.C 1.E.V 1.Y.V 1.H.C 1.N.C 1.A.V	2.0 1.5 1.3 1.75 1.5 0.8	tɐuʔna	0	15
16	KALAPUYA-18-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	18	*person	683	PERSON	mim7	mim7	m i m ʔ	false	4 7 4 1	AXLN	MIMH	1	1.M.C 1.I.V 1.M.c 1.H.c	2.0 1.5 1.1 0.8	mimʔ	0	16
17	KALAPUYA-57-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	57	*see	1409	SEE	hudu	hudu	h u d u	false	3 7 1 7	AXBZ	HYTY	1	1.H.C 1.Y.V 1.T.C 1.Y.V	2.0 1.5 1.75 0.8	hudu	0	17
18	KALAPUYA-77-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	77	*stone	857	STONE	da	da	d ɐ	false	1 7	AX	TE	1	1.T.C 1.E.V	2.0 1.5	dɐ	0	18
19	KALAPUYA-72-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	72	*sun	1343	SUN	pyan7	pyan7	p j ɐ n ʔ	false	1 6 7 4 1	ACXLN	PJENH	1	1.P.C 1.J.C 1.E.V 1.N.c 1.H.c	2.0 1.5 1.5 1.1 0.8	pjɐnʔ	0	19
20	KALAPUYA-23-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	23	*tree	906	TREE	wa7dik	wa7dik	w ɐ ʔ d i k	false	6 7 1 1 7 1	AXMBYN	WEHTIK	1	1.W.C 1.E.V 1.H.c 1.T.C 1.I.V 1.K.c	2.0 1.5 1.1 1.75 1.3 0.8	wɐʔdik	0	20
21	KALAPUYA-12-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	12	*two	1498	TWO	gEmi	gEmi	g a m i	false	1 7 4 7	AXBZ	KAMI	1	1.K.C 1.A.V 1.M.C 1.I.V	2.0 1.5 1.75 0.8	gami	0	21
22	KALAPUYA-75-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	75	*water	948	WATER	bgE7	bgE7	b g a ʔ	false	1 1 7 1	ACYN	PKAH	1	1.P.C 1.K.C 1.A.V 1.H.c	2.0 1.5 1.3 0.8	bgaʔ	0	22
23	KALAPUYA-3-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	3	*we	1212	WE	sdu	sdu	s d u	false	3 1 7	ACZ	STY	1	1.S.C 1.T.C 1.Y.V	2.0 1.5 0.8	sdu	0	23
24	KALAPUYA-2-1	KALAPUYA	KALAPUYA	kala1400	Central Kalapuya	Kalapuyan			False	2	*you	1215	THOU	mah	mah	m ɐ h	false	4 7 3	AXN	MEH	1	1.M.C 1.E.V 1.H.c	2.0 1.5 0.8	mɐh	0	24
# Created using the LexStat class of LingPy-2.6.9
# Parameters: 2:1_1.00_10000_0.70_global-2-0.50:local-1-0.50_0.30__T_shuffle_False:upgma:-2_0.7_0.00_-5.00
# Cluster: lexstat_infomap_0.55
