ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KANAMARI-1-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	1	*I	1209	I	adu	adu	ɐ d u	false	7 1 7	XBZ	ETY	1	1.E.V 1.T.C 1.Y.V	1.5 1.75 0.8	ɐdu	0	1
2	KATAWIXI-1-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	1	*I	1209	I	a5a	a5a	ɐ ɲ ɐ	false	7 4 7	XBZ	ENE	2	2.E.V 2.N.C 2.E.V	1.5 1.75 0.8	ɐɲɐ	0	2
3	KATUKINA-1-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	1	*I	1209	I	adu	adu	ɐ d u	false	7 1 7	XBZ	ETY	3	3.E.V 3.T.C 3.Y.V	1.5 1.75 0.8	ɐdu	0	1
4	KANAMARI-30-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	30	*blood	946	BLOOD	mimi	mimi	m i m i	false	4 7 4 7	AXBZ	MIMI	1	1.M.C 1.I.V 1.M.C 1.I.V	2.0 1.5 1.75 0.8	mimi	0	3
5	KATAWIXI-30-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	30	*blood	946	BLOOD	meme	meme	m e m e	false	4 7 4 7	AXBZ	MEME	2	2.M.C 2.E.V 2.M.C 2.E.V	2.0 1.5 1.75 0.8	meme	0	3
6	KATAWIXI-30-2	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	30	*blood	946	BLOOD	mimi	mimi	m i m i	false	4 7 4 7	AXBZ	MIMI	2	2.M.C 2.I.V 2.M.C 2.I.V	2.0 1.5 1.75 0.8	mimi	0	3
7	KATUKINA-30-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	30	*blood	946	BLOOD	mimi	mimi	m i m i	false	4 7 4 7	AXBZ	MIMI	3	3.M.C 3.I.V 3.M.C 3.I.V	2.0 1.5 1.75 0.8	mimi	0	3
8	KANAMARI-31-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	31	*bone	1394	BONE	ampaja	ampaja	ɐ m p ɐ dʒ ɐ	false	7 4 1 7 1 7	XMBYBZ	EMPETE	1	1.E.V 1.M.c 1.P.C 1.E.V 1.T.C 1.E.V	1.5 1.1 1.75 1.3 1.75 0.8	ɐmpɐdʒɐ	0	4
9	KATAWIXI-31-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	31	*bone	1394	BONE	pi7	pi7	p i ʔ	false	1 7 1	AXN	PIH	2	2.P.C 2.I.V 2.H.c	2.0 1.5 0.8	piʔ	0	5
10	KATAWIXI-51-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	51	*breasts	1402	BREAST	yanwi	yanwi	j ɐ n w i	false	6 7 4 6 7	AXBCZ	JENWI	2	2.J.C 2.E.V 2.N.C 2.W.C 2.I.V	2.0 1.5 1.75 1.5 0.8	jɐnwi	0	6
11	KATUKINA-51-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	51	*breasts	1402	BREAST	5a	5a	ɲ ɐ	false	4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	ɲɐ	0	7
12	KANAMARI-61-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	61	*die	1494	DIE	Cuku	Cuku	tʃ u k u	false	1 7 1 7	AXBZ	TYKY	1	1.T.C 1.Y.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	tʃuku	0	8
13	KATUKINA-61-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	61	*die	1494	DIE	Cuku	Cuku	tʃ u k u	false	1 7 1 7	AXBZ	TYKY	3	3.T.C 3.Y.V 3.K.C 3.Y.V	2.0 1.5 1.75 0.8	tʃuku	0	8
14	KANAMARI-21-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	21	*dog	2009	DOG	wapa	wapa	w ɐ p ɐ	false	6 7 1 7	AXBZ	WEPE	1	1.W.C 1.E.V 1.P.C 1.E.V	2.0 1.5 1.75 0.8	wɐpɐ	0	9
15	KATAWIXI-21-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	21	*dog	2009	DOG	wanka	wanka	w ɐ n k ɐ	false	6 7 4 1 7	AXMBZ	WENKE	2	2.W.C 2.E.V 2.N.c 2.K.C 2.E.V	2.0 1.5 1.1 1.75 0.8	wɐnkɐ	0	10
16	KATUKINA-21-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	21	*dog	2009	DOG	wapa	wapa	w ɐ p ɐ	false	6 7 1 7	AXBZ	WEPE	3	3.W.C 3.E.V 3.P.C 3.E.V	2.0 1.5 1.75 0.8	wɐpɐ	0	9
17	KATAWIXI-54-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	54	*drink	1401	DRINK	hihi	hihi	h i h i	false	3 7 3 7	AXBZ	HIHI	2	2.H.C 2.I.V 2.H.C 2.I.V	2.0 1.5 1.75 0.8	hihi	0	11
18	KANAMARI-39-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	39	*ear	1247	EAR	umasadak	umasadak	u m ɐ s ɐ d ɐ k	false	7 4 7 3 7 1 7 1	XBYBYBYN	YMESETEK	1	1.Y.V 1.M.C 1.E.V 1.S.C 1.E.V 1.T.C 1.E.V 1.K.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	umɐsɐdɐk	0	12
19	KATAWIXI-39-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	39	*ear	1247	EAR	kiraba	kiraba	k i r ɐ b ɐ	false	1 7 5 7 1 7	AXBYBZ	KIREPE	2	2.K.C 2.I.V 2.R.C 2.E.V 2.P.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kirɐbɐ	0	13
20	KATUKINA-39-1	KATUKINA	KATUKINA	*katukina	Katukína-Kanamarí	Katukinan			False	39	*ear	1247	EAR	masaeta	masaeta	m ɐ s ɐ e t ɐ	false	4 7 3 7 7 1 7	AXBYYBZ	MESEETE	3	3.M.C 3.E.V 3.S.C 3.E.V 3.E.V 3.T.C 3.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	mɐsɐetɐ	0	14
21	KANAMARI-40-1	KANAMARI	KANAMARI	*kanamari	Katukína-Kanamarí	Katukinan			False	40	*eye	1248	EYE	uiku	uiku	u i k u	false	7 7 1 7	XYBZ	YIKY	1	1.Y.V 1.I.V 1.K.C 1.Y.V	1.5 1.3 1.75 0.8	uiku	0	15
22	KATAWIXI-40-1	KATAWIXI	KATAWIXI	kata1270	Katawixi	Katukinan			False	40	*eye	1248	EYE	eso	eso	e s o	false	7 3 7	XBZ	ESU	2	2.E.V 2.S.C 2.U.V	1.5 1.75 0.8	eso	0	16
