ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	ACOMA_KERES-30-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	30	*blood	946	BLOOD	m"ac"i	m"ac"i	m’ ɐ tsʼ i	false	4 7 1 7	AXBZ	METI	1	1.M.C 1.E.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	m’ɐtsʼi	0	1
2	SANTA_ANA_KERES-30-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	30	*blood	946	BLOOD	m"a7ac"i	m"a7ac"i	m’ ɐ ʔ ɐ tsʼ i	false	4 7 1 7 1 7	AXBYBZ	MEHETI	2	2.M.C 2.E.V 2.H.C 2.E.V 2.T.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	m’ɐʔɐtsʼi	0	1
3	ACOMA_KERES-31-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	31	*bone	1394	BONE	haskani	haskani	h ɐ s k ɐ n i	false	3 7 3 1 7 4 7	AXMBYBZ	HESKENI	1	1.H.C 1.E.V 1.S.c 1.K.C 1.E.V 1.N.C 1.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	hɐskɐni	0	2
4	SANTA_ANA_KERES-31-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	31	*bone	1394	BONE	hasg3ni	hasg3ni	h ɐ s g ə n i	false	3 7 3 1 7 4 7	AXMBYBZ	HESKENI	2	2.H.C 2.E.V 2.S.c 2.K.C 2.E.V 2.N.C 2.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	hɐsgəni	0	2
5	ACOMA_KERES-61-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	61	*die	1494	DIE	kust"u	kust"u	k u s tʼ u	false	1 7 3 1 7	AXMBZ	KYSTY	1	1.K.C 1.Y.V 1.S.c 1.T.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	kustʼu	0	3
6	SANTA_ANA_KERES-61-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	61	*die	1494	DIE	kust"u	kust"u	k u s tʼ u	false	1 7 3 1 7	AXMBZ	KYSTY	2	2.K.C 2.Y.V 2.S.c 2.T.C 2.Y.V	2.0 1.5 1.1 1.75 0.8	kustʼu	0	3
7	ACOMA_KERES-21-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	21	*dog	2009	DOG	diy"a	diy"a	d i j’ ɐ	false	1 7 6 7	AXBZ	TIJE	1	1.T.C 1.I.V 1.J.C 1.E.V	2.0 1.5 1.75 0.8	dij’ɐ	0	4
8	SANTA_ANA_KERES-21-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	21	*dog	2009	DOG	diya	diya	d i j ɐ	false	1 7 6 7	AXBZ	TIJE	2	2.T.C 2.I.V 2.J.C 2.E.V	2.0 1.5 1.75 0.8	dijɐ	0	4
9	ACOMA_KERES-54-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	54	*drink	1401	DRINK	g3sk"a	g3sk"a	g ə s kʼ ɐ	false	1 7 3 1 7	AXMBZ	KESKE	1	1.K.C 1.E.V 1.S.c 1.K.C 1.E.V	2.0 1.5 1.1 1.75 0.8	gəskʼɐ	0	5
10	SANTA_ANA_KERES-54-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	54	*drink	1401	DRINK	g3sk"a	g3sk"a	g ə s kʼ ɐ	false	1 7 3 1 7	AXMBZ	KESKE	2	2.K.C 2.E.V 2.S.c 2.K.C 2.E.V	2.0 1.5 1.1 1.75 0.8	gəskʼɐ	0	5
11	ACOMA_KERES-39-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	39	*ear	1247	EAR	s"ipe	s"ipe	sʼ i p e	false	3 7 1 7	AXBZ	SIPE	1	1.S.C 1.I.V 1.P.C 1.E.V	2.0 1.5 1.75 0.8	sʼipe	0	6
12	SANTA_ANA_KERES-39-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	39	*ear	1247	EAR	sey"upe	sey"upe	s e j’ u p e	false	3 7 6 7 1 7	AXBYBZ	SEJYPE	2	2.S.C 2.E.V 2.J.C 2.Y.V 2.P.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	sej’upe	0	6
13	ACOMA_KERES-40-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	40	*eye	1248	EYE	huwanani	huwanani	h u w ɐ n ɐ n i	false	3 7 6 7 4 7 4 7	AXBYBYBZ	HYWENENI	1	1.H.C 1.Y.V 1.W.C 1.E.V 1.N.C 1.E.V 1.N.C 1.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	huwɐnɐni	0	7
14	ACOMA_KERES-40-2	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	40	*eye	1248	EYE	k"ana	k"ana	kʼ ɐ n ɐ	false	1 7 4 7	AXBZ	KENE	1	1.K.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	kʼɐnɐ	0	8
15	SANTA_ANA_KERES-40-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	40	*eye	1248	EYE	huwana7ani	huwana7ani	h u w ɐ n ɐ ʔ ɐ n i	false	3 7 6 7 4 7 1 7 4 7	AXBYBYBYBZ	HYWENEHENI	2	2.H.C 2.Y.V 2.W.C 2.E.V 2.N.C 2.E.V 2.H.C 2.E.V 2.N.C 2.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	huwɐnɐʔɐni	0	7
16	SANTA_ANA_KERES-40-2	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	40	*eye	1248	EYE	k"ana	k"ana	kʼ ɐ n ɐ	false	1 7 4 7	AXBZ	KENE	2	2.K.C 2.E.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	kʼɐnɐ	0	8
17	ACOMA_KERES-19-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	19	*fish	227	FISH	sk"aSu	sk"aSu	s kʼ ɐ ʃ u	false	3 1 7 3 7	ACYBZ	SKESY	1	1.S.C 1.K.C 1.E.V 1.S.C 1.Y.V	2.0 1.5 1.3 1.75 0.8	skʼɐʃu	0	9
