ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	GWAMA-1-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	1	*I	1209	I	ga	ga	g ɐ	false	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	gɐ	0	1
41	LANGA-1-1	LANGA	LANGA	opuu1239	Opo	Koman	Central Koman	Dana-Opo	False	1	*I	1209	I	aga	aga	ɐ g ɐ	false	7 1 7	XBZ	EKE	3	3.E.V 3.K.C 3.E.V	1.5 1.75 0.8	ɐgɐ	0	1
76	KOMA-1-1	KOMA	KOMA	komo1258	Komo (Sudan-Ethiopia)	Koman	Central Koman	Komo-Uduk	False	1	*I	1209	I	aka	aka	ɐ k ɐ	false	7 1 7	XBZ	EKE	2	2.E.V 2.K.C 2.E.V	1.5 1.75 0.8	ɐkɐ	0	1
77	UDUK-1-1	UDUK	UDUK	uduk1239	Uduk	Koman	Central Koman	Komo-Uduk	False	1	*I	1209	I	aha7	aha7	ɐ h ɐ ʔ	false	7 3 7 1	XBYN	EHEH	4	4.E.V 4.H.C 4.E.V 4.H.c	1.5 1.75 1.3 0.8	ɐhɐʔ	0	2
2	GWAMA-30-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	30	*blood	946	BLOOD	s"am	s"am	sʼ ɐ m	false	3 7 4	AXN	SEM	1	1.S.C 1.E.V 1.M.c	2.0 1.5 0.8	sʼɐm	0	3
42	LANGA-30-1	LANGA	LANGA	opuu1239	Opo	Koman	Central Koman	Dana-Opo	False	30	*blood	946	BLOOD	C"ama7	C"ama7	tʃʼ ɐ m ɐ ʔ	false	1 7 4 7 1	AXBYN	TEMEH	3	3.T.C 3.E.V 3.M.C 3.E.V 3.H.c	2.0 1.5 1.75 1.3 0.8	tʃʼɐmɐʔ	0	5
78	KOMA-30-1	KOMA	KOMA	komo1258	Komo (Sudan-Ethiopia)	Koman	Central Koman	Komo-Uduk	False	30	*blood	946	BLOOD	baS	baS	b ɐ ʃ	false	1 7 3	AXN	PES	2	2.P.C 2.E.V 2.S.c	2.0 1.5 0.8	bɐʃ	0	4
79	UDUK-30-1	UDUK	UDUK	uduk1239	Uduk	Koman	Central Koman	Komo-Uduk	False	30	*blood	946	BLOOD	abas	abas	ɐ b ɐ s	false	7 1 7 3	XBYN	EPES	4	4.E.V 4.P.C 4.E.V 4.S.c	1.5 1.75 1.3 0.8	ɐbɐs	0	4
3	GWAMA-31-1	GWAMA	GWAMA	kwam1249	Gwama	Koman			False	31	*bone	1394	BONE	si	si	s i	false	3 7	AX	SI	1	1.S.C 1.I.V	2.0 1.5	si	0	6
80	KOMA-31-1	KOMA	KOMA	komo1258	Komo (Sudan-Ethiopia)	Koman	Central Koman	Komo-Uduk	False	31	*bone	1394	BONE	Sumuk	Sumuk	ʃ u m u k	false	3 7 4 7 1	AXBYN	SYMYK	2	2.S.C 2.Y.V 2.M.C 2.Y.V 2.K.c	2.0 1.5 1.75 1.3 0.8	ʃumuk	0	7
