ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KOREAN-1-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	1	1.N.C 1.E.V	2.0 1.5	nɐ	0	1
2	KOREAN-30-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	30	*blood	946	BLOOD	pi	pi	p i	false	1 7	AX	PI	1	1.P.C 1.I.V	2.0 1.5	pi	0	2
3	KOREAN-31-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	31	*bone	1394	BONE	by~o	by~o	bʲ o	false	1 7	AX	PU	1	1.P.C 1.U.V	2.0 1.5	bʲo	0	3
4	KOREAN-51-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	51	*breasts	1402	BREAST	kasum	kasum	k ɐ s u m	false	1 7 3 7 4	AXBYN	KESYM	1	1.K.C 1.E.V 1.S.C 1.Y.V 1.M.c	2.0 1.5 1.75 1.3 0.8	kɐsum	0	4
5	KOREAN-51-2	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	51	*breasts	1402	BREAST	Cot	Cot	tʃ o t	false	1 7 1	AXN	TUT	1	1.T.C 1.U.V 1.T.c	2.0 1.5 0.8	tʃot	0	5
6	KOREAN-66-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	66	*come	1446	COME	oda	oda	o d ɐ	false	7 1 7	XBZ	UTE	1	1.U.V 1.T.C 1.E.V	1.5 1.75 0.8	odɐ	0	6
7	KOREAN-61-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	61	*die	1494	DIE	Cuk	Cuk	tʃ u k	false	1 7 1	AXN	TYK	1	1.T.C 1.Y.V 1.K.c	2.0 1.5 0.8	tʃuk	0	7
8	KOREAN-21-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	21	*dog	2009	DOG	kE	kE	k a	false	1 7	AX	KA	1	1.K.C 1.A.V	2.0 1.5	ka	0	8
9	KOREAN-54-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	54	*drink	1401	DRINK	masi	masi	m ɐ s i	false	4 7 3 7	AXBZ	MESI	1	1.M.C 1.E.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	mɐsi	0	9
10	KOREAN-39-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	39	*ear	1247	EAR	kw~i	kw~i	kʷ i	false	1 7	AX	KI	1	1.K.C 1.I.V	2.0 1.5	kʷi	0	10
11	KOREAN-40-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	40	*eye	1248	EYE	nun	nun	n u n	false	4 7 4	AXN	NYN	1	1.N.C 1.Y.V 1.N.c	2.0 1.5 0.8	nun	0	11
12	KOREAN-82-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	82	*fire	221	FIRE	pul	pul	p u l	false	1 7 5	AXN	PYL	1	1.P.C 1.Y.V 1.L.c	2.0 1.5 0.8	pul	0	12
13	KOREAN-19-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	19	*fish	227	FISH	mul kogi	mul kogi	m u l k o g i	false	4 7 5 1 7 1 7	AXMBYBZ	MYLKUKI	1	1.M.C 1.Y.V 1.L.c 1.K.C 1.U.V 1.K.C 1.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	mulkogi	0	13
14	KOREAN-95-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	95	*full	1429	FULL	Can	Can	tʃ ɐ n	false	1 7 4	AXN	TEN	1	1.T.C 1.E.V 1.N.c	2.0 1.5 0.8	tʃɐn	0	14
15	KOREAN-48-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	48	*hand	1277	HAND	son	son	s o n	false	3 7 4	AXN	SUN	1	1.S.C 1.U.V 1.N.c	2.0 1.5 0.8	son	0	15
16	KOREAN-58-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	58	*hear	1408	HEAR	tut	tut	t u t	false	1 7 1	AXN	TYT	1	1.T.C 1.Y.V 1.T.c	2.0 1.5 0.8	tut	0	16
17	KOREAN-34-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	34	*horn	1393	HORN (ANATOMY)	bul	bul	b u l	false	1 7 5	AXN	PYL	1	1.P.C 1.Y.V 1.L.c	2.0 1.5 0.8	bul	0	17
18	KOREAN-47-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	47	*knee	1371	KNEE	murup	murup	m u r u p	false	4 7 5 7 1	AXBYN	MYRYP	1	1.M.C 1.Y.V 1.R.C 1.Y.V 1.P.c	2.0 1.5 1.75 1.3 0.8	murup	0	18
19	KOREAN-25-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	25	*leaf	628	LEAF	iph~	iph~	i pʰ	false	7 1	XN	IP	1	1.I.V 1.P.c	1.5 0.8	ipʰ	0	19
20	KOREAN-53-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	53	*liver	1224	LIVER	kan	kan	k ɐ n	false	1 7 4	AXN	KEN	1	1.K.C 1.E.V 1.N.c	2.0 1.5 0.8	kɐn	0	20
21	KOREAN-22-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	22	*louse	1392	LOUSE	i	i	i	false	7	X	I	1	1.I.V	1.5	i	0	21
22	KOREAN-86-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	86	*mountain	639	MOUNTAIN	san	san	s ɐ n	false	3 7 4	AXN	SEN	1	1.S.C 1.E.V 1.N.c	2.0 1.5 0.8	sɐn	0	22
23	KOREAN-100-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	100	*name	1405	NAME	irum	irum	i r u m	false	7 5 7 4	XBYN	IRYM	1	1.I.V 1.R.C 1.Y.V 1.M.c	1.5 1.75 1.3 0.8	irum	0	23
24	KOREAN-96-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	96	*new	1231	NEW	sEroun	sEroun	s a r o u n	false	3 7 5 7 7 4	AXBYYN	SARUYN	1	1.S.C 1.A.V 1.R.C 1.U.V 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 1.3 0.8	saroun	0	24
25	KOREAN-92-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	92	*night	1233	NIGHT	pam	pam	p ɐ m	false	1 7 4	AXN	PEM	1	1.P.C 1.E.V 1.M.c	2.0 1.5 0.8	pɐm	0	25
26	KOREAN-41-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	41	*nose	1221	NOSE	ko	ko	k o	false	1 7	AX	KU	1	1.K.C 1.U.V	2.0 1.5	ko	0	26
27	KOREAN-11-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	11	*one	1493	ONE	han	han	h ɐ n	false	3 7 4	AXN	HEN	1	1.H.C 1.E.V 1.N.c	2.0 1.5 0.8	hɐn	0	27
28	KOREAN-85-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	85	*path	2252	PATH	kil	kil	k i l	false	1 7 5	AXN	KIL	1	1.K.C 1.I.V 1.L.c	2.0 1.5 0.8	kil	0	28
29	KOREAN-18-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	18	*person	683	PERSON	saram	saram	s ɐ r ɐ m	false	3 7 5 7 4	AXBYN	SEREM	1	1.S.C 1.E.V 1.R.C 1.E.V 1.M.c	2.0 1.5 1.75 1.3 0.8	sɐrɐm	0	29
30	KOREAN-57-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	57	*see	1409	SEE	po	po	p o	false	1 7	AX	PU	1	1.P.C 1.U.V	2.0 1.5	po	0	30
31	KOREAN-28-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	28	*skin	763	SKIN	gopjil	gopjil	g o p dʒ i l	false	1 7 1 1 7 5	AXMBYN	KUPTIL	1	1.K.C 1.U.V 1.P.c 1.T.C 1.I.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	gopdʒil	0	31
32	KOREAN-74-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	74	*star	1430	STAR	py~ol	py~ol	pʲ o l	false	1 7 5	AXN	PUL	1	1.P.C 1.U.V 1.L.c	2.0 1.5 0.8	pʲol	0	32
33	KOREAN-77-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	77	*stone	857	STONE	tol	tol	t o l	false	1 7 5	AXN	TUL	1	1.T.C 1.U.V 1.L.c	2.0 1.5 0.8	tol	0	33
34	KOREAN-72-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	72	*sun	1343	SUN	hE	hE	h a	false	3 7	AX	HA	1	1.H.C 1.A.V	2.0 1.5	ha	0	34
35	KOREAN-44-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	44	*tongue	1205	TONGUE	hy~o	hy~o	hʲ o	false	3 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	hʲo	0	35
36	KOREAN-43-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	43	*tooth	1380	TOOTH	i	i	i	false	7	X	I	1	1.I.V	1.5	i	1	36
37	KOREAN-23-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	23	*tree	906	TREE	namu	namu	n ɐ m u	false	4 7 4 7	AXBZ	NEMY	1	1.N.C 1.E.V 1.M.C 1.Y.V	2.0 1.5 1.75 0.8	nɐmu	0	37
38	KOREAN-12-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	12	*two	1498	TWO	tul	tul	t u l	false	1 7 5	AXN	TYL	1	1.T.C 1.Y.V 1.L.c	2.0 1.5 0.8	tul	0	38
39	KOREAN-75-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	75	*water	948	WATER	mul	mul	m u l	false	4 7 5	AXN	MYL	1	1.M.C 1.Y.V 1.L.c	2.0 1.5 0.8	mul	0	39
40	KOREAN-3-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	3	*we	1212	WE	uri	uri	u r i	false	7 5 7	XBZ	YRI	1	1.Y.V 1.R.C 1.I.V	1.5 1.75 0.8	uri	0	40
41	KOREAN-2-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	2	*you	1215	THOU	taNsin	taNsin	t ɐ ŋ s i n	false	1 7 4 3 7 4	AXMBYN	TENSIN	1	1.T.C 1.E.V 1.N.c 1.S.C 1.I.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	tɐŋsin	0	41
42	KOREAN-9-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	9	all	98	ALL	modun	modun	m o d u n	false	4 7 1 7 4	AXBYN	MUTYN	1	1.M.C 1.U.V 1.T.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 0.8	modun	0	42
43	KOREAN-9-2	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	9	all	98	ALL	Conbu	Conbu	tʃ o n b u	false	1 7 4 1 7	AXMBZ	TUNPY	1	1.T.C 1.U.V 1.N.c 1.P.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	tʃonbu	0	43
44	KOREAN-83-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	83	ash	646	ASH	CE	CE	tʃ a	false	1 7	AX	TA	1	1.T.C 1.A.V	2.0 1.5	tʃa	0	44
45	KOREAN-27-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	27	bark	1204	BARK	namu gopjil	namu gopjil	n ɐ m u g o p dʒ i l	false	4 7 4 7 1 7 1 1 7 5	AXBYBYMBYN	NEMYKUPTIL	1	1.N.C 1.E.V 1.M.C 1.Y.V 1.K.C 1.U.V 1.P.c 1.T.C 1.I.V 1.L.c	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 1.3 0.8	nɐmugopdʒil	0	45
46	KOREAN-13-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	13	big	1202	BIG	kun	kun	k u n	false	1 7 4	AXN	KYN	1	1.K.C 1.Y.V 1.N.c	2.0 1.5 0.8	kun	0	46
47	KOREAN-20-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	20	bird	937	BIRD	sE	sE	s a	false	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	sa	0	47
48	KOREAN-56-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	56	bite	1403	BITE	mul	mul	m u l	false	4 7 5	AXN	MYL	1	1.M.C 1.Y.V 1.L.c	2.0 1.5 0.8	mul	1	48
49	KOREAN-91-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	91	black	163	BLACK	komun	komun	k o m u n	false	1 7 4 7 4	AXBYN	KUMYN	1	1.K.C 1.U.V 1.M.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 0.8	komun	0	49
50	KOREAN-84-1	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	84	burn	2102	BURN	tEu	tEu	t a u	false	1 7 7	AXZ	TAY	1	1.T.C 1.A.V 1.Y.V	2.0 1.5 0.8	tau	0	50
51	KOREAN-84-2	KOREAN	KOREAN	kore1280	Korean	Koreanic			False	84	burn	2102	BURN	pulput	pulput	p u l p u t	false	1 7 5 1 7 1	AXMBYN	PYLPYT	1	1.P.C 1.Y.V 1.L.c 1.P.C 1.Y.V 1.T.c	2.0 1.5 1.1 1.75 1.3 0.8	pulput	0	51
