ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	DABRA-1-1	DABRA	DABRA	tawo1244	Taworta	Lakes Plain	East Lakes Plain		False	1	*I	1209	I	a	a	ɐ	false	7	X	E	3	3.E.V	1.5	ɐ	0	2
2	FOAU-1-1	FOAU	FOAU	foau1240	Abawiri	Lakes Plain	East Lakes Plain		False	1	*I	1209	I	adu	adu	ɐ d u	false	7 1 7	XBZ	ETY	9	9.E.V 9.T.C 9.Y.V	1.5 1.75 0.8	ɐdu	0	3
58	AWERA-1-1	AWERA	AWERA	awer1241	Awera	Lakes Plain	Far West Lakes Plain		False	1	*I	1209	I	yai	yai	j ɐ i	false	6 7 7	AXZ	JEI	1	1.J.C 1.E.V 1.I.V	2.0 1.5 0.8	jɐi	0	1
94	RASAWA-1-1	RASAWA	RASAWA	rasa1243	Rasawa	Lakes Plain	Far West Lakes Plain	Rasawa-Saponi	False	1	*I	1209	I	ebe	ebe	e b e	false	7 1 7	XBZ	EPE	16	16.E.V 16.P.C 16.E.V	1.5 1.75 0.8	ebe	0	4
95	SAPONI-1-1	SAPONI	SAPONI	sapo1254	Saponi	Lakes Plain	Far West Lakes Plain	Rasawa-Saponi	False	1	*I	1209	I	mamirE	mamirE	m ɐ m i r a	false	4 7 4 7 5 7	AXBYBZ	MEMIRA	17	17.M.C 17.E.V 17.M.C 17.I.V 17.R.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	mɐmira	0	5
170	DUVLE-1-1	DUVLE	DUVLE	duvl1242	Duvle	Lakes Plain	Tariku		False	1	*I	1209	I	E	E	a	false	7	X	A	5	5.A.V	1.5	a	0	2
259	EDOPI-1-1	EDOPI	EDOPI	edop1238	Edopi	Lakes Plain	Tariku	Central Tariku	False	1	*I	1209	I	a	a	ɐ	false	7	X	E	6	6.E.V	1.5	ɐ	0	2
260	IAU-1-1	IAU	IAU	iauu1242	Iau	Lakes Plain	Tariku	Central Tariku	False	1	*I	1209	I	a	a	ɐ	false	7	X	E	10	10.E.V	1.5	ɐ	0	2
381	BIRITAI-1-1	BIRITAI	BIRITAI	biri1259	Biritai	Lakes Plain	Tariku	East Tariku	False	1	*I	1209	I	e	e	e	false	7	X	E	2	2.E.V	1.5	e	0	2
382	KAIY-1-1	KAIY	KAIY	kaiy1239	Kaiy	Lakes Plain	Tariku	East Tariku	False	1	*I	1209	I	i	i	i	false	7	X	I	11	11.I.V	1.5	i	0	2
