ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
51	AMA-1-1	AMA	AMA	amap1240	Ama (Papua New Guinea)	Left May	Western Left May		False	1	*I	1209	I	yo	yo	j o	false	6 7	AX	JU	1	1.J.C 1.U.V	2.0 1.5	jo	0	1
52	AMA-1-2	AMA	AMA	amap1240	Ama (Papua New Guinea)	Left May	Western Left May		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	1	1.J.C 1.E.V	2.0 1.5	jɐ	0	1
53	NAKWI-1-1	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	1	*I	1209	I	ye	ye	j e	false	6 7	AX	JE	4	4.J.C 4.E.V	2.0 1.5	je	0	1
54	AMA-30-1	AMA	AMA	amap1240	Ama (Papua New Guinea)	Left May	Western Left May		False	30	*blood	946	BLOOD	naka	naka	n ɐ k ɐ	false	4 7 1 7	AXBZ	NEKE	1	1.N.C 1.E.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	nɐkɐ	0	2
55	NAKWI-30-1	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	30	*blood	946	BLOOD	u3	u3	u ə	false	7 7	XZ	YE	4	4.Y.V 4.E.V	1.5 0.8	uə	0	5
56	NIMO-30-1	NIMO	NIMO	nimo1247	Nimo	Left May	Western Left May		False	30	*blood	946	BLOOD	iwo	iwo	i w o	false	7 6 7	XBZ	IWU	5	5.I.V 5.W.C 5.U.V	1.5 1.75 0.8	iwo	0	6
154	BO-30-1	BO	BO	bopa1235	Bo (Papua New Guinea)	Left May	Western Left May	Iteri-Bo	False	30	*blood	946	BLOOD	kwo	kwo	k w o	false	1 6 7	ACX	KWU	2	2.K.C 2.W.C 2.U.V	2.0 1.5 1.5	kwo	0	3
155	ITERI-30-1	ITERI	ITERI	iter1241	Iteri	Left May	Western Left May	Iteri-Bo	False	30	*blood	946	BLOOD	wo7	wo7	w o ʔ	false	6 7 1	AXN	WUH	3	3.W.C 3.U.V 3.H.c	2.0 1.5 0.8	woʔ	0	4
57	AMA-31-1	AMA	AMA	amap1240	Ama (Papua New Guinea)	Left May	Western Left May		False	31	*bone	1394	BONE	mi	mi	m i	false	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	mi	0	7
58	NAKWI-31-1	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	31	*bone	1394	BONE	mi*	mi*	m ĩ	false	4 7	AX	MI	4	4.M.C 4.I.V	2.0 1.5	mĩ	0	7
59	NIMO-31-1	NIMO	NIMO	nimo1247	Nimo	Left May	Western Left May		False	31	*bone	1394	BONE	mi	mi	m i	false	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	mi	0	7
156	BO-31-1	BO	BO	bopa1235	Bo (Papua New Guinea)	Left May	Western Left May	Iteri-Bo	False	31	*bone	1394	BONE	mutuk	mutuk	m u t u k	false	4 7 1 7 1	AXBYN	MYTYK	2	2.M.C 2.Y.V 2.T.C 2.Y.V 2.K.c	2.0 1.5 1.75 1.3 0.8	mutuk	0	8
157	ITERI-31-1	ITERI	ITERI	iter1241	Iteri	Left May	Western Left May	Iteri-Bo	False	31	*bone	1394	BONE	pumoto	pumoto	p u m o t o	false	1 7 4 7 1 7	AXBYBZ	PYMUTU	3	3.P.C 3.Y.V 3.M.C 3.U.V 3.T.C 3.U.V	2.0 1.5 1.75 1.3 1.75 0.8	pumoto	0	9
1	OWINIGA-51-1	OWINIGA	OWINIGA	owin1240	Owiniga	Left May			False	51	*breasts	1402	BREAST	nainoh	nainoh	n ɐ i n o h	false	4 7 7 4 7 3	AXYBYN	NEINUH	6	6.N.C 6.E.V 6.I.V 6.N.C 6.U.V 6.H.c	2.0 1.5 1.3 1.75 1.3 0.8	nɐinoh	0	12
60	NAKWI-51-1	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	51	*breasts	1402	BREAST	no	no	n o	false	4 7	AX	NU	4	4.N.C 4.U.V	2.0 1.5	no	0	11
61	NIMO-51-1	NIMO	NIMO	nimo1247	Nimo	Left May	Western Left May		False	51	*breasts	1402	BREAST	no	no	n o	false	4 7	AX	NU	5	5.N.C 5.U.V	2.0 1.5	no	0	10
158	BO-51-1	BO	BO	bopa1235	Bo (Papua New Guinea)	Left May	Western Left May	Iteri-Bo	False	51	*breasts	1402	BREAST	no	no	n o	false	4 7	AX	NU	2	2.N.C 2.U.V	2.0 1.5	no	0	10
159	ITERI-51-1	ITERI	ITERI	iter1241	Iteri	Left May	Western Left May	Iteri-Bo	False	51	*breasts	1402	BREAST	nou	nou	n o u	false	4 7 7	AXZ	NUY	3	3.N.C 3.U.V 3.Y.V	2.0 1.5 0.8	nou	0	10
2	OWINIGA-66-1	OWINIGA	OWINIGA	owin1240	Owiniga	Left May			False	66	*come	1446	COME	n3pamo	n3pamo	n ə p ɐ m o	false	4 7 1 7 4 7	AXBYBZ	NEPEMU	6	6.N.C 6.E.V 6.P.C 6.E.V 6.M.C 6.U.V	2.0 1.5 1.75 1.3 1.75 0.8	nəpɐmo	0	17
62	AMA-66-1	AMA	AMA	amap1240	Ama (Papua New Guinea)	Left May	Western Left May		False	66	*come	1446	COME	tumo	tumo	t u m o	false	1 7 4 7	AXBZ	TYMU	1	1.T.C 1.Y.V 1.M.C 1.U.V	2.0 1.5 1.75 0.8	tumo	0	13
63	NAKWI-66-1	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	66	*come	1446	COME	arutuwam	arutuwam	ɐ r u t u w ɐ m	false	7 5 7 1 7 6 7 4	XBYBYBYN	ERYTYWEM	4	4.E.V 4.R.C 4.Y.V 4.T.C 4.Y.V 4.W.C 4.E.V 4.M.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	ɐrutuwɐm	0	16
64	NAKWI-66-2	NAKWI	NAKWI	nakw1240	Nakwi	Left May	Western Left May		False	66	*come	1446	COME	kw~eku	kw~eku	kʷ e k u	false	1 7 1 7	AXBZ	KEKY	4	4.K.C 4.E.V 4.K.C 4.Y.V	2.0 1.5 1.75 0.8	kʷeku	0	18
