ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	LENCA_EL_SALVADOR-1-1	LENCA_EL_SALVADOR	LENCA_EL_SALVADOR	lenc1243	Lenca-Salvador	Lencan			False	1	*I	1209	I	uno	uno	u n o	false	7 4 7	XBZ	YNU	1	1.Y.V 1.N.C 1.U.V	1.5 1.75 0.8	uno	0	1
2	LENCA_HONDURAS-1-1	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	1	*I	1209	I	una	una	u n ɐ	false	7 4 7	XBZ	YNE	2	2.Y.V 2.N.C 2.E.V	1.5 1.75 0.8	unɐ	0	1
3	LENCA_HONDURAS-1-2	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	1	*I	1209	I	ona	ona	o n ɐ	false	7 4 7	XBZ	UNE	2	2.U.V 2.N.C 2.E.V	1.5 1.75 0.8	onɐ	0	1
4	LENCA_EL_SALVADOR-30-1	LENCA_EL_SALVADOR	LENCA_EL_SALVADOR	lenc1243	Lenca-Salvador	Lencan			False	30	*blood	946	BLOOD	ala	ala	ɐ l ɐ	false	7 5 7	XBZ	ELE	1	1.E.V 1.L.C 1.E.V	1.5 1.75 0.8	ɐlɐ	0	2
5	LENCA_HONDURAS-30-1	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	30	*blood	946	BLOOD	uahng~	uahng~	u ɐ h ⁿg	false	7 7 3 1	XYLN	YEHK	2	2.Y.V 2.E.V 2.H.c 2.K.c	1.5 1.3 1.1 0.8	uɐhⁿg	0	3
6	LENCA_HONDURAS-30-2	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	30	*blood	946	BLOOD	kuC	kuC	k u tʃ	false	1 7 1	AXN	KYT	2	2.K.C 2.Y.V 2.T.c	2.0 1.5 0.8	kutʃ	0	4
7	LENCA_HONDURAS-31-1	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	31	*bone	1394	BONE	seig	seig	s e i g	false	3 7 7 1	AXYN	SEIK	2	2.S.C 2.E.V 2.I.V 2.K.c	2.0 1.5 1.3 0.8	seig	0	5
8	LENCA_HONDURAS-31-2	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	31	*bone	1394	BONE	ragh	ragh	r ɐ g h	false	5 7 1 3	AXBC	REKH	2	2.R.C 2.E.V 2.K.C 2.H.C	2.0 1.5 1.75 1.5	rɐgh	0	6
9	LENCA_HONDURAS-51-1	LENCA_HONDURAS	LENCA_HONDURAS	lenc1242	Lenca-Honduras	Lencan			False	51	*breasts	1402	BREAST	mob ipalan	mob ipalan	m o b i p ɐ l ɐ n	false	4 7 1 7 1 7 5 7 4	AXBYBYBYN	MUPIPELEN	2	2.M.C 2.U.V 2.P.C 2.I.V 2.P.C 2.E.V 2.L.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	mobipɐlɐn	0	7
10	LENCA_EL_SALVADOR-66-1	LENCA_EL_SALVADOR	LENCA_EL_SALVADOR	lenc1243	Lenca-Salvador	Lencan			False	66	*come	1446	COME	pokon	pokon	p o k o n	false	1 7 1 7 4	AXBYN	PUKUN	1	1.P.C 1.U.V 1.K.C 1.U.V 1.N.c	2.0 1.5 1.75 1.3 0.8	pokon	0	8
