ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	SANAPANA_ANGAITE-1-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	1	*I	1209	I	ko	ko	k o	false	1 7	AX	KU	2	2.K.C 2.U.V	2.0 1.5	ko	0	2
51	LENGUA-1-1	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	1	*I	1209	I	emehe	emehe	e m e h e	false	7 4 7 3 7	XBYBZ	EMEHE	1	1.E.V 1.M.C 1.E.V 1.H.C 1.E.V	1.5 1.75 1.3 1.75 0.8	emehe	0	1
52	SANAPANA_ENLHET-1-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	1	*I	1209	I	ko7o	ko7o	k o ʔ o	false	1 7 1 7	AXBZ	KUHU	3	3.K.C 3.U.V 3.H.C 3.U.V	2.0 1.5 1.75 0.8	koʔo	0	2
2	SANAPANA_ANGAITE-30-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	30	*blood	946	BLOOD	ima	ima	i m ɐ	false	7 4 7	XBZ	IME	2	2.I.V 2.M.C 2.E.V	1.5 1.75 0.8	imɐ	0	3
53	LENGUA-30-1	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	30	*blood	946	BLOOD	ema	ema	e m ɐ	false	7 4 7	XBZ	EME	1	1.E.V 1.M.C 1.E.V	1.5 1.75 0.8	emɐ	0	3
54	SANAPANA_ENLHET-30-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	30	*blood	946	BLOOD	ema	ema	e m ɐ	false	7 4 7	XBZ	EME	3	3.E.V 3.M.C 3.E.V	1.5 1.75 0.8	emɐ	0	3
3	SANAPANA_ANGAITE-31-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	31	*bone	1394	BONE	aLkapok	aLkapok	ɐ ʎ k ɐ p o k	false	7 5 1 7 1 7 1	XMBYBYN	ELKEPUK	2	2.E.V 2.L.c 2.K.C 2.E.V 2.P.C 2.U.V 2.K.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	ɐʎkɐpok	0	4
4	SANAPANA_ANGAITE-31-2	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	31	*bone	1394	BONE	apiLkapok	apiLkapok	ɐ p i ʎ k ɐ p o k	false	7 1 7 5 1 7 1 7 1	XBYMBYBYN	EPILKEPUK	2	2.E.V 2.P.C 2.I.V 2.L.c 2.K.C 2.E.V 2.P.C 2.U.V 2.K.c	1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.3 0.8	ɐpiʎkɐpok	0	4
55	SANAPANA_ENLHET-31-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	31	*bone	1394	BONE	eNeLkapok	eNeLkapok	e ŋ e ʎ k ɐ p o k	false	7 4 7 5 1 7 1 7 1	XBYMBYBYN	ENELKEPUK	3	3.E.V 3.N.C 3.E.V 3.L.c 3.K.C 3.E.V 3.P.C 3.U.V 3.K.c	1.5 1.75 1.3 1.1 1.75 1.3 1.75 1.3 0.8	eŋeʎkɐpok	0	4
5	SANAPANA_ANGAITE-51-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	51	*breasts	1402	BREAST	nimi	nimi	n i m i	false	4 7 4 7	AXBZ	NIMI	2	2.N.C 2.I.V 2.M.C 2.I.V	2.0 1.5 1.75 0.8	nimi	0	6
56	LENGUA-51-1	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	51	*breasts	1402	BREAST	namanku	namanku	n ɐ m ɐ n k u	false	4 7 4 7 4 1 7	AXBYMBZ	NEMENKY	1	1.N.C 1.E.V 1.M.C 1.E.V 1.N.c 1.K.C 1.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	nɐmɐnku	0	5
57	LENGUA-51-2	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	51	*breasts	1402	BREAST	nime	nime	n i m e	false	4 7 4 7	AXBZ	NIME	1	1.N.C 1.I.V 1.M.C 1.E.V	2.0 1.5 1.75 0.8	nime	0	6
58	SANAPANA_ENLHET-51-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	51	*breasts	1402	BREAST	neme eNak	neme eNak	n e m e e ŋ ɐ k	false	4 7 4 7 7 4 7 1	AXBYYBYN	NEMEENEK	3	3.N.C 3.E.V 3.M.C 3.E.V 3.E.V 3.N.C 3.E.V 3.K.c	2.0 1.5 1.75 1.3 1.3 1.75 1.3 0.8	nemeeŋɐk	0	6
6	SANAPANA_ANGAITE-66-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	66	*come	1446	COME	apkiLy~akmi	apkiLy~akmi	ɐ p k i ʎʲ ɐ k m i	false	7 1 1 7 5 7 1 4 7	XMBYBYBCZ	EPKILEKMI	2	2.E.V 2.P.c 2.K.C 2.I.V 2.L.C 2.E.V 2.K.C 2.M.C 2.I.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.5 0.8	ɐpkiʎʲɐkmi	0	7
7	SANAPANA_ANGAITE-66-2	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	66	*come	1446	COME	ankiLy~akmi	ankiLy~akmi	ɐ n k i ʎʲ ɐ k m i	false	7 4 1 7 5 7 1 4 7	XMBYBYBCZ	ENKILEKMI	2	2.E.V 2.N.c 2.K.C 2.I.V 2.L.C 2.E.V 2.K.C 2.M.C 2.I.V	1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.5 0.8	ɐnkiʎʲɐkmi	0	7
59	SANAPANA_ENLHET-66-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	66	*come	1446	COME	neNeLy~eya am7~	neNeLy~eya am7~	n e ŋ e ʎʲ e j ɐ ɐ mˀ	false	4 7 4 7 5 7 6 7 7 4	AXBYBYBYYN	NENELEJEEM	3	3.N.C 3.E.V 3.N.C 3.E.V 3.L.C 3.E.V 3.J.C 3.E.V 3.E.V 3.M.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.3 0.8	neŋeʎʲejɐɐmˀ	0	8
60	SANAPANA_ENLHET-66-2	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	66	*come	1446	COME	nenLeNayam7~	nenLeNayam7~	n e n ʎ e ŋ ɐ j ɐ mˀ	false	4 7 4 5 7 4 7 6 7 4	AXBCYBYBYN	NENLENEJEM	3	3.N.C 3.E.V 3.N.C 3.L.C 3.E.V 3.N.C 3.E.V 3.J.C 3.E.V 3.M.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 1.75 1.3 0.8	nenʎeŋɐjɐmˀ	0	8
8	SANAPANA_ANGAITE-61-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	61	*die	1494	DIE	atkitsipki	atkitsipki	ɐ t k i t s i p k i	false	7 1 1 7 1 3 7 1 1 7	XMBYBCYMBZ	ETKITSIPKI	2	2.E.V 2.T.c 2.K.C 2.I.V 2.T.C 2.S.C 2.I.V 2.P.c 2.K.C 2.I.V	1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	ɐtkitsipki	0	9
9	SANAPANA_ANGAITE-61-2	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	61	*die	1494	DIE	ankitsipki	ankitsipki	ɐ n k i t s i p k i	false	7 4 1 7 1 3 7 1 1 7	XMBYBCYMBZ	ENKITSIPKI	2	2.E.V 2.N.c 2.K.C 2.I.V 2.T.C 2.S.C 2.I.V 2.P.c 2.K.C 2.I.V	1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	ɐnkitsipki	0	9
61	LENGUA-61-1	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	61	*die	1494	DIE	ky~iciph~owu	ky~iciph~owu	kʲ i ts i pʰ o w u	false	1 7 2 7 1 7 6 7	AXBYBYBZ	KICIPUWY	1	1.K.C 1.I.V 1.C.C 1.I.V 1.P.C 1.U.V 1.W.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kʲitsipʰowu	0	9
62	LENGUA-61-2	LENGUA	LENGUA	sout2989	Enxet Sur	Lengua-Mascoy	Lengua		False	61	*die	1494	DIE	ky~icipky~i	ky~icipky~i	kʲ i ts i p kʲ i	false	1 7 2 7 1 1 7	AXBYMBZ	KICIPKI	1	1.K.C 1.I.V 1.C.C 1.I.V 1.P.c 1.K.C 1.I.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	kʲitsipkʲi	0	9
63	SANAPANA_ENLHET-61-1	SANAPANA_ENLHET	SANAPANA_ENLHET	nort2971	Enlhet Norte	Lengua-Mascoy	Lengua		False	61	*die	1494	DIE	eNh~apak	eNh~apak	e ŋʰ ɐ p ɐ k	false	7 4 7 1 7 1	XBYBYN	ENEPEK	3	3.E.V 3.N.C 3.E.V 3.P.C 3.E.V 3.K.c	1.5 1.75 1.3 1.75 1.3 0.8	eŋʰɐpɐk	0	10
10	SANAPANA_ANGAITE-21-1	SANAPANA_ANGAITE	SANAPANA_ANGAITE	anga1316	Angaité	Lengua-Mascoy	Eastern Enlhet-Enenlhet		False	21	*dog	2009	DOG	atsimh~in	atsimh~in	ɐ t s i mʰ i n	false	7 1 3 7 4 7 4	XBCYBYN	ETSIMIN	2	2.E.V 2.T.C 2.S.C 2.I.V 2.M.C 2.I.V 2.N.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	ɐtsimʰin	0	11
