ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	DOMU-1-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false	7 7	XZ	IE	3	3.I.V 3.E.V	1.5 0.8	iɐ	0	2
2	LAUA-1-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	1	*I	1209	I	ya7a	ya7a	j ɐ ʔ ɐ	false	6 7 1 7	AXBZ	JEHE	4	4.J.C 4.E.V 4.H.C 4.E.V	2.0 1.5 1.75 0.8	jɐʔɐ	0	3
3	MAILU-1-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false	7 7	XZ	IE	5	5.I.V 5.E.V	1.5 0.8	iɐ	0	2
4	MORAWA-1-1	MORAWA	MORAWA	mora1273	Morawa	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false	7 7	XZ	IE	6	6.I.V 6.E.V	1.5 0.8	iɐ	0	2
198	BINAHARI-1-1	BINAHARI	BINAHARI	bina1275	Binahari-Neme	Mailuan	Binaharic		False	1	*I	1209	I	iaia	iaia	i ɐ i ɐ	false	7 7 7 7	XYYZ	IEIE	2	2.I.V 2.E.V 2.I.V 2.E.V	1.5 1.3 1.3 0.8	iɐiɐ	0	1
5	DOMU-30-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	30	*blood	946	BLOOD	yara	yara	j ɐ r ɐ	false	6 7 5 7	AXBZ	JERE	3	3.J.C 3.E.V 3.R.C 3.E.V	2.0 1.5 1.75 0.8	jɐrɐ	0	5
6	LAUA-30-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	30	*blood	946	BLOOD	lala	lala	l ɐ l ɐ	false	5 7 5 7	AXBZ	LELE	4	4.L.C 4.E.V 4.L.C 4.E.V	2.0 1.5 1.75 0.8	lɐlɐ	0	6
7	MAILU-30-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	30	*blood	946	BLOOD	lala	lala	l ɐ l ɐ	false	5 7 5 7	AXBZ	LELE	5	5.L.C 5.E.V 5.L.C 5.E.V	2.0 1.5 1.75 0.8	lɐlɐ	0	6
119	BAUWAKI-30-1	BAUWAKI	BAUWAKI	bauw1240	Bauwaki	Mailuan	Bauwakic		False	30	*blood	946	BLOOD	dana	dana	d ɐ n ɐ	false	1 7 4 7	AXBZ	TENE	1	1.T.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	dɐnɐ	0	4
8	DOMU-31-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	31	*bone	1394	BONE	giha	giha	g i h ɐ	false	1 7 3 7	AXBZ	KIHE	3	3.K.C 3.I.V 3.H.C 3.E.V	2.0 1.5 1.75 0.8	gihɐ	0	8
9	LAUA-31-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	31	*bone	1394	BONE	gisa	gisa	g i s ɐ	false	1 7 3 7	AXBZ	KISE	4	4.K.C 4.I.V 4.S.C 4.E.V	2.0 1.5 1.75 0.8	gisɐ	0	8
10	MAILU-31-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	31	*bone	1394	BONE	kisa	kisa	k i s ɐ	false	1 7 3 7	AXBZ	KISE	5	5.K.C 5.I.V 5.S.C 5.E.V	2.0 1.5 1.75 0.8	kisɐ	0	9
