ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KHINALUG-1-1	KHINALUG	KHINALUG	khin1240	Khinalug	Nakh-Daghestanian	Daghestanian		False	1	*I	1209	I	z3	z3	z ə	false	3 7	AX	SE	20	20.S.C 20.E.V	2.0 1.5	zə	0	2
2	LAK-1-1	LAK	LAK	lakk1252	Lak	Nakh-Daghestanian	Daghestanian		False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	23	23.N.C 23.E.V	2.0 1.5	nɐ	0	3
92	AKHVAKH-1-1	AKHVAKH	AKHVAKH	akhv1239	Akhvakh	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dEnE	dEnE	d a n a	false	1 7 4 7	AXBZ	TANA	2	2.T.C 2.A.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	dana	0	1
93	ANDI-1-1	ANDI	ANDI	andi1255	Andi	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	din	din	d i n	false	1 7 4	AXN	TIN	3	3.T.C 3.I.V 3.N.c	2.0 1.5 0.8	din	0	1
94	ANDI-1-2	ANDI	ANDI	andi1255	Andi	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dEn	dEn	d a n	false	1 7 4	AXN	TAN	3	3.T.C 3.A.V 3.N.c	2.0 1.5 0.8	dan	0	1
95	AVAR-1-1	AVAR	AVAR	avar1256	Avar	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dun	dun	d u n	false	1 7 4	AXN	TYN	5	5.T.C 5.Y.V 5.N.c	2.0 1.5 0.8	dun	0	1
96	BAGWALAL-1-1	BAGWALAL	BAGWALAL	bagv1239	Bagvalal	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	de	de	d e	false	1 7	AX	TE	6	6.T.C 6.E.V	2.0 1.5	de	0	1
97	BEZHTA-1-1	BEZHTA	BEZHTA	bezh1248	Bezhta	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	do	do	d o	false	1 7	AX	TU	8	8.T.C 8.U.V	2.0 1.5	do	0	1
98	BOTLIKH-1-1	BOTLIKH	BOTLIKH	botl1242	Botlikh	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dEn	dEn	d a n	false	1 7 4	AXN	TAN	9	9.T.C 9.A.V 9.N.c	2.0 1.5 0.8	dan	0	1
99	BOTLIKH-1-2	BOTLIKH	BOTLIKH	botl1242	Botlikh	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dEni	dEni	d a n i	false	1 7 4 7	AXBZ	TANI	9	9.T.C 9.A.V 9.N.C 9.I.V	2.0 1.5 1.75 0.8	dani	0	1
100	CHAMALAL-1-1	CHAMALAL	CHAMALAL	cham1309	Chamalal	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	di*	di*	d ĩ	false	1 7	AX	TI	11	11.T.C 11.I.V	2.0 1.5	dĩ	0	1
101	GODOBERI-1-1	GODOBERI	GODOBERI	ghod1238	Godoberi	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dEn	dEn	d a n	false	1 7 4	AXN	TAN	14	14.T.C 14.A.V 14.N.c	2.0 1.5 0.8	dan	0	1
102	HINUKH-1-1	HINUKH	HINUKH	hinu1240	Hinuq	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	False	1	*I	1209	I	dE	dE	d a	false	1 7	AX	TA	15	15.T.C 15.A.V	2.0 1.5	da	0	1
