ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KWUSAUN-1-1	KWUSAUN	KWUSAUN	boik1241	Boikin	Ndu			False	1	*I	1209	I	nu3	nu3	n u ə	false	4 7 7	AXZ	NYE	8	8.N.C 8.Y.V 8.E.V	2.0 1.5 0.8	nuə	0	2
2	NGALA-1-1	NGALA	NGALA	ngal1300	Ngala	Ndu			False	1	*I	1209	I	wn	wn	w n	false	6 4	AN	WN	11	11.W.C 11.N.c	2.0 0.8	wn	0	1
3	YENGORU-1-1	YENGORU	YENGORU	boik1241	Boikin	Ndu			False	1	*I	1209	I	wn3	wn3	w n ə	false	6 4 7	ACZ	WNE	17	17.W.C 17.N.C 17.E.V	2.0 1.5 0.8	wnə	0	1
240	AMBULAS-1-1	AMBULAS	AMBULAS	*ambulas	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	1	*I	1209	I	wun3	wun3	w u n ə	false	6 7 4 7	AXBZ	WYNE	1	1.W.C 1.Y.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	wunə	0	1
241	HANGA_HUNDI-1-1	HANGA_HUNDI	HANGA_HUNDI	hang1263	Hanga Hundi	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	1	*I	1209	I	wuni	wuni	w u n i	false	6 7 4 7	AXBZ	WYNI	5	5.W.C 5.Y.V 5.N.C 5.I.V	2.0 1.5 1.75 0.8	wuni	0	1
242	MAPRIK-1-1	MAPRIK	MAPRIK	*maprik	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	1	*I	1209	I	wn3	wn3	w n ə	false	6 4 7	ACZ	WNE	10	10.W.C 10.N.C 10.E.V	2.0 1.5 0.8	wnə	0	1
243	WOSERA-1-1	WOSERA	WOSERA	*wosera	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	1	*I	1209	I	un3	un3	u n ə	false	7 4 7	XBZ	YNE	15	15.Y.V 15.N.C 15.E.V	1.5 1.75 0.8	unə	0	1
563	MANAMBU-1-1	MANAMBU	MANAMBU	mana1298	Manambu	Ndu	Nuclear Ndu	Manambu-Yalaku	False	1	*I	1209	I	wn	wn	w n	false	6 4	AN	WN	9	9.W.C 9.N.c	2.0 0.8	wn	0	1
564	YELOGU-1-1	YELOGU	YELOGU	yelo1243	Yalaku	Ndu	Nuclear Ndu	Manambu-Yalaku	False	1	*I	1209	I	uni	uni	u n i	false	7 4 7	XBZ	YNI	16	16.Y.V 16.N.C 16.I.V	1.5 1.75 0.8	uni	0	1
689	GAIKUNDI-1-1	GAIKUNDI	GAIKUNDI	gaik1242	Gaikundi	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wun	wun	w u n	false	6 7 4	AXN	WYN	4	4.W.C 4.Y.V 4.N.c	2.0 1.5 0.8	wun	0	1
690	IATMUL-1-1	IATMUL	IATMUL	*iatmul	Iatmul	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wun	wun	w u n	false	6 7 4	AXN	WYN	6	6.W.C 6.Y.V 6.N.c	2.0 1.5 0.8	wun	0	1
691	KOIWAT-1-1	KOIWAT	KOIWAT	koiw1243	Koiwat	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wuni	wuni	w u n i	false	6 7 4 7	AXBZ	WYNI	7	7.W.C 7.Y.V 7.N.C 7.I.V	2.0 1.5 1.75 0.8	wuni	0	1
692	NYAURA-1-1	NYAURA	NYAURA	*nyaura	Iatmul	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wn	wn	w n	false	6 4	AN	WN	12	12.W.C 12.N.c	2.0 0.8	wn	0	1
693	SENGO-1-1	SENGO	SENGO	seng1284	Sengo	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wuna	wuna	w u n ɐ	false	6 7 4 7	AXBZ	WYNE	13	13.W.C 13.Y.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	wunɐ	0	1
694	SOS_KUNDI-1-1	SOS_KUNDI	SOS_KUNDI	sosk1235	Sos Kundi	Ndu	Nuclear Ndu	Sawosic	False	1	*I	1209	I	wuni	wuni	w u n i	false	6 7 4 7	AXBZ	WYNI	14	14.W.C 14.Y.V 14.N.C 14.I.V	2.0 1.5 1.75 0.8	wuni	0	1
4	KWUSAUN-30-1	KWUSAUN	KWUSAUN	boik1241	Boikin	Ndu			False	30	*blood	946	BLOOD	win	win	w i n	false	6 7 4	AXN	WIN	8	8.W.C 8.I.V 8.N.c	2.0 1.5 0.8	win	0	3
5	NGALA-30-1	NGALA	NGALA	ngal1300	Ngala	Ndu			False	30	*blood	946	BLOOD	wy5	wy5	w j ɲ	false	6 6 4	ALN	WJN	11	11.W.C 11.J.c 11.N.c	2.0 1.1 0.8	wjɲ	0	3
6	YENGORU-30-1	YENGORU	YENGORU	boik1241	Boikin	Ndu			False	30	*blood	946	BLOOD	wyn	wyn	w j n	false	6 6 4	ALN	WJN	17	17.W.C 17.J.c 17.N.c	2.0 1.1 0.8	wjn	0	3
244	AMBULAS-30-1	AMBULAS	AMBULAS	*ambulas	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	30	*blood	946	BLOOD	w35	w35	w ə ɲ	false	6 7 4	AXN	WEN	1	1.W.C 1.E.V 1.N.c	2.0 1.5 0.8	wəɲ	0	3
245	MAPRIK-30-1	MAPRIK	MAPRIK	*maprik	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	30	*blood	946	BLOOD	wy~n	wy~n	w i n	false	6 7 4	AXN	WIN	10	10.W.C 10.I.V 10.N.c	2.0 1.5 0.8	win	0	3
246	WOSERA-30-1	WOSERA	WOSERA	*wosera	Ambulas	Ndu	Nuclear Ndu	Ambulas-Hanga-Hundi	False	30	*blood	946	BLOOD	53ki	53ki	ɲ ə k i	false	4 7 1 7	AXBZ	NEKI	15	15.N.C 15.E.V 15.K.C 15.I.V	2.0 1.5 1.75 0.8	ɲəki	0	5
565	MANAMBU-30-1	MANAMBU	MANAMBU	mana1298	Manambu	Ndu	Nuclear Ndu	Manambu-Yalaku	False	30	*blood	946	BLOOD	53ky~	53ky~	ɲ ə kʲ	false	4 7 1	AXN	NEK	9	9.N.C 9.E.V 9.K.c	2.0 1.5 0.8	ɲəkʲ	0	5
566	YELOGU-30-1	YELOGU	YELOGU	yelo1243	Yalaku	Ndu	Nuclear Ndu	Manambu-Yalaku	False	30	*blood	946	BLOOD	53ki	53ki	ɲ ə k i	false	4 7 1 7	AXBZ	NEKI	16	16.N.C 16.E.V 16.K.C 16.I.V	2.0 1.5 1.75 0.8	ɲəki	0	5
