ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	RAPOISI-1-1	RAPOISI	RAPOISI	rapo1238	Rapoisi	North Bougainville			False	1	*I	1209	I	ag	ag	ɐ g	false	7 1	XN	EK	1	1.E.V 1.K.c	1.5 0.8	ɐg	0	1
2	RAPOISI-1-2	RAPOISI	RAPOISI	rapo1238	Rapoisi	North Bougainville			False	1	*I	1209	I	aru	aru	ɐ r u	false	7 5 7	XBZ	ERY	1	1.E.V 1.R.C 1.Y.V	1.5 1.75 0.8	ɐru	0	3
40	ROTOKAS-1-1	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	1	*I	1209	I	dEgEi	dEgEi	d a g a i	false	1 7 1 7 7	AXBYZ	TAKAI	2	2.T.C 2.A.V 2.K.C 2.A.V 2.I.V	2.0 1.5 1.75 1.3 0.8	dagai	0	2
41	ROTOKAS-1-2	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	1	*I	1209	I	dEgoE	dEgoE	d a g o a	false	1 7 1 7 7	AXBYZ	TAKUA	2	2.T.C 2.A.V 2.K.C 2.U.V 2.A.V	2.0 1.5 1.75 1.3 0.8	dagoa	0	2
3	RAPOISI-30-1	RAPOISI	RAPOISI	rapo1238	Rapoisi	North Bougainville			False	30	*blood	946	BLOOD	parakoa	parakoa	p ɐ r ɐ k o ɐ	false	1 7 5 7 1 7 7	AXBYBYZ	PEREKUE	1	1.P.C 1.E.V 1.R.C 1.E.V 1.K.C 1.U.V 1.E.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	pɐrɐkoɐ	0	4
42	ROTOKAS-30-1	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	30	*blood	946	BLOOD	bebEsibE	bebEsibE	b e b a s i b a	false	1 7 1 7 3 7 1 7	AXBYBYBZ	PEPASIPA	2	2.P.C 2.E.V 2.P.C 2.A.V 2.S.C 2.I.V 2.P.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	bebasiba	0	5
4	RAPOISI-31-1	RAPOISI	RAPOISI	rapo1238	Rapoisi	North Bougainville			False	31	*bone	1394	BONE	reu	reu	r e u	false	5 7 7	AXZ	REY	1	1.R.C 1.E.V 1.Y.V	2.0 1.5 0.8	reu	0	6
43	ROTOKAS-31-1	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	31	*bone	1394	BONE	keduE	keduE	k e d u a	false	1 7 1 7 7	AXBYZ	KETYA	2	2.K.C 2.E.V 2.T.C 2.Y.V 2.A.V	2.0 1.5 1.75 1.3 0.8	kedua	0	7
44	ROTOKAS-51-1	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	51	*breasts	1402	BREAST	dodouE	dodouE	d o d o u a	false	1 7 1 7 7 7	AXBYYZ	TUTUYA	2	2.T.C 2.U.V 2.T.C 2.U.V 2.Y.V 2.A.V	2.0 1.5 1.75 1.3 1.3 0.8	dodoua	0	8
5	RAPOISI-66-1	RAPOISI	RAPOISI	rapo1238	Rapoisi	North Bougainville			False	66	*come	1446	COME	luilui	luilui	l u i l u i	false	5 7 7 5 7 7	AXYBYZ	LYILYI	1	1.L.C 1.Y.V 1.I.V 1.L.C 1.Y.V 1.I.V	2.0 1.5 1.3 1.75 1.3 0.8	luilui	0	9
45	ROTOKAS-66-1	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	66	*come	1446	COME	udio	udio	u d i o	false	7 1 7 7	XBYZ	YTIU	2	2.Y.V 2.T.C 2.I.V 2.U.V	1.5 1.75 1.3 0.8	udio	0	10
46	ROTOKAS-66-2	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	66	*come	1446	COME	udo	udo	u d o	false	7 1 7	XBZ	YTU	2	2.Y.V 2.T.C 2.U.V	1.5 1.75 0.8	udo	0	10
47	ROTOKAS-66-3	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	66	*come	1446	COME	bEge	bEge	b a g e	false	1 7 1 7	AXBZ	PAKE	2	2.P.C 2.A.V 2.K.C 2.E.V	2.0 1.5 1.75 0.8	bage	0	11
48	ROTOKAS-66-4	ROTOKAS	ROTOKAS	roto1249	Rotokas	North Bougainville	Rotokas-Askopan		False	66	*come	1446	COME	bEge piE	bEge piE	b a g e p i a	false	1 7 1 7 1 7 7	AXBYBYZ	PAKEPIA	2	2.P.C 2.A.V 2.K.C 2.E.V 2.P.C 2.I.V 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	bagepia	0	11
