ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MULLUKMULLUK-1-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	1	*I	1209	I	Na	Na	ŋ ɐ	false	4 7	AX	NE	1	1.N.C 1.E.V	2.0 1.5	ŋɐ	0	1
2	TYARAITY-1-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	1	*I	1209	I	Na	Na	ŋ ɐ	false	4 7	AX	NE	2	2.N.C 2.E.V	2.0 1.5	ŋɐ	0	1
3	MULLUKMULLUK-30-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	30	*blood	946	BLOOD	tawut	tawut	t ɐ w u t	false	1 7 6 7 1	AXBYN	TEWYT	1	1.T.C 1.E.V 1.W.C 1.Y.V 1.T.c	2.0 1.5 1.75 1.3 0.8	tɐwut	0	2
4	TYARAITY-30-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	30	*blood	946	BLOOD	patawur	patawur	p ɐ t ɐ w u r	false	1 7 1 7 6 7 5	AXBYBYN	PETEWYR	2	2.P.C 2.E.V 2.T.C 2.E.V 2.W.C 2.Y.V 2.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	pɐtɐwur	0	2
5	MULLUKMULLUK-31-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	31	*bone	1394	BONE	m3r3t	m3r3t	m ə r ə t	false	4 7 5 7 1	AXBYN	MERET	1	1.M.C 1.E.V 1.R.C 1.E.V 1.T.c	2.0 1.5 1.75 1.3 0.8	mərət	0	3
6	TYARAITY-31-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	31	*bone	1394	BONE	muru	muru	m u r u	false	4 7 5 7	AXBZ	MYRY	2	2.M.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	muru	0	3
7	MULLUKMULLUK-51-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	51	*breasts	1402	BREAST	wiyi	wiyi	w i j i	false	6 7 6 7	AXBZ	WIJI	1	1.W.C 1.I.V 1.J.C 1.I.V	2.0 1.5 1.75 0.8	wiji	0	4
8	TYARAITY-51-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	51	*breasts	1402	BREAST	wiN	wiN	w i ŋ	false	6 7 4	AXN	WIN	2	2.W.C 2.I.V 2.N.c	2.0 1.5 0.8	wiŋ	0	5
9	MULLUKMULLUK-21-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	21	*dog	2009	DOG	muyi5	muyi5	m u j i ɲ	false	4 7 6 7 4	AXBYN	MYJIN	1	1.M.C 1.Y.V 1.J.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	mujiɲ	0	6
10	TYARAITY-21-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	21	*dog	2009	DOG	muyi5	muyi5	m u j i ɲ	false	4 7 6 7 4	AXBYN	MYJIN	2	2.M.C 2.Y.V 2.J.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	mujiɲ	0	6
11	MULLUKMULLUK-39-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	39	*ear	1247	EAR	ty~ew3r	ty~ew3r	tʲ e w ə r	false	1 7 6 7 5	AXBYN	TEWER	1	1.T.C 1.E.V 1.W.C 1.E.V 1.R.c	2.0 1.5 1.75 1.3 0.8	tʲewər	0	7
12	TYARAITY-39-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	39	*ear	1247	EAR	ty~aw3r	ty~aw3r	tʲ ɐ w ə r	false	1 7 6 7 5	AXBYN	TEWER	2	2.T.C 2.E.V 2.W.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 0.8	tʲɐwər	0	7
13	MULLUKMULLUK-40-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	40	*eye	1248	EYE	numuru	numuru	n u m u r u	false	4 7 4 7 5 7	AXBYBZ	NYMYRY	1	1.N.C 1.Y.V 1.M.C 1.Y.V 1.R.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	numuru	0	8
14	TYARAITY-40-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	40	*eye	1248	EYE	numuru	numuru	n u m u r u	false	4 7 4 7 5 7	AXBYBZ	NYMYRY	2	2.N.C 2.Y.V 2.M.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	numuru	0	8
15	MULLUKMULLUK-82-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	82	*fire	221	FIRE	ty~3N	ty~3N	tʲ ə ŋ	false	1 7 4	AXN	TEN	1	1.T.C 1.E.V 1.N.c	2.0 1.5 0.8	tʲəŋ	0	9
16	TYARAITY-82-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	82	*fire	221	FIRE	ty~uNu	ty~uNu	tʲ u ŋ u	false	1 7 4 7	AXBZ	TYNY	2	2.T.C 2.Y.V 2.N.C 2.Y.V	2.0 1.5 1.75 0.8	tʲuŋu	0	9
17	MULLUKMULLUK-95-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	95	*full	1429	FULL	arikina	arikina	ɐ r i k i n ɐ	false	7 5 7 1 7 4 7	XBYBYBZ	ERIKINE	1	1.E.V 1.R.C 1.I.V 1.K.C 1.I.V 1.N.C 1.E.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ɐrikinɐ	0	10
18	TYARAITY-95-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	95	*full	1429	FULL	arukunuka	arukunuka	ɐ r u k u n u k ɐ	false	7 5 7 1 7 4 7 1 7	XBYBYBYBZ	ERYKYNYKE	2	2.E.V 2.R.C 2.Y.V 2.K.C 2.Y.V 2.N.C 2.Y.V 2.K.C 2.E.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	ɐrukunukɐ	0	10
19	MULLUKMULLUK-48-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	48	*hand	1277	HAND	ne5ilk	ne5ilk	n e ɲ i l k	false	4 7 4 7 5 1	AXBYLN	NENILK	1	1.N.C 1.E.V 1.N.C 1.I.V 1.L.c 1.K.c	2.0 1.5 1.75 1.3 1.1 0.8	neɲilk	0	11
20	TYARAITY-48-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	48	*hand	1277	HAND	ne5ulk	ne5ulk	n e ɲ u l k	false	4 7 4 7 5 1	AXBYLN	NENYLK	2	2.N.C 2.E.V 2.N.C 2.Y.V 2.L.c 2.K.c	2.0 1.5 1.75 1.3 1.1 0.8	neɲulk	0	11
21	MULLUKMULLUK-47-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	47	*knee	1371	KNEE	p3Nk3l	p3Nk3l	p ə ŋ k ə l	false	1 7 4 1 7 5	AXMBYN	PENKEL	1	1.P.C 1.E.V 1.N.c 1.K.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	pəŋkəl	0	12
22	TYARAITY-47-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	47	*knee	1371	KNEE	p3Nk3l	p3Nk3l	p ə ŋ k ə l	false	1 7 4 1 7 5	AXMBYN	PENKEL	2	2.P.C 2.E.V 2.N.c 2.K.C 2.E.V 2.L.c	2.0 1.5 1.1 1.75 1.3 0.8	pəŋkəl	0	12
23	MULLUKMULLUK-25-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	25	*leaf	628	LEAF	tempel	tempel	t e m p e l	false	1 7 4 1 7 5	AXMBYN	TEMPEL	1	1.T.C 1.E.V 1.M.c 1.P.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	tempel	0	13
24	TYARAITY-25-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	25	*leaf	628	LEAF	w3r	w3r	w ə r	false	6 7 5	AXN	WER	2	2.W.C 2.E.V 2.R.c	2.0 1.5 0.8	wər	0	14
25	MULLUKMULLUK-53-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	53	*liver	1224	LIVER	yelik	yelik	j e l i k	false	6 7 5 7 1	AXBYN	JELIK	1	1.J.C 1.E.V 1.L.C 1.I.V 1.K.c	2.0 1.5 1.75 1.3 0.8	jelik	0	15
26	TYARAITY-53-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	53	*liver	1224	LIVER	elurk	elurk	e l u r k	false	7 5 7 5 1	XBYLN	ELYRK	2	2.E.V 2.L.C 2.Y.V 2.R.c 2.K.c	1.5 1.75 1.3 1.1 0.8	elurk	0	16
27	MULLUKMULLUK-100-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	100	*name	1405	NAME	ni	ni	n i	false	4 7	AX	NI	1	1.N.C 1.I.V	2.0 1.5	ni	0	17
28	TYARAITY-100-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	100	*name	1405	NAME	niwu	niwu	n i w u	false	4 7 6 7	AXBZ	NIWY	2	2.N.C 2.I.V 2.W.C 2.Y.V	2.0 1.5 1.75 0.8	niwu	0	17
29	MULLUKMULLUK-96-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	96	*new	1231	NEW	naNki	naNki	n ɐ ŋ k i	false	4 7 4 1 7	AXMBZ	NENKI	1	1.N.C 1.E.V 1.N.c 1.K.C 1.I.V	2.0 1.5 1.1 1.75 0.8	nɐŋki	0	18
30	TYARAITY-96-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	96	*new	1231	NEW	ni5in	ni5in	n i ɲ i n	false	4 7 4 7 4	AXBYN	NININ	2	2.N.C 2.I.V 2.N.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	niɲin	0	19
31	MULLUKMULLUK-92-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	92	*night	1233	NIGHT	puwar	puwar	p u w ɐ r	false	1 7 6 7 5	AXBYN	PYWER	1	1.P.C 1.Y.V 1.W.C 1.E.V 1.R.c	2.0 1.5 1.75 1.3 0.8	puwɐr	0	20
32	TYARAITY-92-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	92	*night	1233	NIGHT	puyitu	puyitu	p u j i t u	false	1 7 6 7 1 7	AXBYBZ	PYJITY	2	2.P.C 2.Y.V 2.J.C 2.I.V 2.T.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	pujitu	0	21
33	MULLUKMULLUK-41-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	41	*nose	1221	NOSE	yinin	yinin	j i n i n	false	6 7 4 7 4	AXBYN	JININ	1	1.J.C 1.I.V 1.N.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	jinin	0	22
34	TYARAITY-41-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	41	*nose	1221	NOSE	yinun	yinun	j i n u n	false	6 7 4 7 4	AXBYN	JINYN	2	2.J.C 2.I.V 2.N.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	jinun	0	22
35	MULLUKMULLUK-11-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	11	*one	1493	ONE	yanakNa	yanakNa	j ɐ n ɐ k ŋ ɐ	false	6 7 4 7 1 4 7	AXBYBCZ	JENEKNE	1	1.J.C 1.E.V 1.N.C 1.E.V 1.K.C 1.N.C 1.E.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	jɐnɐkŋɐ	0	23
36	TYARAITY-11-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	11	*one	1493	ONE	yawunuka	yawunuka	j ɐ w u n u k ɐ	false	6 7 6 7 4 7 1 7	AXBYBYBZ	JEWYNYKE	2	2.J.C 2.E.V 2.W.C 2.Y.V 2.N.C 2.Y.V 2.K.C 2.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jɐwunukɐ	0	23
37	MULLUKMULLUK-28-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	28	*skin	763	SKIN	NaLil	NaLil	ŋ ɐ ʎ i l	false	4 7 5 7 5	AXBYN	NELIL	1	1.N.C 1.E.V 1.L.C 1.I.V 1.L.c	2.0 1.5 1.75 1.3 0.8	ŋɐʎil	0	24
38	TYARAITY-28-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	28	*skin	763	SKIN	karala	karala	k ɐ r ɐ l ɐ	false	1 7 5 7 5 7	AXBYBZ	KERELE	2	2.K.C 2.E.V 2.R.C 2.E.V 2.L.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐrɐlɐ	0	25
39	MULLUKMULLUK-74-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	74	*star	1430	STAR	n3m3r3l	n3m3r3l	n ə m ə r ə l	false	4 7 4 7 5 7 5	AXBYBYN	NEMEREL	1	1.N.C 1.E.V 1.M.C 1.E.V 1.R.C 1.E.V 1.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	nəmərəl	0	26
40	TYARAITY-74-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	74	*star	1430	STAR	numurul	numurul	n u m u r u l	false	4 7 4 7 5 7 5	AXBYBYN	NYMYRYL	2	2.N.C 2.Y.V 2.M.C 2.Y.V 2.R.C 2.Y.V 2.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	numurul	0	26
41	MULLUKMULLUK-77-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	77	*stone	857	STONE	walk	walk	w ɐ l k	false	6 7 5 1	AXLN	WELK	1	1.W.C 1.E.V 1.L.c 1.K.c	2.0 1.5 1.1 0.8	wɐlk	0	27
42	TYARAITY-77-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	77	*stone	857	STONE	wulu	wulu	w u l u	false	6 7 5 7	AXBZ	WYLY	2	2.W.C 2.Y.V 2.L.C 2.Y.V	2.0 1.5 1.75 0.8	wulu	0	28
43	MULLUKMULLUK-72-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	72	*sun	1343	SUN	miri	miri	m i r i	false	4 7 5 7	AXBZ	MIRI	1	1.M.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	miri	0	29
44	TYARAITY-72-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	72	*sun	1343	SUN	miru	miru	m i r u	false	4 7 5 7	AXBZ	MIRY	2	2.M.C 2.I.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	miru	0	29
45	MULLUKMULLUK-44-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	44	*tongue	1205	TONGUE	Nentilk	Nentilk	ŋ e n t i l k	false	4 7 4 1 7 5 1	AXMBYLN	NENTILK	1	1.N.C 1.E.V 1.N.c 1.T.C 1.I.V 1.L.c 1.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	ŋentilk	0	30
46	TYARAITY-44-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	44	*tongue	1205	TONGUE	Nentulk	Nentulk	ŋ e n t u l k	false	4 7 4 1 7 5 1	AXMBYLN	NENTYLK	2	2.N.C 2.E.V 2.N.c 2.T.C 2.Y.V 2.L.c 2.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	ŋentulk	0	30
47	MULLUKMULLUK-43-1	MULLUKMULLUK	MULLUKMULLUK	mull1237	Mullukmulluk	Northern Daly			False	43	*tooth	1380	TOOTH	tit	tit	t i t	false	1 7 1	AXN	TIT	1	1.T.C 1.I.V 1.T.c	2.0 1.5 0.8	tit	0	31
48	TYARAITY-43-1	TYARAITY	TYARAITY	tyar1236	Tyaraity	Northern Daly			False	43	*tooth	1380	TOOTH	tir	tir	t i r	false	1 7 5	AXN	TIR	2	2.T.C 2.I.V 2.R.c	2.0 1.5 0.8	tir	0	31
