ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KARAJA-1-1	KARAJA	KARAJA	kara1500	Karajá	Nuclear-Macro-Je			False	1	*I	1209	I	jiari*	jiari*	dʒ i ɐ r ĩ	false	1 7 7 5 7	AXYBZ	TIERI	6	6.T.C 6.I.V 6.E.V 6.R.C 6.I.V	2.0 1.5 1.3 1.75 0.8	dʒiɐrĩ	0	5
2	OFAYE-1-1	OFAYE	OFAYE	ofay1240	Ofayé	Nuclear-Macro-Je			False	1	*I	1209	I	aq	aq	ɐ q	false	7 1	XN	EK	12	12.E.V 12.K.c	1.5 0.8	ɐq	0	8
3	RIKBAKTSA-1-1	RIKBAKTSA	RIKBAKTSA	rikb1245	Rikbaktsa	Nuclear-Macro-Je			False	1	*I	1209	I	uta	uta	u t ɐ	false	7 1 7	XBZ	YTE	16	16.Y.V 16.T.C 16.E.V	1.5 1.75 0.8	utɐ	0	11
4	RIKBAKTSA-1-2	RIKBAKTSA	RIKBAKTSA	rikb1245	Rikbaktsa	Nuclear-Macro-Je			False	1	*I	1209	I	kira	kira	k i r ɐ	false	1 7 5 7	AXBZ	KIRE	16	16.K.C 16.I.V 16.R.C 16.E.V	2.0 1.5 1.75 0.8	kirɐ	0	5
121	KRENAK-1-1	KRENAK	KRENAK	kren1239	Krenak	Nuclear-Macro-Je	Aimore		False	1	*I	1209	I	ti	ti	t i	false	1 7	AX	TI	9	9.T.C 9.I.V	2.0 1.5	ti	0	6
157	ARIKAPU-1-1	ARIKAPU	ARIKAPU	arik1265	Arikapú	Nuclear-Macro-Je	Jabuti		False	1	*I	1209	I	ihE	ihE	i h a	false	7 3 7	XBZ	IHA	3	3.I.V 3.H.C 3.A.V	1.5 1.75 0.8	iha	0	3
158	JABUTI-1-1	JABUTI	JABUTI	djeo1235	Djeoromitxí	Nuclear-Macro-Je	Jabuti		False	1	*I	1209	I	h3	h3	h ə	false	3 7	AX	HE	4	4.H.C 4.E.V	2.0 1.5	hə	0	1
242	XAVANTE-1-1	XAVANTE	XAVANTE	xava1240	Xavánte	Nuclear-Macro-Je	Je	Je Central	False	1	*I	1209	I	wa	wa	w ɐ	false	6 7	AX	WE	18	18.W.C 18.E.V	2.0 1.5	wɐ	0	1
243	XERENTE-1-1	XERENTE	XERENTE	xere1240	Xerénte	Nuclear-Macro-Je	Je	Je Central	False	1	*I	1209	I	wa	wa	w ɐ	false	6 7	AX	WE	19	19.W.C 19.E.V	2.0 1.5	wɐ	0	1
378	KAINGANG-1-1	KAINGANG	KAINGANG	kain1272	Kaingang	Nuclear-Macro-Je	Je	Je Meridional	False	1	*I	1209	I	i5	i5	i ɲ	false	7 4	XN	IN	5	5.I.V 5.N.c	1.5 0.8	iɲ	0	4
