ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	NYIGINA-1-1	NYIGINA	NYIGINA	nyig1240	Nyigina	Nyulnyulan	Eastern Nyulnyulan	Nyikinic	False	1	*I	1209	I	Nayu	Nayu	ŋ ɐ j u	false	4 7 6 7	AXBZ	NEJY	2	2.N.C 2.E.V 2.J.C 2.Y.V	2.0 1.5 1.75 0.8	ŋɐju	0	1
2	WARRWA-1-1	WARRWA	WARRWA	warr1258	Warrwa	Nyulnyulan	Eastern Nyulnyulan	Nyikinic	False	1	*I	1209	I	Nayu	Nayu	ŋ ɐ j u	false	4 7 6 7	AXBZ	NEJY	4	4.N.C 4.E.V 4.J.C 4.Y.V	2.0 1.5 1.75 0.8	ŋɐju	0	1
64	YAWURU-1-1	YAWURU	YAWURU	yawu1244	Yawuru	Nyulnyulan	Eastern Nyulnyulan	Yawuric	False	1	*I	1209	I	Nayu	Nayu	ŋ ɐ j u	false	4 7 6 7	AXBZ	NEJY	5	5.N.C 5.E.V 5.J.C 5.Y.V	2.0 1.5 1.75 0.8	ŋɐju	0	1
65	YAWURU-1-2	YAWURU	YAWURU	yawu1244	Yawuru	Nyulnyulan	Eastern Nyulnyulan	Yawuric	False	1	*I	1209	I	Nane	Nane	ŋ ɐ n e	false	4 7 4 7	AXBZ	NENE	5	5.N.C 5.E.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	ŋɐne	0	3
96	BARDI-1-1	BARDI	BARDI	bard1255	Bardi	Nyulnyulan	Western Nyulnyulan	Bardic	False	1	*I	1209	I	Nayo	Nayo	ŋ ɐ j o	false	4 7 6 7	AXBZ	NEJU	1	1.N.C 1.E.V 1.J.C 1.U.V	2.0 1.5 1.75 0.8	ŋɐjo	0	1
135	NYULNYUL-1-1	NYULNYUL	NYULNYUL	nyul1247	Nyulnyul	Nyulnyulan	Western Nyulnyulan	Nyulnyulic	False	1	*I	1209	I	Nay	Nay	ŋ ɐ j	false	4 7 6	AXN	NEJ	3	3.N.C 3.E.V 3.J.c	2.0 1.5 0.8	ŋɐj	0	2
3	NYIGINA-30-1	NYIGINA	NYIGINA	nyig1240	Nyigina	Nyulnyulan	Eastern Nyulnyulan	Nyikinic	False	30	*blood	946	BLOOD	gunbulu	gunbulu	g u n b u l u	false	1 7 4 1 7 5 7	AXMBYBZ	KYNPYLY	2	2.K.C 2.Y.V 2.N.c 2.P.C 2.Y.V 2.L.C 2.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	gunbulu	0	5
4	WARRWA-30-1	WARRWA	WARRWA	warr1258	Warrwa	Nyulnyulan	Eastern Nyulnyulan	Nyikinic	False	30	*blood	946	BLOOD	gunbulu	gunbulu	g u n b u l u	false	1 7 4 1 7 5 7	AXMBYBZ	KYNPYLY	4	4.K.C 4.Y.V 4.N.c 4.P.C 4.Y.V 4.L.C 4.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	gunbulu	0	5
66	YAWURU-30-1	YAWURU	YAWURU	yawu1244	Yawuru	Nyulnyulan	Eastern Nyulnyulan	Yawuric	False	30	*blood	946	BLOOD	kunbulu	kunbulu	k u n b u l u	false	1 7 4 1 7 5 7	AXMBYBZ	KYNPYLY	5	5.K.C 5.Y.V 5.N.c 5.P.C 5.Y.V 5.L.C 5.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	kunbulu	0	5
97	BARDI-30-1	BARDI	BARDI	bard1255	Bardi	Nyulnyulan	Western Nyulnyulan	Bardic	False	30	*blood	946	BLOOD	ilgar	ilgar	i l g ɐ r	false	7 5 1 7 5	XMBYN	ILKER	1	1.I.V 1.L.c 1.K.C 1.E.V 1.R.c	1.5 1.1 1.75 1.3 0.8	ilgɐr	0	4
