ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	DYIRBAL-1-1	DYIRBAL	DYIRBAL	dyir1250	Dyirbal	Pama-Nyungan			False	1	*I	1209	I	5aty~i	5aty~i	ɲ ɐ tʲ i	false	4 7 1 7	AXBZ	NETI	43	43.N.C 43.E.V 43.T.C 43.I.V	2.0 1.5 1.75 0.8	ɲɐtʲi	0	1
2	KALA_LAGGAW_YA-1-1	KALA_LAGGAW_YA	KALA_LAGGAW_YA	kala1377	Kala Lagaw Ya	Pama-Nyungan			False	1	*I	1209	I	ng~ai	ng~ai	ⁿg ɐ i	false	1 7 7	AXZ	KEI	59	59.K.C 59.E.V 59.I.V	2.0 1.5 0.8	ⁿgɐi	0	1
3	WARGAMAY-1-1	WARGAMAY	WARGAMAY	warr1255	Warrgamay	Pama-Nyungan			False	1	*I	1209	I	Nayba	Nayba	ŋ ɐ j b ɐ	false	4 7 6 1 7	AXMBZ	NEJPE	133	133.N.C 133.E.V 133.J.c 133.P.C 133.E.V	2.0 1.5 1.1 1.75 0.8	ŋɐjbɐ	0	1
121	ALYAWARRA-1-1	ALYAWARRA	ALYAWARRA	alya1239	Alyawarr	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	ayiNa	ayiNa	ɐ j i ŋ ɐ	false	7 6 7 4 7	XBYBZ	EJINE	4	4.E.V 4.J.C 4.I.V 4.N.C 4.E.V	1.5 1.75 1.3 1.75 0.8	ɐjiŋɐ	0	3
122	ARRERNTE_CENTRAL-1-1	ARRERNTE_CENTRAL	ARRERNTE_CENTRAL	east2379	Eastern Arrernte	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	ayeNe	ayeNe	ɐ j e ŋ e	false	7 6 7 4 7	XBYBZ	EJENE	10	10.E.V 10.J.C 10.E.V 10.N.C 10.E.V	1.5 1.75 1.3 1.75 0.8	ɐjeŋe	0	3
123	ARRERNTE_CENTRAL-1-2	ARRERNTE_CENTRAL	ARRERNTE_CENTRAL	east2379	Eastern Arrernte	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	th~e	th~e	tʰ e	false	1 7	AX	TE	10	10.T.C 10.E.V	2.0 1.5	tʰe	0	6
124	ARRERNTE_EASTERN-1-1	ARRERNTE_EASTERN	ARRERNTE_EASTERN	east2379	Eastern Arrernte	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	ayeNe	ayeNe	ɐ j e ŋ e	false	7 6 7 4 7	XBYBZ	EJENE	11	11.E.V 11.J.C 11.E.V 11.N.C 11.E.V	1.5 1.75 1.3 1.75 0.8	ɐjeŋe	0	3
125	ARRERNTE_EASTERN-1-2	ARRERNTE_EASTERN	ARRERNTE_EASTERN	east2379	Eastern Arrernte	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	tharit5ee	tharit5ee	t h ɐ r i t ɲ e e	false	1 3 7 5 7 1 4 7 7	ACXBYBCYZ	THERITNEE	11	11.T.C 11.H.C 11.E.V 11.R.C 11.I.V 11.T.C 11.N.C 11.E.V 11.E.V	2.0 1.5 1.5 1.75 1.3 1.75 1.5 1.3 0.8	thɐritɲee	0	10
126	KAYTETYE-1-1	KAYTETYE	KAYTETYE	kayt1238	Kaytetye	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	aty~e	aty~e	ɐ tʲ e	false	7 1 7	XBZ	ETE	64	64.E.V 64.T.C 64.E.V	1.5 1.75 0.8	ɐtʲe	0	6
127	KAYTETYE-1-2	KAYTETYE	KAYTETYE	kayt1238	Kaytetye	Pama-Nyungan	Arandic-Thura-Yura	Arandic	False	1	*I	1209	I	ayeNe	ayeNe	ɐ j e ŋ e	false	7 6 7 4 7	XBYBZ	EJENE	64	64.E.V 64.J.C 64.E.V 64.N.C 64.E.V	1.5 1.75 1.3 1.75 0.8	ɐjeŋe	0	3
