ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	ABAU-1-1	ABAU	ABAU	abau1245	Abau	Sepik			False	1	*I	1209	I	hakwe	hakwe	h ɐ k w e	false	3 7 1 6 7	AXBCZ	HEKWE	1	1.H.C 1.E.V 1.K.C 1.W.C 1.E.V	2.0 1.5 1.75 1.5 0.8	hɐkwe	0	1
2	AMAL-1-1	AMAL	AMAL	amal1242	Amal	Sepik			False	1	*I	1209	I	Nan	Nan	ŋ ɐ n	false	4 7 4	AXN	NEN	4	4.N.C 4.E.V 4.N.c	2.0 1.5 0.8	ŋɐn	0	2
59	IWAM-1-1	IWAM	IWAM	iwam1256	Iwam	Sepik	Iwam-Wogamus	Iwamic	False	1	*I	1209	I	ka	ka	k ɐ	false	1 7	AX	KE	12	12.K.C 12.E.V	2.0 1.5	kɐ	0	5
60	SEPIK_IWAM-1-1	SEPIK_IWAM	SEPIK_IWAM	sepi1255	Sepik Iwam	Sepik	Iwam-Wogamus	Iwamic	False	1	*I	1209	I	ka	ka	k ɐ	false	1 7	AX	KE	29	29.K.C 29.E.V	2.0 1.5	kɐ	0	5
182	CHENAPIAN-1-1	CHENAPIAN	CHENAPIAN	chen1259	Chenapian	Sepik	Iwam-Wogamus	Wogamusin-Chenapian	False	1	*I	1209	I	an	an	ɐ n	false	7 4	XN	EN	10	10.E.V 10.N.c	1.5 0.8	ɐn	0	2
183	WOGAMUSIN-1-1	WOGAMUSIN	WOGAMUSIN	woga1249	Wogamusin	Sepik	Iwam-Wogamus	Wogamusin-Chenapian	False	1	*I	1209	I	nai	nai	n ɐ i	false	4 7 7	AXZ	NEI	31	31.N.C 31.E.V 31.I.V	2.0 1.5 0.8	nɐi	0	10
287	KWOMA-1-1	KWOMA	KWOMA	kwom1262	Kwoma	Sepik	Nukuma		False	1	*I	1209	I	ada	ada	ɐ d ɐ	false	7 1 7	XBZ	ETE	18	18.E.V 18.T.C 18.E.V	1.5 1.75 0.8	ɐdɐ	0	7
405	KWANGA-1-1	KWANGA	KWANGA	kwan1278	Kwanga	Sepik	Nukuma	Kwanga-Mende	False	1	*I	1209	I	a	a	ɐ	false	7	X	E	17	17.E.V	1.5	ɐ	0	6
406	KWANGA-1-2	KWANGA	KWANGA	kwan1278	Kwanga	Sepik	Nukuma	Kwanga-Mende	False	1	*I	1209	I	ani	ani	ɐ n i	false	7 4 7	XBZ	ENI	17	17.E.V 17.N.C 17.I.V	1.5 1.75 0.8	ɐni	0	3
407	MENDE_PNG-1-1	MENDE_PNG	MENDE_PNG	mend1268	Mende (Papua New Guinea)	Sepik	Nukuma	Kwanga-Mende	False	1	*I	1209	I	an	an	ɐ n	false	7 4	XN	EN	21	21.E.V 21.N.c	1.5 0.8	ɐn	0	2
610	AWTUW-1-1	AWTUW	AWTUW	awtu1239	Awtuw	Sepik	Ram		False	1	*I	1209	I	wan	wan	w ɐ n	false	6 7 4	AXN	WEN	5	5.W.C 5.E.V 5.N.c	2.0 1.5 0.8	wɐn	0	2
715	KARAWA-1-1	KARAWA	KARAWA	kara1495	Karawa	Sepik	Ram	Pouye-Karawa	False	1	*I	1209	I	wan	wan	w ɐ n	false	6 7 4	AXN	WEN	16	16.W.C 16.E.V 16.N.c	2.0 1.5 0.8	wɐn	0	2
716	POUYE-1-1	POUYE	POUYE	pouy1238	Pouye	Sepik	Ram	Pouye-Karawa	False	1	*I	1209	I	wEn	wEn	w a n	false	6 7 4	AXN	WAN	27	27.W.C 27.A.V 27.N.c	2.0 1.5 0.8	wan	0	2
