ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MOMUNA-1-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	1	*I	1209	I	nagu	nagu	n ɐ g u	false	4 7 1 7	AXBZ	NEKY	1	1.N.C 1.E.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	nɐgu	0	1
2	MOMUNA-30-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	30	*blood	946	BLOOD	jan3	jan3	dʒ ɐ n ə	false	1 7 4 7	AXBZ	TENE	1	1.T.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	dʒɐnə	0	2
3	MOMUNA-31-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	31	*bone	1394	BONE	toko	toko	t o k o	false	1 7 1 7	AXBZ	TUKU	1	1.T.C 1.U.V 1.K.C 1.U.V	2.0 1.5 1.75 0.8	toko	0	3
4	MOMUNA-66-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	66	*come	1446	COME	meiyo	meiyo	m e i j o	false	4 7 7 6 7	AXYBZ	MEIJU	1	1.M.C 1.E.V 1.I.V 1.J.C 1.U.V	2.0 1.5 1.3 1.75 0.8	meijo	0	4
5	MOMUNA-21-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	21	*dog	2009	DOG	kwoka	kwoka	k w o k ɐ	false	1 6 7 1 7	ACXBZ	KWUKE	1	1.K.C 1.W.C 1.U.V 1.K.C 1.E.V	2.0 1.5 1.5 1.75 0.8	kwokɐ	0	5
6	MOMUNA-40-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	40	*eye	1248	EYE	otu	otu	o t u	false	7 1 7	XBZ	UTY	1	1.U.V 1.T.C 1.Y.V	1.5 1.75 0.8	otu	0	6
7	MOMUNA-82-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	82	*fire	221	FIRE	kukwa	kukwa	k u k w ɐ	false	1 7 1 6 7	AXBCZ	KYKWE	1	1.K.C 1.Y.V 1.K.C 1.W.C 1.E.V	2.0 1.5 1.75 1.5 0.8	kukwɐ	0	7
8	MOMUNA-48-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	te	te	t e	false	1 7	AX	TE	1	1.T.C 1.E.V	2.0 1.5	te	0	8
9	MOMUNA-48-2	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	48	*hand	1277	HAND	teri	teri	t e r i	false	1 7 5 7	AXBZ	TERI	1	1.T.C 1.E.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	teri	0	9
10	MOMUNA-22-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	22	*louse	1392	LOUSE	amega	amega	ɐ m e g ɐ	false	7 4 7 1 7	XBYBZ	EMEKE	1	1.E.V 1.M.C 1.E.V 1.K.C 1.E.V	1.5 1.75 1.3 1.75 0.8	ɐmegɐ	0	10
11	MOMUNA-57-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	57	*see	1409	SEE	bari	bari	b ɐ r i	false	1 7 5 7	AXBZ	PERI	1	1.P.C 1.E.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	bɐri	0	11
12	MOMUNA-28-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	28	*skin	763	SKIN	ke	ke	k e	false	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	ke	0	12
13	MOMUNA-77-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	77	*stone	857	STONE	k3	k3	k ə	false	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	kə	0	13
14	MOMUNA-72-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	72	*sun	1343	SUN	3k3	3k3	ə k ə	false	7 1 7	XBZ	EKE	1	1.E.V 1.K.C 1.E.V	1.5 1.75 0.8	əkə	0	14
15	MOMUNA-43-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	43	*tooth	1380	TOOTH	ija	ija	i dʒ ɐ	false	7 1 7	XBZ	ITE	1	1.I.V 1.T.C 1.E.V	1.5 1.75 0.8	idʒɐ	0	15
16	MOMUNA-23-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	23	*tree	906	TREE	kwo	kwo	k w o	false	1 6 7	ACX	KWU	1	1.K.C 1.W.C 1.U.V	2.0 1.5 1.5	kwo	0	16
17	MOMUNA-75-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	75	*water	948	WATER	iNga	iNga	i ŋ g ɐ	false	7 4 1 7	XMBZ	INKE	1	1.I.V 1.N.c 1.K.C 1.E.V	1.5 1.1 1.75 0.8	iŋgɐ	0	17
18	MOMUNA-3-1	MOMUNA	MOMUNA	momu1241	Momuna	Somahai			False	3	*we	1212	WE	inanuga	inanuga	i n ɐ n u g ɐ	false	7 4 7 4 7 1 7	XBYBYBZ	INENYKE	1	1.I.V 1.N.C 1.E.V 1.N.C 1.Y.V 1.K.C 1.E.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	inɐnugɐ	0	18
# Created using the LexStat class of LingPy-2.6.9
# Parameters: 2:1_1.00_10000_0.70_global-2-0.50:local-1-0.50_0.30__T_shuffle_False:upgma:-2_0.7_0.00_-5.00
# Cluster: lexstat_infomap_0.55
