ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
57	BUIN-1-1	BUIN	BUIN	tere1278	Terei	South Bougainville	Buinic	Buin	False	1	*I	1209	I	ne	ne	n e	false	4 7	AX	NE	1	1.N.C 1.E.V	2.0 1.5	ne	0	1
58	BUIN-1-2	BUIN	BUIN	tere1278	Terei	South Bougainville	Buinic	Buin	False	1	*I	1209	I	nne	nne	n n e	false	4 4 7	ACZ	NNE	1	1.N.C 1.N.C 1.E.V	2.0 1.5 0.8	nne	0	1
132	NASIOI-1-1	NASIOI	NASIOI	naas1242	Naasioi	South Bougainville	Nasioiic	Nasioi	False	1	*I	1209	I	nin	nin	n i n	false	4 7 4	AXN	NIN	3	3.N.C 3.I.V 3.N.c	2.0 1.5 0.8	nin	0	2
1	MOTUNA-30-1	MOTUNA	MOTUNA	siwa1245	Siwai	South Bougainville	Buinic		False	30	*blood	946	BLOOD	irih	irih	i r i h	false	7 5 7 3	XBYN	IRIH	2	2.I.V 2.R.C 2.I.V 2.H.c	1.5 1.75 1.3 0.8	irih	0	4
59	BUIN-30-1	BUIN	BUIN	tere1278	Terei	South Bougainville	Buinic	Buin	False	30	*blood	946	BLOOD	inna	inna	i n n ɐ	false	7 4 4 7	XMBZ	INNE	1	1.I.V 1.N.c 1.N.C 1.E.V	1.5 1.1 1.75 0.8	innɐ	0	3
60	BUIN-30-2	BUIN	BUIN	tere1278	Terei	South Bougainville	Buinic	Buin	False	30	*blood	946	BLOOD	irira	irira	i r i r ɐ	false	7 5 7 5 7	XBYBZ	IRIRE	1	1.I.V 1.R.C 1.I.V 1.R.C 1.E.V	1.5 1.75 1.3 1.75 0.8	irirɐ	0	6
133	NASIOI-30-1	NASIOI	NASIOI	naas1242	Naasioi	South Bougainville	Nasioiic	Nasioi	False	30	*blood	946	BLOOD	eden	eden	e d e n	false	7 1 7 4	XBYN	ETEN	3	3.E.V 3.T.C 3.E.V 3.N.c	1.5 1.75 1.3 0.8	eden	0	5
2	MOTUNA-31-1	MOTUNA	MOTUNA	siwa1245	Siwai	South Bougainville	Buinic		False	31	*bone	1394	BONE	kona	kona	k o n ɐ	false	1 7 4 7	AXBZ	KUNE	2	2.K.C 2.U.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	konɐ	0	7
61	BUIN-31-1	BUIN	BUIN	tere1278	Terei	South Bougainville	Buinic	Buin	False	31	*bone	1394	BONE	kana	kana	k ɐ n ɐ	false	1 7 4 7	AXBZ	KENE	1	1.K.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	kɐnɐ	0	7
134	NASIOI-31-1	NASIOI	NASIOI	naas1242	Naasioi	South Bougainville	Nasioiic	Nasioi	False	31	*bone	1394	BONE	ko7	ko7	k o ʔ	false	1 7 1	AXN	KUH	3	3.K.C 3.U.V 3.H.c	2.0 1.5 0.8	koʔ	0	8
