ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MARARIT-1-1	MARARIT	MARARIT	mara1396	Mararit	Tamaic			False	1	*I	1209	I	wa	wa	w ɐ	false	6 7	AX	WE	2	2.W.C 2.E.V	2.0 1.5	wɐ	0	1
26	MIISIIRII_TAMA-1-1	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	1	*I	1209	I	wa	wa	w ɐ	false	6 7	AX	WE	3	3.W.C 3.E.V	2.0 1.5	wɐ	0	1
27	ASSANGORI-30-1	ASSANGORI	ASSANGORI	assa1269	Assangori	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	30	*blood	946	BLOOD	ai	ai	ɐ i	false	7 7	XZ	EI	1	1.E.V 1.I.V	1.5 0.8	ɐi	0	2
28	MIISIIRII_TAMA-30-1	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	30	*blood	946	BLOOD	ai	ai	ɐ i	false	7 7	XZ	EI	3	3.E.V 3.I.V	1.5 0.8	ɐi	0	2
29	MIISIIRII_TAMA-30-2	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	30	*blood	946	BLOOD	agi	agi	ɐ g i	false	7 1 7	XBZ	EKI	3	3.E.V 3.K.C 3.I.V	1.5 1.75 0.8	ɐgi	0	3
30	ASSANGORI-31-1	ASSANGORI	ASSANGORI	assa1269	Assangori	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	31	*bone	1394	BONE	keNeti	keNeti	k e ŋ e t i	false	1 7 4 7 1 7	AXBYBZ	KENETI	1	1.K.C 1.E.V 1.N.C 1.E.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	keŋeti	0	4
31	MIISIIRII_TAMA-31-1	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	31	*bone	1394	BONE	keiti	keiti	k e i t i	false	1 7 7 1 7	AXYBZ	KEITI	3	3.K.C 3.E.V 3.I.V 3.T.C 3.I.V	2.0 1.5 1.3 1.75 0.8	keiti	0	4
32	MIISIIRII_TAMA-31-2	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	31	*bone	1394	BONE	keti	keti	k e t i	false	1 7 1 7	AXBZ	KETI	3	3.K.C 3.E.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	keti	0	4
33	MIISIIRII_TAMA-31-3	MIISIIRII_TAMA	MIISIIRII_TAMA	tama1331	Tama (Chad)	Tamaic	Tama-Sungor-Miisiirii	Tama-Sungor	False	31	*bone	1394	BONE	kiti	kiti	k i t i	false	1 7 1 7	AXBZ	KITI	3	3.K.C 3.I.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	kiti	0	4
2	MARARIT-51-1	MARARIT	MARARIT	mara1396	Mararit	Tamaic			False	51	*breasts	1402	BREAST	kul	kul	k u l	false	1 7 5	AXN	KYL	2	2.K.C 2.Y.V 2.L.c	2.0 1.5 0.8	kul	0	6
