ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	KAWA-1-1	KAWA	KAWA	*kawa	Alor-Pantar	Timor-Alor-Pantar			False	1	*I	1209	I	nai	nai	n ɐ i	false	4 7 7	AXZ	NEI	11	11.N.C 11.E.V 11.I.V	2.0 1.5 0.8	nɐi	0	2
40	KAERA-1-1	KAERA	KAERA	kaer1234	Kaera	Timor-Alor-Pantar	Alor-Pantar		False	1	*I	1209	I	naN	naN	n ɐ ŋ	false	4 7 4	AXN	NEN	8	8.N.C 8.E.V 8.N.c	2.0 1.5 0.8	nɐŋ	0	2
41	LAMMA-1-1	LAMMA	LAMMA	lamm1241	Western Pantar	Timor-Alor-Pantar	Alor-Pantar		False	1	*I	1209	I	naN	naN	n ɐ ŋ	false	4 7 4	AXN	NEN	15	15.N.C 15.E.V 15.N.c	2.0 1.5 0.8	nɐŋ	0	2
162	HAMAP-1-1	HAMAP	HAMAP	hama1240	Hamap	Timor-Alor-Pantar	Alor-Pantar	Alor	False	1	*I	1209	I	nar	nar	n ɐ r	false	4 7 5	AXN	NER	6	6.N.C 6.E.V 6.R.c	2.0 1.5 0.8	nɐr	0	2
163	KABOLA-1-1	KABOLA	KABOLA	kabo1247	Kabola	Timor-Alor-Pantar	Alor-Pantar	Alor	False	1	*I	1209	I	nariN	nariN	n ɐ r i ŋ	false	4 7 5 7 4	AXBYN	NERIN	7	7.N.C 7.E.V 7.R.C 7.I.V 7.N.c	2.0 1.5 1.75 1.3 0.8	nɐriŋ	0	2
164	KAFOA-1-1	KAFOA	KAFOA	kafo1240	Kafoa	Timor-Alor-Pantar	Alor-Pantar	Alor	False	1	*I	1209	I	nad	nad	n ɐ d	false	4 7 1	AXN	NET	9	9.N.C 9.E.V 9.T.c	2.0 1.5 0.8	nɐd	0	2
165	KLON-1-1	KLON	KLON	kelo1247	Klon	Timor-Alor-Pantar	Alor-Pantar	Alor	False	1	*I	1209	I	non	non	n o n	false	4 7 4	AXN	NUN	12	12.N.C 12.U.V 12.N.c	2.0 1.5 0.8	non	0	2
611	SAR_INDONESIA-1-1	SAR_INDONESIA	SAR_INDONESIA	sarr1247	Sar (Indonesia)	Timor-Alor-Pantar	Alor-Pantar	Teiwa-Sar	False	1	*I	1209	I	na7a	na7a	n ɐ ʔ ɐ	false	4 7 1 7	AXBZ	NEHE	19	19.N.C 19.E.V 19.H.C 19.E.V	2.0 1.5 1.75 0.8	nɐʔɐ	0	2
612	TEIWA-1-1	TEIWA	TEIWA	teiw1235	Teiwa	Timor-Alor-Pantar	Alor-Pantar	Teiwa-Sar	False	1	*I	1209	I	na7an	na7an	n ɐ ʔ ɐ n	false	4 7 1 7 4	AXBYN	NEHEN	21	21.N.C 21.E.V 21.H.C 21.E.V 21.N.c	2.0 1.5 1.75 1.3 0.8	nɐʔɐn	0	2
613	TEIWA-1-2	TEIWA	TEIWA	teiw1235	Teiwa	Timor-Alor-Pantar	Alor-Pantar	Teiwa-Sar	False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	21	21.N.C 21.E.V	2.0 1.5	nɐ	0	2
