ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	COAST_TSIMSHIAN-1-1	COAST_TSIMSHIAN	COAST_TSIMSHIAN	nucl1649	Southern-Coastal Tsimshian	Tsimshian			False	1	*I	1209	I	n3yu	n3yu	n ə j u	false	4 7 6 7	AXBZ	NEJY	1	1.N.C 1.E.V 1.J.C 1.Y.V	2.0 1.5 1.75 0.8	nəju	0	1
55	GITXSAN-1-1	GITXSAN	GITXSAN	gitx1241	Gitxsan	Tsimshian	Nishga-Gitxsan		False	1	*I	1209	I	n"iy"	n"iy"	n’ i j’	false	4 7 6	AXN	NIJ	2	2.N.C 2.I.V 2.J.c	2.0 1.5 0.8	n’ij’	0	2
56	NISGHA-1-1	NISGHA	NISGHA	nisg1240	Nisga'a	Tsimshian	Nishga-Gitxsan		False	1	*I	1209	I	n"iy"	n"iy"	n’ i j’	false	4 7 6	AXN	NIJ	3	3.N.C 3.I.V 3.J.c	2.0 1.5 0.8	n’ij’	0	2
2	COAST_TSIMSHIAN-30-1	COAST_TSIMSHIAN	COAST_TSIMSHIAN	nucl1649	Southern-Coastal Tsimshian	Tsimshian			False	30	*blood	946	BLOOD	iLe	iLe	i ʎ e	false	7 5 7	XBZ	ILE	1	1.I.V 1.L.C 1.E.V	1.5 1.75 0.8	iʎe	0	3
57	NISGHA-30-1	NISGHA	NISGHA	nisg1240	Nisga'a	Tsimshian	Nishga-Gitxsan		False	30	*blood	946	BLOOD	7iLe7	7iLe7	ʔ i ʎ e ʔ	false	1 7 5 7 1	AXBYN	HILEH	3	3.H.C 3.I.V 3.L.C 3.E.V 3.H.c	2.0 1.5 1.75 1.3 0.8	ʔiʎeʔ	0	3
3	COAST_TSIMSHIAN-31-1	COAST_TSIMSHIAN	COAST_TSIMSHIAN	nucl1649	Southern-Coastal Tsimshian	Tsimshian			False	31	*bone	1394	BONE	sEp	sEp	s a p	false	3 7 1	AXN	SAP	1	1.S.C 1.A.V 1.P.c	2.0 1.5 0.8	sap	0	4
4	COAST_TSIMSHIAN-31-2	COAST_TSIMSHIAN	COAST_TSIMSHIAN	nucl1649	Southern-Coastal Tsimshian	Tsimshian			False	31	*bone	1394	BONE	LExs	LExs	ʎ a x s	false	5 7 3 3	AXLN	LAGS	1	1.L.C 1.A.V 1.G.c 1.S.c	2.0 1.5 1.1 0.8	ʎaxs	0	6
58	NISGHA-31-1	NISGHA	NISGHA	nisg1240	Nisga'a	Tsimshian	Nishga-Gitxsan		False	31	*bone	1394	BONE	c"ip	c"ip	tsʼ i p	false	1 7 1	AXN	TIP	3	3.T.C 3.I.V 3.P.c	2.0 1.5 0.8	tsʼip	0	5
5	COAST_TSIMSHIAN-51-1	COAST_TSIMSHIAN	COAST_TSIMSHIAN	nucl1649	Southern-Coastal Tsimshian	Tsimshian			False	51	*breasts	1402	BREAST	masx~	masx~	m ɐ sˠ	false	4 7 3	AXN	MES	1	1.M.C 1.E.V 1.S.c	2.0 1.5 0.8	mɐsˠ	0	7
59	NISGHA-51-1	NISGHA	NISGHA	nisg1240	Nisga'a	Tsimshian	Nishga-Gitxsan		False	51	*breasts	1402	BREAST	m"oc"iks	m"oc"iks	m’ o tsʼ i k s	false	4 7 1 7 1 3	AXBYBC	MUTIKS	3	3.M.C 3.U.V 3.T.C 3.I.V 3.K.C 3.S.C	2.0 1.5 1.75 1.3 1.75 1.5	m’otsʼiks	0	8
