ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	ARIKEM-1-1	ARIKEM	ARIKEM	arik1264	Arikem	Tupian	Arikemic		False	1	*I	1209	I	uun	uun	u u n	false	7 7 4	XYN	YYN	8	8.Y.V 8.Y.V 8.N.c	1.5 1.3 0.8	uun	0	2
67	SATERE_MAWE-1-1	SATERE_MAWE	SATERE_MAWE	sate1243	Sateré-Mawé	Tupian	Maweti-Guarani		False	1	*I	1209	I	uito	uito	u i t o	false	7 7 1 7	XYBZ	YITU	41	41.Y.V 41.I.V 41.T.C 41.U.V	1.5 1.3 1.75 0.8	uito	0	4
105	ACHE-1-1	ACHE	ACHE	ache1246	Aché	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	Co	Co	tʃ o	false	1 7	AX	TU	1	1.T.C 1.U.V	2.0 1.5	tʃo	0	1
106	AMANAYE-1-1	AMANAYE	AMANAYE	aman1266	Amanayé	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	he	he	h e	false	3 7	AX	HE	3	3.H.C 3.E.V	2.0 1.5	he	0	3
107	AMONDAVA-1-1	AMONDAVA	AMONDAVA	amun1246	Amundava	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	5ihe	5ihe	ɲ i h e	false	4 7 3 7	AXBZ	NIHE	4	4.N.C 4.I.V 4.H.C 4.E.V	2.0 1.5 1.75 0.8	ɲihe	0	4
108	ANAMBE-1-1	ANAMBE	ANAMBE	anam1249	Anambé	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	ha	ha	h ɐ	false	3 7	AX	HE	5	5.H.C 5.E.V	2.0 1.5	hɐ	0	3
109	APIAKA-1-1	APIAKA	APIAKA	apia1248	Apiaká	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	si	si	s i	false	3 7	AX	SI	6	6.S.C 6.I.V	2.0 1.5	si	0	3
110	ARAWETE-1-1	ARAWETE	ARAWETE	araw1273	Araweté	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	he	he	h e	false	3 7	AX	HE	7	7.H.C 7.E.V	2.0 1.5	he	0	3
111	ASURINI-1-1	ASURINI	ASURINI	toca1235	Tocantins Asurini	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	ice	ice	i ts e	false	7 2 7	XBZ	ICE	9	9.I.V 9.C.C 9.E.V	1.5 1.75 0.8	itse	0	4
112	ASURINI_XINGU-1-1	ASURINI_XINGU	ASURINI_XINGU	xing1248	Xingú Asuriní	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	ije	ije	i dʒ e	false	7 1 7	XBZ	ITE	10	10.I.V 10.T.C 10.E.V	1.5 1.75 0.8	idʒe	0	4
113	AVA_CANOEIRO-1-1	AVA_CANOEIRO	AVA_CANOEIRO	avac1239	Avá-Canoeiro	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	Ci	Ci	tʃ i	false	1 7	AX	TI	11	11.T.C 11.I.V	2.0 1.5	tʃi	0	1
114	AVA_CANOEIRO-1-2	AVA_CANOEIRO	AVA_CANOEIRO	avac1239	Avá-Canoeiro	Tupian	Maweti-Guarani	Aweti-Guarani	False	1	*I	1209	I	iCe	iCe	i tʃ e	false	7 1 7	XBZ	ITE	11	11.I.V 11.T.C 11.E.V	1.5 1.75 0.8	itʃe	0	4
